oq,q,rvnm,stcd,stnm,tm,wptn,z
0,57600,长江,60115000,大通,1598889600000,6,13.46
0,57600,长江,60115000,大通,1598893200000,6,13.46
0,57600,长江,60115000,大通,1598896800000,6,13.46
0,57700,长江,60115000,大通,1598900400000,5,13.47
0,57600,长江,60115000,大通,1598904000000,4,13.46
0,57600,长江,60115000,大通,1598907600000,6,13.46
0,57500,长江,60115000,大通,1598911200000,4,13.45
0,57500,长江,60115000,大通,1598914800000,6,13.45
0,57400,长江,60115000,大通,1598918400000,4,13.44
0,57400,长江,60115000,大通,1598922000000,6,13.44
0,57400,长江,60115000,大通,1598925600000,4,13.43
0,57300,长江,60115000,大通,1598929200000,4,13.42
0,57300,长江,60115000,大通,1598932800000,6,13.42
0,57500,长江,60115000,大通,1598936400000,5,13.45
0,57600,长江,60115000,大通,1598940000000,5,13.46
0,57700,长江,60115000,大通,1598943600000,5,13.47
0,57700,长江,60115000,大通,1598947200000,6,13.47
0,57800,长江,60115000,大通,1598950800000,5,13.49
0,57700,长江,60115000,大通,1598954400000,4,13.47
0,57700,长江,60115000,大通,1598958000000,5,13.48
0,57700,长江,60115000,大通,1598961600000,6,13.48
0,57600,长江,60115000,大通,1598965200000,4,13.46
0,57600,长江,60115000,大通,1598968800000,6,13.46
0,57600,长江,60115000,大通,1598972400000,6,13.46
0,57500,长江,60115000,大通,1598976000000,4,13.45
0,57500,长江,60115000,大通,1598979600000,6,13.45
0,57600,长江,60115000,大通,1598983200000,5,13.46
0,57500,长江,60115000,大通,1598986800000,4,13.45
0,57500,长江,60115000,大通,1598990400000,6,13.45
0,57600,长江,60115000,大通,1598994000000,5,13.46
0,57600,长江,60115000,大通,1598997600000,6,13.46
0,57600,长江,60115000,大通,1599001200000,6,13.46
0,57500,长江,60115000,大通,1599004800000,4,13.45
0,57400,长江,60115000,大通,1599008400000,4,13.44
0,57400,长江,60115000,大通,1599012000000,4,13.43
0,57400,长江,60115000,大通,1599015600000,6,13.43
0,57400,长江,60115000,大通,1599019200000,6,13.43
0,57400,长江,60115000,大通,1599022800000,5,13.44
0,57500,长江,60115000,大通,1599026400000,5,13.45
0,57500,长江,60115000,大通,1599030000000,6,13.45
0,57700,长江,60115000,大通,1599033600000,5,13.48
0,57700,长江,60115000,大通,1599037200000,4,13.47
0,57700,长江,60115000,大通,1599040800000,5,13.48
0,57700,长江,60115000,大通,1599044400000,4,13.47
0,57600,长江,60115000,大通,1599048000000,4,13.46
0,57700,长江,60115000,大通,1599051600000,5,13.47
0,57400,长江,60115000,大通,1599055200000,4,13.44
0,57400,长江,60115000,大通,1599058800000,4,13.43
0,57300,长江,60115000,大通,1599062400000,4,13.42
0,57300,长江,60115000,大通,1599066000000,6,13.42
0,57300,长江,60115000,大通,1599069600000,6,13.42
0,57400,长江,60115000,大通,1599073200000,5,13.43
0,57400,长江,60115000,大通,1599076800000,6,13.43
0,57400,长江,60115000,大通,1599080400000,6,13.43
0,57300,长江,60115000,大通,1599084000000,4,13.42
0,57300,长江,60115000,大通,1599087600000,6,13.42
0,57300,长江,60115000,大通,1599091200000,6,13.42
0,55900,长江,60115000,大通,1599093120000,4,13.42
0,57200,长江,60115000,大通,1599094800000,4,13.41
0,57100,长江,60115000,大通,1599098400000,4,13.4
0,57100,长江,60115000,大通,1599102000000,6,13.4
0,57000,长江,60115000,大通,1599105600000,4,13.39
0,55600,长江,60115000,大通,1599109200000,6,13.39
0,55700,长江,60115000,大通,1599112800000,5,13.4
0,55800,长江,60115000,大通,1599116400000,5,13.41
0,55900,长江,60115000,大通,1599120000000,5,13.43
0,55800,长江,60115000,大通,1599123600000,4,13.42
0,55900,长江,60115000,大通,1599127200000,5,13.43
0,55900,长江,60115000,大通,1599130800000,6,13.43
0,55800,长江,60115000,大通,1599134400000,4,13.41
0,55800,长江,60115000,大通,1599138000000,4,13.41
0,55700,长江,60115000,大通,1599141600000,4,13.4
0,55600,长江,60115000,大通,1599145200000,4,13.39
0,55500,长江,60115000,大通,1599148800000,4,13.38
0,55500,长江,60115000,大通,1599152400000,4,13.37
0,55500,长江,60115000,大通,1599156000000,6,13.37
