oq,q,rvnm,stcd,stnm,tm,wptn,z
6740,0,长江,60106980,三峡水库,1617202800000,5,165.27
6930,0,长江,60106980,三峡水库,1617206400000,5,165.31
7400,0,长江,60106980,三峡水库,1617210000000,4,165.29
7390,8000,长江,60106980,三峡水库,1617213600000,4,165.28
7390,0,长江,60106980,三峡水库,1617217200000,5,165.29
7380,0,长江,60106980,三峡水库,1617220800000,4,165.27
7380,0,长江,60106980,三峡水库,1617224400000,5,165.29
7370,0,长江,60106980,三峡水库,1617228000000,4,165.28
8690,0,长江,60106980,三峡水库,1617231600000,4,165.23
11200,8500,长江,60106980,三峡水库,1617235200000,4,165.17
11900,0,长江,60106980,三峡水库,1617238800000,4,165.13
12000,0,长江,60106980,三峡水库,1617242400000,4,165.08
12000,0,长江,60106980,三峡水库,1617246000000,5,165.09
10600,0,长江,60106980,三峡水库,1617249600000,5,165.12
10000,0,长江,60106980,三峡水库,1617253200000,5,165.14
10000,8500,长江,60106980,三峡水库,1617256800000,5,165.17
10000,0,长江,60106980,三峡水库,1617260400000,5,165.19
10000,0,长江,60106980,三峡水库,1617264000000,6,165.19
11900,0,长江,60106980,三峡水库,1617267600000,4,165.13
11900,0,长江,60106980,三峡水库,1617271200000,4,165.12
12000,0,长江,60106980,三峡水库,1617274800000,4,165.07
12000,8000,长江,60106980,三峡水库,1617278400000,4,165.06
11500,0,长江,60106980,三峡水库,1617282000000,4,165.04
8760,0,长江,60106980,三峡水库,1617285600000,5,165.09
8070,0,长江,60106980,三峡水库,1617289200000,5,165.13
8050,0,长江,60106980,三峡水库,1617292800000,5,165.19
8050,0,长江,60106980,三峡水库,1617296400000,4,165.17
8050,8000,长江,60106980,三峡水库,1617300000000,6,165.17
8050,0,长江,60106980,三峡水库,1617303600000,4,165.15
8040,0,长江,60106980,三峡水库,1617307200000,5,165.16
8030,0,长江,60106980,三峡水库,1617310800000,6,165.16
8020,0,长江,60106980,三峡水库,1617314400000,4,165.14
8630,0,长江,60106980,三峡水库,1617318000000,4,165.1
11200,8000,长江,60106980,三峡水库,1617321600000,4,165.02
11900,0,长江,60106980,三峡水库,1617325200000,4,164.96
12000,0,长江,60106980,三峡水库,1617328800000,4,164.91
12000,0,长江,60106980,三峡水库,1617332400000,6,164.91
10700,0,长江,60106980,三峡水库,1617336000000,5,164.94
10000,0,长江,60106980,三峡水库,1617339600000,4,164.93
10000,7800,长江,60106980,三峡水库,1617343200000,5,164.96
10000,0,长江,60106980,三峡水库,1617346800000,5,164.99
10000,0,长江,60106980,三峡水库,1617350400000,4,164.98
11900,0,长江,60106980,三峡水库,1617354000000,4,164.91
11900,0,长江,60106980,三峡水库,1617357600000,6,164.91
12000,0,长江,60106980,三峡水库,1617361200000,4,164.87
12000,8000,长江,60106980,三峡水库,1617364800000,4,164.86
11600,0,长江,60106980,三峡水库,1617368400000,4,164.84
