oq,q,rvnm,stcd,stnm,tm,wptn,z
0,0,长江,60111200,城陵矶(莲),1617202800000,5,22.13
0,0,长江,60111200,城陵矶(莲),1617206400000,4,22.12
0,0,长江,60111200,城陵矶(莲),1617210000000,6,22.12
0,0,长江,60111200,城陵矶(莲),1617213600000,6,22.12
0,0,长江,60111200,城陵矶(莲),1617217200000,6,22.12
0,0,长江,60111200,城陵矶(莲),1617220800000,6,22.12
0,0,长江,60111200,城陵矶(莲),1617224400000,6,22.12
0,0,长江,60111200,城陵矶(莲),1617228000000,6,22.12
0,0,长江,60111200,城陵矶(莲),1617231600000,5,22.13
0,0,长江,60111200,城陵矶(莲),1617235200000,5,22.14
0,0,长江,60111200,城陵矶(莲),1617238800000,6,22.14
0,0,长江,60111200,城陵矶(莲),1617242400000,5,22.15
0,0,长江,60111200,城陵矶(莲),1617246000000,6,22.15
0,0,长江,60111200,城陵矶(莲),1617249600000,6,22.15
0,0,长江,60111200,城陵矶(莲),1617253200000,5,22.16
0,0,长江,60111200,城陵矶(莲),1617256800000,6,22.16
0,0,长江,60111200,城陵矶(莲),1617260400000,6,22.16
0,0,长江,60111200,城陵矶(莲),1617264000000,6,22.16
0,0,长江,60111200,城陵矶(莲),1617267600000,5,22.17
0,0,长江,60111200,城陵矶(莲),1617271200000,6,22.17
0,0,长江,60111200,城陵矶(莲),1617274800000,5,22.18
0,0,长江,60111200,城陵矶(莲),1617278400000,5,22.19
0,0,长江,60111200,城陵矶(莲),1617282000000,6,22.19
0,0,长江,60111200,城陵矶(莲),1617285600000,5,22.2
0,0,长江,60111200,城陵矶(莲),1617289200000,6,22.2
0,0,长江,60111200,城陵矶(莲),1617292800000,6,22.2
0,0,长江,60111200,城陵矶(莲),1617296400000,5,22.21
0,0,长江,60111200,城陵矶(莲),1617300000000,6,22.21
0,0,长江,60111200,城陵矶(莲),1617303600000,5,22.22
0,0,长江,60111200,城陵矶(莲),1617307200000,6,22.22
0,0,长江,60111200,城陵矶(莲),1617310800000,5,22.23
0,0,长江,60111200,城陵矶(莲),1617314400000,6,22.23
0,0,长江,60111200,城陵矶(莲),1617318000000,5,22.25
0,0,长江,60111200,城陵矶(莲),1617321600000,5,22.26
