oq,q,rvnm,stcd,stnm,tm,wptn,z
0,37300,长江,60112200,汉口,1656604800000,6,24.47
0,37200,长江,60112200,汉口,1656608400000,4,24.46
0,37200,长江,60112200,汉口,1656612000000,6,24.46
0,37200,长江,60112200,汉口,1656615600000,4,24.45
0,37200,长江,60112200,汉口,1656619200000,4,24.44
0,37200,长江,60112200,汉口,1656622800000,5,24.45
0,37200,长江,60112200,汉口,1656626400000,4,24.44
0,37200,长江,60112200,汉口,1656630000000,6,24.44
0,37100,长江,60112200,汉口,1656633600000,4,24.43
0,37100,长江,60112200,汉口,1656644400000,6,24.43
0,37100,长江,60112200,汉口,1656651600000,4,24.42
0,37100,长江,60112200,汉口,1656655200000,6,24.42
0,37100,长江,60112200,汉口,1656662400000,4,24.41
0,37100,长江,60112200,汉口,1656666000000,6,24.41
0,37100,长江,60112200,汉口,1656669600000,6,24.41
0,37100,长江,60112200,汉口,1656673200000,6,24.41
0,37000,长江,60112200,汉口,1656676800000,4,24.4
0,37000,长江,60112200,汉口,1656680400000,6,24.4
0,37000,长江,60112200,汉口,1656684000000,4,24.39
0,36900,长江,60112200,汉口,1656687600000,4,24.38
0,37000,长江,60112200,汉口,1656691200000,5,24.39
0,36900,长江,60112200,汉口,1656694800000,4,24.38
0,36900,长江,60112200,汉口,1656698400000,4,24.37
0,36900,长江,60112200,汉口,1656702000000,6,24.37
0,36900,长江,60112200,汉口,1656705600000,4,24.36
0,36800,长江,60112200,汉口,1656709200000,4,24.35
0,36800,长江,60112200,汉口,1656712800000,6,24.35
0,36800,长江,60112200,汉口,1656716400000,6,24.35
0,36800,长江,60112200,汉口,1656720000000,4,24.34
0,36700,长江,60112200,汉口,1656730800000,4,24.32
0,36700,长江,60112200,汉口,1656734400000,5,24.33
0,36700,长江,60112200,汉口,1656738000000,6,24.33
0,36700,长江,60112200,汉口,1656741600000,4,24.32
0,36700,长江,60112200,汉口,1656745200000,6,24.32
0,36600,长江,60112200,汉口,1656748800000,4,24.3
0,36600,长江,60112200,汉口,1656752400000,6,24.3
0,36600,长江,60112200,汉口,1656756000000,6,24.3
0,36600,长江,60112200,汉口,1656759600000,4,24.29
0,36600,长江,60112200,汉口,1656763200000,6,24.29
0,36500,长江,60112200,汉口,1656766800000,4,24.27
