oq,q,rvnm,stcd,stnm,tm,wptn,z
1190,793,汉江,61802700,丹江口水库,1672498800000,6,158.150
1190,439,汉江,61802700,丹江口水库,1672502400000,6,158.150
553,1410,汉江,61802700,丹江口水库,1672506000000,5,158.160
553,603,汉江,61802700,丹江口水库,1672509600000,4,158.140
550,871,汉江,61802700,丹江口水库,1672513200000,5,158.150
553,437,汉江,61802700,丹江口水库,1672516800000,4,158.140
552,333,汉江,61802700,丹江口水库,1672520400000,6,158.140
542,224,汉江,61802700,丹江口水库,1672524000000,4,158.130
544,456,汉江,61802700,丹江口水库,1672527600000,6,158.130
536,202,汉江,61802700,丹江口水库,1672531200000,6,158.130
541,551,汉江,61802700,丹江口水库,1672538400000,5,158.140
538,264,汉江,61802700,丹江口水库,1672542000000,4,158.130
538,548,汉江,61802700,丹江口水库,1672545600000,6,158.130
539,229,汉江,61802700,丹江口水库,1672549200000,4,158.120
538,226,汉江,61802700,丹江口水库,1672552800000,6,158.120
541,308,汉江,61802700,丹江口水库,1672556400000,6,158.120
524,306,汉江,61802700,丹江口水库,1672560000000,6,158.120
539,379,汉江,61802700,丹江口水库,1672563600000,6,158.120
1360,235,汉江,61802700,丹江口水库,1672567200000,4,158.110
