rvnm,stcd,stnm,tm,wptn,z
长江,60105400,寸滩,1672502400000,5,162.460
7340,长江,60105400,寸滩,1672506000000,5,162.480
长江,60105400,寸滩,1672509600000,5,162.520
长江,60105400,寸滩,1672513200000,5,162.540
长江,60105400,寸滩,1672516800000,5,162.560
长江,60105400,寸滩,1672520400000,5,162.570
长江,60105400,寸滩,1672524000000,4,162.550
长江,60105400,寸滩,1672527600000,4,162.530
7330,长江,60105400,寸滩,1672531200000,4,162.510
7240,长江,60105400,寸滩,1672538400000,4,162.450
7190,长江,60105400,寸滩,1672542000000,4,162.440
长江,60105400,寸滩,1672545600000,4,162.410
长江,60105400,寸滩,1672549200000,4,162.370
长江,60105400,寸滩,1672552800000,4,162.340
长江,60105400,寸滩,1672556400000,5,162.360
长江,60105400,寸滩,1672560000000,4,162.320
长江,60105400,寸滩,1672563600000,6,162.320
7020,长江,60105400,寸滩,1672567200000,5,162.330
长江,60105400,寸滩,1672570800000,6,162.330
7040,长江,60105400,寸滩,1672574400000,4,162.320
7020,长江,60105400,寸滩,1672578000000,5,162.330
长江,60105400,寸滩,1672581600000,5,162.350
7100,长江,60105400,寸滩,1672585200000,5,162.360
