oq,rvnm,stcd,stnm,tm,wptn,z
6110,长江,60106980,三峡水库,1680274800000,5,157.480
6110,长江,60106980,三峡水库,1680278400000,5,157.500
6100,长江,60106980,三峡水库,1680282000000,4,157.490
6110,6100,长江,60106980,三峡水库,1680285600000,4,157.480
6100,长江,60106980,三峡水库,1680289200000,4,157.460
6100,长江,60106980,三峡水库,1680292800000,6,157.460
6090,长江,60106980,三峡水库,1680296400000,6,157.460
6080,长江,60106980,三峡水库,1680300000000,5,157.480
6080,长江,60106980,三峡水库,1680303600000,4,157.470
7300,5900,长江,60106980,三峡水库,1680307200000,4,157.440
7450,长江,60106980,三峡水库,1680310800000,4,157.410
7460,长江,60106980,三峡水库,1680314400000,4,157.390
7470,长江,60106980,三峡水库,1680318000000,4,157.380
6120,长江,60106980,三峡水库,1680321600000,5,157.420
6110,长江,60106980,三峡水库,1680325200000,5,157.430
6120,5900,长江,60106980,三峡水库,1680328800000,6,157.430
6110,长江,60106980,三峡水库,1680332400000,6,157.430
7460,长江,60106980,三峡水库,1680336000000,4,157.360
7450,长江,60106980,三峡水库,1680339600000,5,157.390
7470,长江,60106980,三峡水库,1680343200000,4,157.340
7480,长江,60106980,三峡水库,1680346800000,5,157.360
7500,5700,长江,60106980,三峡水库,1680350400000,4,157.340
7510,长江,60106980,三峡水库,1680354000000,4,157.330
6960,长江,60106980,三峡水库,1680357600000,5,157.340
6120,长江,60106980,三峡水库,1680361200000,5,157.360
6110,长江,60106980,三峡水库,1680364800000,5,157.390
6120,长江,60106980,三峡水库,1680368400000,4,157.370
6110,5600,长江,60106980,三峡水库,1680372000000,4,157.350
6110,长江,60106980,三峡水库,1680375600000,4,157.290
6110,长江,60106980,三峡水库,1680379200000,4,157.270
6110,长江,60106980,三峡水库,1680382800000,5,157.280
