q,rvnm,stcd,stnm,tm,wptn,z
4950,长江,60105400,寸滩,1680278400000,5,160.660
4980,长江,60105400,寸滩,1680282000000,5,160.690
5010,长江,60105400,寸滩,1680285600000,5,160.710
5030,长江,60105400,寸滩,1680289200000,5,160.730
5060,长江,60105400,寸滩,1680292800000,5,160.750
5080,长江,60105400,寸滩,1680296400000,5,160.770
5080,长江,60105400,寸滩,1680300000000,6,160.770
5070,长江,60105400,寸滩,1680303600000,4,160.760
5060,长江,60105400,寸滩,1680307200000,4,160.750
5020,长江,60105400,寸滩,1680310800000,4,160.720
4970,长江,60105400,寸滩,1680314400000,4,160.680
4930,长江,60105400,寸滩,1680318000000,4,160.650
4880,长江,60105400,寸滩,1680321600000,4,160.610
4850,长江,60105400,寸滩,1680325200000,4,160.580
4790,长江,60105400,寸滩,1680328800000,4,160.540
4780,长江,60105400,寸滩,1680332400000,4,160.530
4780,长江,60105400,寸滩,1680336000000,6,160.530
4770,长江,60105400,寸滩,1680339600000,5,160.520
4660,长江,60105400,寸滩,1680343200000,4,160.430
4660,长江,60105400,寸滩,1680346800000,4,160.430
4620,长江,60105400,寸滩,1680350400000,4,160.400
4600,长江,60105400,寸滩,1680354000000,4,160.380
4570,长江,60105400,寸滩,1680357600000,4,160.360
4560,长江,60105400,寸滩,1680361200000,4,160.350
4530,长江,60105400,寸滩,1680364800000,4,160.330
4520,长江,60105400,寸滩,1680368400000,4,160.320
4510,长江,60105400,寸滩,1680372000000,4,160.310
4480,长江,60105400,寸滩,1680375600000,4,160.290
4470,长江,60105400,寸滩,1680379200000,4,160.280
4450,长江,60105400,寸滩,1680382800000,4,160.260
4420,长江,60105400,寸滩,1680386400000,4,160.240
4420,长江,60105400,寸滩,1680390000000,4,160.240
4410,长江,60105400,寸滩,1680393600000,4,160.230
4370,长江,60105400,寸滩,1680397200000,4,160.200
4400,长江,60105400,寸滩,1680400800000,4,160.220
4400,长江,60105400,寸滩,1680404400000,6,160.220
4410,长江,60105400,寸滩,1680408000000,5,160.230
4410,长江,60105400,寸滩,1680411600000,6,160.230
4420,长江,60105400,寸滩,1680415200000,5,160.240
4430,长江,60105400,寸滩,1680418800000,5,160.250
