q,rvnm,stcd,stnm,tm,wptn,z
15800,长江,60113400,九江,1682870400000,4,11.679
15800,长江,60113400,九江,1682874000000,4,11.675
15800,长江,60113400,九江,1682877600000,4,11.674
15800,长江,60113400,九江,1682881200000,4,11.668
15800,长江,60113400,九江,1682884800000,5,11.671
15800,长江,60113400,九江,1682888400000,4,11.667
15800,长江,60113400,九江,1682892000000,4,11.664
15800,长江,60113400,九江,1682895600000,4,11.657
15800,长江,60113400,九江,1682899200000,5,11.659
15800,长江,60113400,九江,1682902800000,4,11.655
15800,长江,60113400,九江,1682906400000,4,11.651
15800,长江,60113400,九江,1682910000000,5,11.653
15800,长江,60113400,九江,1682913600000,4,11.651
15800,长江,60113400,九江,1682917200000,4,11.650
15700,长江,60113400,九江,1682920800000,4,11.647
15800,长江,60113400,九江,1682924400000,4,11.643
15800,长江,60113400,九江,1682928000000,4,11.641
15800,长江,60113400,九江,1682931600000,4,11.632
15800,长江,60113400,九江,1682935200000,5,11.636
15800,长江,60113400,九江,1682938800000,4,11.632
15700,长江,60113400,九江,1682942400000,5,11.633
15600,长江,60113400,九江,1682946000000,4,11.631
15600,长江,60113400,九江,1682949600000,6,11.631
15600,长江,60113400,九江,1682953200000,4,11.626
