oq,rvnm,stcd,stnm,tm,wptn,z
968,汉江,61802700,丹江口水库,1740754800000,4,153.840
892,汉江,61802700,丹江口水库,1740758400000,6,153.840
533,汉江,61802700,丹江口水库,1740762000000,5,153.860
535,701,汉江,61802700,丹江口水库,1740765600000,4,153.840
532,汉江,61802700,丹江口水库,1740769200000,4,153.830
535,汉江,61802700,丹江口水库,1740772800000,6,153.830
533,汉江,61802700,丹江口水库,1740776400000,6,153.830
533,汉江,61802700,丹江口水库,1740780000000,6,153.830
533,汉江,61802700,丹江口水库,1740783600000,6,153.830
552,汉江,61802700,丹江口水库,1740790800000,4,153.820
820,汉江,61802700,丹江口水库,1740798000000,6,153.820
823,汉江,61802700,丹江口水库,1740801600000,6,153.820
807,汉江,61802700,丹江口水库,1740805200000,4,153.810
808,112,汉江,61802700,丹江口水库,1740808800000,6,153.810
984,汉江,61802700,丹江口水库,1740812400000,4,153.800
923,汉江,61802700,丹江口水库,1740816000000,5,153.810
915,汉江,61802700,丹江口水库,1740819600000,4,153.800
911,汉江,61802700,丹江口水库,1740823200000,6,153.800
