oq,rvnm,stcd,stnm,tm,wptn,z
10600,长江干流,60106980,三峡水库,1743433200000,4,162.480
9300,长江干流,60106980,三峡水库,1743436800000,5,162.540
8610,长江干流,60106980,三峡水库,1743440400000,4,162.530
8610,6100,长江干流,60106980,三峡水库,1743444000000,5,162.540
8590,长江干流,60106980,三峡水库,1743447600000,4,162.520
8610,长江干流,60106980,三峡水库,1743451200000,4,162.500
8610,长江干流,60106980,三峡水库,1743454800000,5,162.520
9190,长江干流,60106980,三峡水库,1743458400000,4,162.510
10600,长江干流,60106980,三峡水库,1743462000000,4,162.450
10600,6100,长江干流,60106980,三峡水库,1743465600000,4,162.420
8720,长江干流,60106980,三峡水库,1743472800000,5,162.380
6470,长江干流,60106980,三峡水库,1743476400000,5,162.440
6440,长江干流,60106980,三峡水库,1743480000000,5,162.470
6430,长江干流,60106980,三峡水库,1743483600000,5,162.480
6420,5800,长江干流,60106980,三峡水库,1743487200000,4,162.430
7840,长江干流,60106980,三峡水库,1743490800000,4,162.410
8980,长江干流,60106980,三峡水库,1743494400000,4,162.360
9730,长江干流,60106980,三峡水库,1743498000000,4,162.270
9760,长江干流,60106980,三峡水库,1743501600000,4,162.240
9770,长江干流,60106980,三峡水库,1743505200000,4,162.210
9890,5800,长江干流,60106980,三峡水库,1743508800000,6,162.210
10700,长江干流,60106980,三峡水库,1743512400000,4,162.180
10800,长江干流,60106980,三峡水库,1743516000000,4,162.150
10700,长江干流,60106980,三峡水库,1743519600000,4,162.130
9340,长江干流,60106980,三峡水库,1743523200000,5,162.180
7270,长江干流,60106980,三峡水库,1743526800000,5,162.210
7680,5800,长江干流,60106980,三峡水库,1743530400000,5,162.230
7260,长江干流,60106980,三峡水库,1743534000000,4,162.210
7260,长江干流,60106980,三峡水库,1743537600000,4,162.190
7250,长江干流,60106980,三峡水库,1743541200000,5,162.210
7240,长江干流,60106980,三峡水库,1743544800000,6,162.210
9310,长江干流,60106980,三峡水库,1743548400000,4,162.140
9320,5800,长江干流,60106980,三峡水库,1743552000000,4,162.080
7330,长江干流,60106980,三峡水库,1743559200000,5,162.060
6490,长江干流,60106980,三峡水库,1743562800000,5,162.070
6470,长江干流,60106980,三峡水库,1743566400000,5,162.100
6460,长江干流,60106980,三峡水库,1743570000000,4,162.090
6440,5800,长江干流,60106980,三峡水库,1743573600000,6,162.090
7830,长江干流,60106980,三峡水库,1743577200000,4,162.050
10600,长江干流,60106980,三峡水库,1743580800000,4,161.980
10600,长江干流,60106980,三峡水库,1743584400000,4,161.920
10600,长江干流,60106980,三峡水库,1743588000000,4,161.880
10600,长江干流,60106980,三峡水库,1743591600000,4,161.870
10600,5800,长江干流,60106980,三峡水库,1743595200000,4,161.860
10700,长江干流,60106980,三峡水库,1743598800000,4,161.840
8770,长江干流,60106980,三峡水库,1743602400000,5,161.890
7300,长江干流,60106980,三峡水库,1743606000000,5,161.910
7300,长江干流,60106980,三峡水库,1743609600000,5,161.960
7280,长江干流,60106980,三峡水库,1743613200000,4,161.940
7280,5900,长江干流,60106980,三峡水库,1743616800000,4,161.900
7280,长江干流,60106980,三峡水库,1743620400000,4,161.890
7280,长江干流,60106980,三峡水库,1743624000000,4,161.880
7270,长江干流,60106980,三峡水库,1743627600000,4,161.870
7250,长江干流,60106980,三峡水库,1743631200000,5,161.900
9350,长江干流,60106980,三峡水库,1743634800000,4,161.770
9350,6100,长江干流,60106980,三峡水库,1743638400000,5,161.780
7340,长江干流,60106980,三峡水库,1743645600000,5,161.780
6500,长江干流,60106980,三峡水库,1743649200000,5,161.820
6480,长江干流,60106980,三峡水库,1743652800000,5,161.830
6460,长江干流,60106980,三峡水库,1743656400000,6,161.830
6460,6100,长江干流,60106980,三峡水库,1743660000000,4,161.820
6640,长江干流,60106980,三峡水库,1743663600000,4,161.790
6510,0,长江干流,60106980,三峡水库,1743904800000,5,161.44
6510,0,长江干流,60106980,三峡水库,1743908400000,4,161.42
6510,0,长江干流,60106980,三峡水库,1743912000000,5,161.44
6500,0,长江干流,60106980,三峡水库,1743915600000,4,161.43
6500,6300,长江干流,60106980,三峡水库,1743919200000,4,161.41
6510,0,长江干流,60106980,三峡水库,1743922800000,5,161.42
9280,0,长江干流,60106980,三峡水库,1743926400000,4,161.35
9370,0,长江干流,60106980,三峡水库,1743930000000,4,161.32
9380,0,长江干流,60106980,三峡水库,1743933600000,4,161.29
9370,0,长江干流,60106980,三峡水库,1743937200000,4,161.28
9380,6200,长江干流,60106980,三峡水库,1743940800000,6,161.28
9380,0,长江干流,60106980,三峡水库,1743944400000,4,161.26
8700,0,长江干流,60106980,三峡水库,1743948000000,6,161.26
8700,0,长江干流,60106980,三峡水库,1743951600000,6,161.26
8690,0,长江干流,60106980,三峡水库,1743955200000,4,161.24
8690,0,长江干流,60106980,三峡水库,1743958800000,5,161.25
8690,6200,长江干流,60106980,三峡水库,1743962400000,4,161.2
8680,0,长江干流,60106980,三峡水库,1743966000000,5,161.21
8690,0,长江干流,60106980,三峡水库,1743969600000,4,161.18
8680,0,长江干流,60106980,三峡水库,1743973200000,6,161.18
9260,0,长江干流,60106980,三峡水库,1743976800000,4,161.16
10700,0,长江干流,60106980,三峡水库,1743980400000,4,161.12
10700,6200,长江干流,60106980,三峡水库,1743984000000,4,161.08
8770,0,长江干流,60106980,三峡水库,1743991200000,5,161.09
6500,0,长江干流,60106980,三峡水库,1743994800000,5,161.15
6490,0,长江干流,60106980,三峡水库,1743998400000,5,161.17
6480,0,长江干流,60106980,三峡水库,1744002000000,6,161.17
6480,6000,长江干流,60106980,三峡水库,1744005600000,4,161.15
7870,0,长江干流,60106980,三峡水库,1744009200000,4,161.11
10600,0,长江干流,60106980,三峡水库,1744012800000,4,161.04
10600,0,长江干流,60106980,三峡水库,1744016400000,4,160.95
10600,0,长江干流,60106980,三峡水库,1744020000000,4,160.9
10600,0,长江干流,60106980,三峡水库,1744023600000,4,160.86
10600,6000,长江干流,60106980,三峡水库,1744027200000,4,160.83
10700,0,长江干流,60106980,三峡水库,1744030800000,4,160.79
10700,0,长江干流,60106980,三峡水库,1744034400000,5,160.8
10700,0,长江干流,60106980,三峡水库,1744038000000,4,160.76
10700,0,长江干流,60106980,三峡水库,1744041600000,4,160.74
10700,0,长江干流,60106980,三峡水库,1744045200000,4,160.72
10700,6200,长江干流,60106980,三峡水库,1744048800000,4,160.7
10700,0,长江干流,60106980,三峡水库,1744052400000,4,160.68
10700,0,长江干流,60106980,三峡水库,1744056000000,4,160.65
10700,0,长江干流,60106980,三峡水库,1744059600000,5,160.66
10700,0,长江干流,60106980,三峡水库,1744063200000,4,160.65
10700,0,长江干流,60106980,三峡水库,1744066800000,5,160.66
10800,6200,长江干流,60106980,三峡水库,1744070400000,4,160.65
9620,0,长江干流,60106980,三峡水库,1744077600000,5,160.63
6630,0,长江干流,60106980,三峡水库,1744081200000,5,160.68
6530,0,长江干流,60106980,三峡水库,1744084800000,4,160.67
6520,0,长江干流,60106980,三峡水库,1744088400000,5,160.71
6500,5900,长江干流,60106980,三峡水库,1744092000000,4,160.68
9330,0,长江干流,60106980,三峡水库,1744095600000,4,160.58
11000,0,长江干流,60106980,三峡水库,1744099200000,4,160.5
11100,0,长江干流,60106980,三峡水库,1744102800000,4,160.44
11100,0,长江干流,60106980,三峡水库,1744106400000,4,160.41
11100,0,长江干流,60106980,三峡水库,1744110000000,4,160.39
11100,5900,长江干流,60106980,三峡水库,1744113600000,4,160.35
11100,0,长江干流,60106980,三峡水库,1744117200000,4,160.32
11100,0,长江干流,60106980,三峡水库,1744120800000,4,160.3
11100,0,长江干流,60106980,三峡水库,1744124400000,4,160.27
11100,0,长江干流,60106980,三峡水库,1744128000000,4,160.26
10800,0,长江干流,60106980,三峡水库,1744131600000,4,160.24
10800,6000,长江干流,60106980,三峡水库,1744135200000,4,160.21
10800,0,长江干流,60106980,三峡水库,1744138800000,4,160.16
10800,0,长江干流,60106980,三峡水库,1744142400000,6,160.16
10800,0,长江干流,60106980,三峡水库,1744146000000,4,160.14
10800,0,长江干流,60106980,三峡水库,1744149600000,4,160.13
10800,0,长江干流,60106980,三峡水库,1744153200000,6,160.13
10800,6000,长江干流,60106980,三峡水库,1744156800000,4,160.12
9660,0,长江干流,60106980,三峡水库,1744164000000,6,160.08
6660,0,长江干流,60106980,三峡水库,1744167600000,5,160.14
6580,0,长江干流,60106980,三峡水库,1744171200000,5,160.16
6560,0,长江干流,60106980,三峡水库,1744174800000,5,160.18
6690,6000,长江干流,60106980,三峡水库,1744178400000,4,160.15
9340,0,长江干流,60106980,三峡水库,1744182000000,4,160.03
11100,0,长江干流,60106980,三峡水库,1744185600000,4,159.96
11100,0,长江干流,60106980,三峡水库,1744189200000,4,159.88
