q,rvnm,stcd,stnm,tm,wptn,z
11500,长江干流,60113400,九江,1743433200000,5,9.372
11500,长江干流,60113400,九江,1743436800000,5,9.377
11500,长江干流,60113400,九江,1743440400000,5,9.383
11600,长江干流,60113400,九江,1743444000000,5,9.388
11500,长江干流,60113400,九江,1743447600000,4,9.386
11500,长江干流,60113400,九江,1743451200000,5,9.389
11600,长江干流,60113400,九江,1743454800000,5,9.396
11500,长江干流,60113400,九江,1743458400000,4,9.392
11600,长江干流,60113400,九江,1743462000000,5,9.399
11500,长江干流,60113400,九江,1743465600000,4,9.395
11500,长江干流,60113400,九江,1743472800000,5,9.403
11500,长江干流,60113400,九江,1743476400000,5,9.409
11400,长江干流,60113400,九江,1743480000000,4,9.405
11500,长江干流,60113400,九江,1743483600000,5,9.413
11500,长江干流,60113400,九江,1743487200000,6,9.413
11500,长江干流,60113400,九江,1743490800000,5,9.417
11600,长江干流,60113400,九江,1743494400000,5,9.419
11600,长江干流,60113400,九江,1743498000000,6,9.419
11600,长江干流,60113400,九江,1743501600000,5,9.421
11600,长江干流,60113400,九江,1743505200000,6,9.421
11600,长江干流,60113400,九江,1743508800000,6,9.421
11600,长江干流,60113400,九江,1743512400000,4,9.420
11600,长江干流,60113400,九江,1743516000000,5,9.428
11600,长江干流,60113400,九江,1743519600000,5,9.429
11600,长江干流,60113400,九江,1743523200000,6,9.429
11600,长江干流,60113400,九江,1743526800000,5,9.432
11600,长江干流,60113400,九江,1743530400000,5,9.435
11500,长江干流,60113400,九江,1743534000000,4,9.432
11600,长江干流,60113400,九江,1743537600000,5,9.438
11700,长江干流,60113400,九江,1743541200000,4,9.437
11700,长江干流,60113400,九江,1743544800000,6,9.437
11700,长江干流,60113400,九江,1743548400000,5,9.438
11600,长江干流,60113400,九江,1743552000000,5,9.440
11600,长江干流,60113400,九江,1743559200000,4,9.438
11700,长江干流,60113400,九江,1743562800000,5,9.444
11700,长江干流,60113400,九江,1743566400000,4,9.443
11700,长江干流,60113400,九江,1743570000000,6,9.443
11700,长江干流,60113400,九江,1743573600000,4,9.438
11800,长江干流,60113400,九江,1743577200000,6,9.438
11800,长江干流,60113400,九江,1743580800000,6,9.438
12100,长江干流,60113400,九江,1743591600000,4,9.433
12100,长江干流,60113400,九江,1743595200000,4,9.427
12000,长江干流,60113400,九江,1743598800000,4,9.421
12000,长江干流,60113400,九江,1743602400000,6,9.421
12000,长江干流,60113400,九江,1743606000000,4,9.416
12100,长江干流,60113400,九江,1743609600000,4,9.410
12100,长江干流,60113400,九江,1743613200000,6,9.410
12100,长江干流,60113400,九江,1743616800000,4,9.404
12100,长江干流,60113400,九江,1743620400000,4,9.399
12100,长江干流,60113400,九江,1743624000000,4,9.388
12100,长江干流,60113400,九江,1743627600000,6,9.388
12100,长江干流,60113400,九江,1743631200000,6,9.388
12100,长江干流,60113400,九江,1743634800000,4,9.383
12200,长江干流,60113400,九江,1743639360000,9.380
12200,长江干流,60113400,九江,1743645600000,4,9.372
12100,长江干流,60113400,九江,1743649200000,4,9.361
12100,长江干流,60113400,九江,1743652800000,4,9.356
12200,长江干流,60113400,九江,1743656400000,4,9.355
12100,长江干流,60113400,九江,1743660000000,4,9.344
12200,长江干流,60113400,九江,1743663600000,5,9.347
0,12200,长江干流,60113400,九江,1743904800000,4,9.082
0,12100,长江干流,60113400,九江,1743908400000,4,9.077
0,12200,长江干流,60113400,九江,1743912000000,4,9.072
0,12100,长江干流,60113400,九江,1743915600000,4,9.067
0,12200,长江干流,60113400,九江,1743919200000,4,9.064
0,0,长江干流,60113400,九江,1743922800000,4,9.062
0,12200,长江干流,60113400,九江,1743926400000,4,9.057
0,12100,长江干流,60113400,九江,1743930000000,4,9.053
0,12100,长江干流,60113400,九江,1743933600000,4,9.051
0,12200,长江干流,60113400,九江,1743937200000,4,9.046
0,12100,长江干流,60113400,九江,1743940800000,4,9.043
0,12100,长江干流,60113400,九江,1743944400000,4,9.035
0,12200,长江干流,60113400,九江,1743948000000,4,9.032
0,12100,长江干流,60113400,九江,1743951600000,4,9.024
0,12100,长江干流,60113400,九江,1743955200000,4,9.02
0,12100,长江干流,60113400,九江,1743958800000,4,9.013
0,12200,长江干流,60113400,九江,1743962400000,5,9.014
0,12100,长江干流,60113400,九江,1743966000000,4,9.005
0,12000,长江干流,60113400,九江,1743969600000,4,9.001
0,12000,长江干流,60113400,九江,1743973200000,4,8.996
0,12100,长江干流,60113400,九江,1743976800000,4,8.992
0,12000,长江干流,60113400,九江,1743980400000,4,8.988
0,12100,长江干流,60113400,九江,1743984000000,4,8.982
0,12000,长江干流,60113400,九江,1743991200000,4,8.972
0,12100,长江干流,60113400,九江,1743994800000,4,8.966
0,12100,长江干流,60113400,九江,1743998400000,4,8.958
0,12100,长江干流,60113400,九江,1744002000000,4,8.956
0,12100,长江干流,60113400,九江,1744005600000,4,8.95
0,12100,长江干流,60113400,九江,1744009200000,4,8.947
0,12100,长江干流,60113400,九江,1744012800000,4,8.942
0,12100,长江干流,60113400,九江,1744016400000,4,8.936
0,12100,长江干流,60113400,九江,1744020000000,4,8.928
0,12200,长江干流,60113400,九江,1744023600000,6,8.928
0,12100,长江干流,60113400,九江,1744027200000,4,8.919
0,12100,长江干流,60113400,九江,1744030800000,4,8.915
0,12100,长江干流,60113400,九江,1744034400000,4,8.905
0,12100,长江干流,60113400,九江,1744038000000,4,8.903
0,12100,长江干流,60113400,九江,1744041600000,4,8.895
0,0,长江干流,60113400,九江,1744045200000,4,8.892
0,12100,长江干流,60113400,九江,1744048800000,4,8.885
0,12000,长江干流,60113400,九江,1744052400000,4,8.878
0,12100,长江干流,60113400,九江,1744056000000,4,8.874
0,12100,长江干流,60113400,九江,1744059600000,4,8.872
0,12000,长江干流,60113400,九江,1744063200000,4,8.866
0,12100,长江干流,60113400,九江,1744066800000,4,8.863
0,12000,长江干流,60113400,九江,1744070400000,4,8.855
0,12000,长江干流,60113400,九江,1744077600000,4,8.848
0,11900,长江干流,60113400,九江,1744081200000,4,8.845
0,12000,长江干流,60113400,九江,1744084800000,4,8.842
0,12000,长江干流,60113400,九江,1744088400000,4,8.839
0,11800,长江干流,60113400,九江,1744092000000,4,8.829
0,12000,长江干流,60113400,九江,1744095600000,5,8.831
0,0,长江干流,60113400,九江,1744099200000,4,8.819
0,12000,长江干流,60113400,九江,1744102800000,6,8.819
