q,rvnm,stcd,stnm,tm,wptn,z
11900,长江干流,60112200,汉口,1743433200000,6,14.420
11900,长江干流,60112200,汉口,1743436800000,6,14.420
12000,长江干流,60112200,汉口,1743440400000,5,14.430
12000,长江干流,60112200,汉口,1743444000000,6,14.430
12000,长江干流,60112200,汉口,1743447600000,6,14.430
12000,长江干流,60112200,汉口,1743451200000,6,14.430
12000,长江干流,60112200,汉口,1743454800000,6,14.430
12000,长江干流,60112200,汉口,1743458400000,6,14.430
12000,长江干流,60112200,汉口,1743462000000,6,14.430
12000,长江干流,60112200,汉口,1743465600000,6,14.430
12000,长江干流,60112200,汉口,1743472800000,5,14.440
12000,长江干流,60112200,汉口,1743476400000,6,14.440
12000,长江干流,60112200,汉口,1743480000000,6,14.440
12000,长江干流,60112200,汉口,1743483600000,6,14.440
12000,长江干流,60112200,汉口,1743487200000,6,14.440
12000,长江干流,60112200,汉口,1743490800000,6,14.440
12000,长江干流,60112200,汉口,1743494400000,6,14.440
12000,长江干流,60112200,汉口,1743498000000,6,14.440
12000,长江干流,60112200,汉口,1743501600000,5,14.450
12000,长江干流,60112200,汉口,1743505200000,6,14.450
12000,长江干流,60112200,汉口,1743508800000,6,14.450
12000,长江干流,60112200,汉口,1743512400000,6,14.450
12000,长江干流,60112200,汉口,1743516000000,5,14.460
12000,长江干流,60112200,汉口,1743519600000,6,14.460
12000,长江干流,60112200,汉口,1743523200000,6,14.460
12000,长江干流,60112200,汉口,1743526800000,6,14.460
12000,长江干流,60112200,汉口,1743530400000,6,14.460
12000,长江干流,60112200,汉口,1743534000000,6,14.460
12000,长江干流,60112200,汉口,1743537600000,6,14.460
12000,长江干流,60112200,汉口,1743541200000,5,14.470
12000,长江干流,60112200,汉口,1743544800000,6,14.470
12000,长江干流,60112200,汉口,1743548400000,5,14.480
12000,长江干流,60112200,汉口,1743552000000,6,14.480
12000,长江干流,60112200,汉口,1743559200000,6,14.480
12000,长江干流,60112200,汉口,1743562800000,4,14.470
12000,长江干流,60112200,汉口,1743566400000,5,14.480
12000,长江干流,60112200,汉口,1743570000000,6,14.480
12000,长江干流,60112200,汉口,1743573600000,6,14.480
12000,长江干流,60112200,汉口,1743577200000,6,14.480
12000,长江干流,60112200,汉口,1743580800000,6,14.480
12100,长江干流,60112200,汉口,1743588000000,5,14.490
12100,长江干流,60112200,汉口,1743591600000,6,14.490
12100,长江干流,60112200,汉口,1743595200000,6,14.490
12100,长江干流,60112200,汉口,1743598800000,6,14.490
12000,长江干流,60112200,汉口,1743602400000,4,14.480
12000,长江干流,60112200,汉口,1743606000000,6,14.480
12000,长江干流,60112200,汉口,1743609600000,6,14.480
12100,长江干流,60112200,汉口,1743613200000,5,14.490
12000,长江干流,60112200,汉口,1743616800000,4,14.480
12100,长江干流,60112200,汉口,1743620400000,5,14.490
12000,长江干流,60112200,汉口,1743624000000,4,14.480
12100,长江干流,60112200,汉口,1743627600000,5,14.490
12100,长江干流,60112200,汉口,1743631200000,6,14.490
12100,长江干流,60112200,汉口,1743634800000,6,14.490
12100,长江干流,60112200,汉口,1743638400000,6,14.490
12100,长江干流,60112200,汉口,1743645600000,6,14.490
12100,长江干流,60112200,汉口,1743649200000,6,14.490
12100,长江干流,60112200,汉口,1743652800000,6,14.490
12000,长江干流,60112200,汉口,1743656400000,4,14.480
12000,长江干流,60112200,汉口,1743660000000,6,14.480
12000,长江干流,60112200,汉口,1743663600000,6,14.480
0,11600,长江干流,60112200,汉口,1743904800000,6,14.24
0,11600,长江干流,60112200,汉口,1743908400000,4,14.23
0,11600,长江干流,60112200,汉口,1743912000000,6,14.23
0,11600,长江干流,60112200,汉口,1743915600000,4,14.22
0,11600,长江干流,60112200,汉口,1743919200000,4,14.21
0,0,长江干流,60112200,汉口,1743922800000,6,14.21
0,11600,长江干流,60112200,汉口,1743926400000,4,14.2
0,11600,长江干流,60112200,汉口,1743930000000,6,14.2
0,11500,长江干流,60112200,汉口,1743933600000,4,14.19
0,11500,长江干流,60112200,汉口,1743937200000,6,14.19
0,11500,长江干流,60112200,汉口,1743940800000,4,14.18
0,11500,长江干流,60112200,汉口,1743944400000,6,14.18
0,11500,长江干流,60112200,汉口,1743948000000,4,14.17
0,11500,长江干流,60112200,汉口,1743951600000,6,14.17
0,0,长江干流,60112200,汉口,1743955200000,4,14.16
0,11500,长江干流,60112200,汉口,1743958800000,4,14.15
0,11500,长江干流,60112200,汉口,1743962400000,6,14.15
0,11500,长江干流,60112200,汉口,1743966000000,4,14.14
0,11500,长江干流,60112200,汉口,1743969600000,6,14.14
0,11400,长江干流,60112200,汉口,1743973200000,4,14.13
0,11400,长江干流,60112200,汉口,1743976800000,6,14.13
0,11400,长江干流,60112200,汉口,1743980400000,4,14.12
0,11400,长江干流,60112200,汉口,1743984000000,4,14.11
0,11400,长江干流,60112200,汉口,1743991200000,6,14.1
0,11400,长江干流,60112200,汉口,1743994800000,4,14.09
0,11400,长江干流,60112200,汉口,1743998400000,6,14.09
0,11400,长江干流,60112200,汉口,1744002000000,4,14.08
0,11400,长江干流,60112200,汉口,1744005600000,6,14.08
0,11300,长江干流,60112200,汉口,1744009200000,4,14.07
0,11300,长江干流,60112200,汉口,1744012800000,4,14.06
0,11300,长江干流,60112200,汉口,1744016400000,6,14.06
0,11300,长江干流,60112200,汉口,1744020000000,6,14.06
0,11300,长江干流,60112200,汉口,1744023600000,4,14.05
0,11300,长江干流,60112200,汉口,1744027200000,4,14.04
0,11300,长江干流,60112200,汉口,1744030800000,6,14.04
0,11300,长江干流,60112200,汉口,1744034400000,4,14.03
0,11300,长江干流,60112200,汉口,1744038000000,6,14.03
0,11200,长江干流,60112200,汉口,1744041600000,4,14.02
0,0,长江干流,60112200,汉口,1744045200000,4,14.01
0,11200,长江干流,60112200,汉口,1744048800000,4,14
0,11200,长江干流,60112200,汉口,1744052400000,6,14
0,11200,长江干流,60112200,汉口,1744056000000,4,13.99
0,11200,长江干流,60112200,汉口,1744059600000,6,13.99
0,11200,长江干流,60112200,汉口,1744063200000,4,13.98
0,11200,长江干流,60112200,汉口,1744066800000,4,13.97
0,11100,长江干流,60112200,汉口,1744070400000,4,13.96
0,11100,长江干流,60112200,汉口,1744077600000,4,13.95
0,11100,长江干流,60112200,汉口,1744081200000,6,13.95
0,11100,长江干流,60112200,汉口,1744084800000,4,13.94
0,11100,长江干流,60112200,汉口,1744088400000,6,13.94
0,11100,长江干流,60112200,汉口,1744092000000,4,13.93
0,11100,长江干流,60112200,汉口,1744095600000,4,13.92
0,11100,长江干流,60112200,汉口,1744099200000,6,13.92
0,11000,长江干流,60112200,汉口,1744113600000,4,13.9
0,11000,长江干流,60112200,汉口,1744117200000,6,13.9
0,11000,长江干流,60112200,汉口,1744120800000,6,13.89
0,11000,长江干流,60112200,汉口,1744124400000,6,13.89
0,11000,长江干流,60112200,汉口,1744128000000,4,13.88
0,11000,长江干流,60112200,汉口,1744131600000,6,13.88
0,11000,长江干流,60112200,汉口,1744135200000,4,13.87
0,11000,长江干流,60112200,汉口,1744138800000,6,13.87
0,11000,长江干流,60112200,汉口,1744142400000,6,13.87
0,11000,长江干流,60112200,汉口,1744146000000,4,13.86
0,11000,长江干流,60112200,汉口,1744149600000,6,13.86
0,0,长江干流,60112200,汉口,1744153200000,6,13.86
0,11000,长江干流,60112200,汉口,1744156800000,6,13.86
0,11000,长江干流,60112200,汉口,1744164000000,6,13.85
0,11000,长江干流,60112200,汉口,1744167600000,6,13.85
0,10900,长江干流,60112200,汉口,1744171200000,4,13.84
0,10900,长江干流,60112200,汉口,1744174800000,6,13.84
0,10900,长江干流,60112200,汉口,1744178400000,6,13.84
0,10900,长江干流,60112200,汉口,1744182000000,6,13.84
0,10900,长江干流,60112200,汉口,1744185600000,6,13.84
0,10900,长江干流,60112200,汉口,1744189200000,4,13.83
0,10900,长江干流,60112200,汉口,1744192800000,5,13.84
0,10900,长江干流,60112200,汉口,1744196400000,4,13.83
0,10900,长江干流,60112200,汉口,1744200000000,6,13.83
0,10900,长江干流,60112200,汉口,1744203600000,6,13.83
0,10900,长江干流,60112200,汉口,1744207200000,6,13.83
0,10900,长江干流,60112200,汉口,1744210800000,6,13.83
0,10900,长江干流,60112200,汉口,1744214400000,6,13.83
0,10900,长江干流,60112200,汉口,1744218000000,6,13.83
0,10900,长江干流,60112200,汉口,1744221600000,6,13.83
0,10900,长江干流,60112200,汉口,1744225200000,6,13.83
0,10900,长江干流,60112200,汉口,1744228800000,5,13.84
0,10900,长江干流,60112200,汉口,1744232400000,4,13.83
0,10900,长江干流,60112200,汉口,1744236000000,5,13.84
0,11000,长江干流,60112200,汉口,1744239600000,5,13.85
0,11000,长江干流,60112200,汉口,1744243200000,6,13.85
0,10900,长江干流,60112200,汉口,1744250400000,6,13.84
0,11000,长江干流,60112200,汉口,1744254000000,5,13.85
0,11000,长江干流,60112200,汉口,1744257600000,6,13.85
0,0,长江干流,60112200,汉口,1744261200000,6,13.85
0,11000,长江干流,60112200,汉口,1744264800000,6,13.85
0,11000,长江干流,60112200,汉口,1744268400000,5,13.86
0,11000,长江干流,60112200,汉口,1744272000000,6,13.86
0,11000,长江干流,60112200,汉口,1744275600000,6,13.86
0,11000,长江干流,60112200,汉口,1744279200000,5,13.87
0,11000,长江干流,60112200,汉口,1744282800000,6,13.87
0,11000,长江干流,60112200,汉口,1744286400000,6,13.87
0,11000,长江干流,60112200,汉口,1744290000000,5,13.88
0,11000,长江干流,60112200,汉口,1744293600000,6,13.88
0,11000,长江干流,60112200,汉口,1744297200000,5,13.89
0,11000,长江干流,60112200,汉口,1744300800000,6,13.89
0,11000,长江干流,60112200,汉口,1744304400000,6,13.89
0,11000,长江干流,60112200,汉口,1744308000000,6,13.89
0,11000,长江干流,60112200,汉口,1744311600000,5,13.9
0,11000,长江干流,60112200,汉口,1744315200000,6,13.9
