rvnm,stcd,stnm,tm,wptn,z
长江干流,60111200,莲花塘,1743436800000,6,21.110
长江干流,60111200,莲花塘,1743440400000,6,21.110
长江干流,60111200,莲花塘,1743444000000,6,21.110
长江干流,60111200,莲花塘,1743447600000,6,21.110
长江干流,60111200,莲花塘,1743451200000,5,21.120
长江干流,60111200,莲花塘,1743454800000,6,21.120
长江干流,60111200,莲花塘,1743458400000,6,21.120
长江干流,60111200,莲花塘,1743462000000,5,21.130
长江干流,60111200,莲花塘,1743465600000,6,21.130
长江干流,60111200,莲花塘,1743472800000,6,21.140
长江干流,60111200,莲花塘,1743476400000,5,21.150
长江干流,60111200,莲花塘,1743480000000,6,21.150
长江干流,60111200,莲花塘,1743483600000,5,21.160
长江干流,60111200,莲花塘,1743487200000,5,21.170
长江干流,60111200,莲花塘,1743494400000,6,21.170
长江干流,60111200,莲花塘,1743498000000,5,21.180
长江干流,60111200,莲花塘,1743501600000,6,21.180
长江干流,60111200,莲花塘,1743505200000,5,21.190
长江干流,60111200,莲花塘,1743508800000,6,21.190
长江干流,60111200,莲花塘,1743512400000,6,21.190
长江干流,60111200,莲花塘,1743516000000,5,21.200
长江干流,60111200,莲花塘,1743519600000,6,21.200
长江干流,60111200,莲花塘,1743523200000,6,21.200
长江干流,60111200,莲花塘,1743526800000,4,21.190
长江干流,60111200,莲花塘,1743530400000,6,21.190
长江干流,60111200,莲花塘,1743534000000,6,21.190
长江干流,60111200,莲花塘,1743537600000,6,21.190
长江干流,60111200,莲花塘,1743541200000,6,21.190
长江干流,60111200,莲花塘,1743544800000,4,21.180
长江干流,60111200,莲花塘,1743548400000,6,21.180
长江干流,60111200,莲花塘,1743552000000,4,21.170
长江干流,60111200,莲花塘,1743559200000,6,21.170
长江干流,60111200,莲花塘,1743562800000,6,21.170
长江干流,60111200,莲花塘,1743566400000,4,21.160
长江干流,60111200,莲花塘,1743570000000,4,21.150
长江干流,60111200,莲花塘,1743573600000,5,21.160
长江干流,60111200,莲花塘,1743577200000,4,21.150
长江干流,60111200,莲花塘,1743580800000,6,21.150
长江干流,60111200,莲花塘,1743584400000,4,21.140
长江干流,60111200,莲花塘,1743588000000,4,21.130
长江干流,60111200,莲花塘,1743591600000,6,21.130
长江干流,60111200,莲花塘,1743595200000,4,21.120
长江干流,60111200,莲花塘,1743598800000,4,21.110
长江干流,60111200,莲花塘,1743602400000,6,21.110
长江干流,60111200,莲花塘,1743606000000,4,21.100
长江干流,60111200,莲花塘,1743609600000,6,21.100
长江干流,60111200,莲花塘,1743613200000,6,21.100
长江干流,60111200,莲花塘,1743616800000,4,21.090
长江干流,60111200,莲花塘,1743620400000,4,21.080
长江干流,60111200,莲花塘,1743624000000,4,21.070
长江干流,60111200,莲花塘,1743627600000,6,21.070
长江干流,60111200,莲花塘,1743631200000,4,21.060
长江干流,60111200,莲花塘,1743634800000,6,21.060
长江干流,60111200,莲花塘,1743638400000,4,21.050
长江干流,60111200,莲花塘,1743645600000,6,21.040
长江干流,60111200,莲花塘,1743649200000,4,21.030
长江干流,60111200,莲花塘,1743652800000,6,21.030
长江干流,60111200,莲花塘,1743656400000,4,21.020
长江干流,60111200,莲花塘,1743660000000,6,21.020
长江干流,60111200,莲花塘,1743663600000,4,21.010
0,0,长江干流,60111200,莲花塘,1743904800000,4,20.65
0,0,长江干流,60111200,莲花塘,1743908400000,4,20.64
0,0,长江干流,60111200,莲花塘,1743912000000,4,20.63
0,0,长江干流,60111200,莲花塘,1743915600000,4,20.62
0,0,长江干流,60111200,莲花塘,1743919200000,6,20.62
0,0,长江干流,60111200,莲花塘,1743922800000,4,20.61
0,0,长江干流,60111200,莲花塘,1743926400000,4,20.6
0,0,长江干流,60111200,莲花塘,1743930000000,4,20.59
0,0,长江干流,60111200,莲花塘,1743933600000,4,20.58
0,0,长江干流,60111200,莲花塘,1743937200000,4,20.57
0,0,长江干流,60111200,莲花塘,1743940800000,6,20.57
0,0,长江干流,60111200,莲花塘,1743944400000,4,20.56
0,0,长江干流,60111200,莲花塘,1743948000000,4,20.55
0,0,长江干流,60111200,莲花塘,1743951600000,6,20.55
0,0,长江干流,60111200,莲花塘,1743955200000,4,20.54
0,0,长江干流,60111200,莲花塘,1743958800000,4,20.53
0,0,长江干流,60111200,莲花塘,1743962400000,6,20.53
0,0,长江干流,60111200,莲花塘,1743966000000,4,20.52
0,0,长江干流,60111200,莲花塘,1743969600000,4,20.51
0,0,长江干流,60111200,莲花塘,1743973200000,6,20.51
0,0,长江干流,60111200,莲花塘,1743976800000,4,20.5
0,0,长江干流,60111200,莲花塘,1743980400000,4,20.49
0,0,长江干流,60111200,莲花塘,1743984000000,6,20.49
0,0,长江干流,60111200,莲花塘,1743991200000,4,20.47
0,0,长江干流,60111200,莲花塘,1743994800000,4,20.46
0,0,长江干流,60111200,莲花塘,1743998400000,6,20.46
0,0,长江干流,60111200,莲花塘,1744002000000,4,20.45
0,0,长江干流,60111200,莲花塘,1744005600000,6,20.45
0,0,长江干流,60111200,莲花塘,1744009200000,6,20.45
0,0,长江干流,60111200,莲花塘,1744012800000,4,20.44
0,0,长江干流,60111200,莲花塘,1744016400000,6,20.44
0,0,长江干流,60111200,莲花塘,1744020000000,4,20.43
0,0,长江干流,60111200,莲花塘,1744023600000,4,20.42
0,0,长江干流,60111200,莲花塘,1744027200000,6,20.42
0,0,长江干流,60111200,莲花塘,1744030800000,6,20.42
0,0,长江干流,60111200,莲花塘,1744034400000,4,20.41
0,0,长江干流,60111200,莲花塘,1744038000000,6,20.41
0,0,长江干流,60111200,莲花塘,1744041600000,6,20.41
0,0,长江干流,60111200,莲花塘,1744045200000,6,20.41
0,0,长江干流,60111200,莲花塘,1744048800000,4,20.4
0,0,长江干流,60111200,莲花塘,1744052400000,5,20.41
0,0,长江干流,60111200,莲花塘,1744056000000,4,20.4
0,0,长江干流,60111200,莲花塘,1744059600000,6,20.4
0,0,长江干流,60111200,莲花塘,1744063200000,6,20.4
0,0,长江干流,60111200,莲花塘,1744066800000,6,20.4
0,0,长江干流,60111200,莲花塘,1744070400000,5,20.41
0,0,长江干流,60111200,莲花塘,1744077600000,6,20.41
0,0,长江干流,60111200,莲花塘,1744081200000,6,20.41
0,0,长江干流,60111200,莲花塘,1744084800000,5,20.42
0,0,长江干流,60111200,莲花塘,1744088400000,6,20.42
0,0,长江干流,60111200,莲花塘,1744092000000,5,20.43
0,0,长江干流,60111200,莲花塘,1744095600000,6,20.43
