q,rvnm,stcd,stnm,tm,wptn,z
22100,长江干流,60112200,汉口,1748707200000,5,18.970
22100,长江干流,60112200,汉口,1748710800000,6,18.970
22100,长江干流,60112200,汉口,1748714400000,5,18.980
22200,长江干流,60112200,汉口,1748718000000,5,18.990
22200,长江干流,60112200,汉口,1748721600000,5,19.000
22200,长江干流,60112200,汉口,1748725200000,6,19.000
22200,长江干流,60112200,汉口,1748728800000,5,19.010
22200,长江干流,60112200,汉口,1748732400000,6,19.010
22300,长江干流,60112200,汉口,1748739600000,6,19.020
22300,长江干流,60112200,汉口,1748746800000,6,19.030
22300,长江干流,60112200,汉口,1748750400000,6,19.030
22300,长江干流,60112200,汉口,1748754000000,5,19.040
22300,长江干流,60112200,汉口,1748757600000,6,19.040
22300,长江干流,60112200,汉口,1748761200000,5,19.050
22400,长江干流,60112200,汉口,1748764800000,5,19.070
22400,长江干流,60112200,汉口,1748768400000,5,19.080
22500,长江干流,60112200,汉口,1748772000000,5,19.090
22500,长江干流,60112200,汉口,1748775600000,5,19.100
22500,长江干流,60112200,汉口,1748779200000,6,19.100
22600,长江干流,60112200,汉口,1748782800000,5,19.120
22600,长江干流,60112200,汉口,1748786400000,5,19.130
22600,长江干流,60112200,汉口,1748790000000,5,19.140
22700,长江干流,60112200,汉口,1748793600000,5,19.160
22700,长江干流,60112200,汉口,1748797200000,6,19.160
22700,长江干流,60112200,汉口,1748800800000,6,19.160
22700,长江干流,60112200,汉口,1748804400000,5,19.170
22700,长江干流,60112200,汉口,1748808000000,5,19.180
22700,长江干流,60112200,汉口,1748811600000,4,19.170
22700,长江干流,60112200,汉口,1748815200000,5,19.180
22800,长江干流,60112200,汉口,1748818800000,5,19.190
22700,长江干流,60112200,汉口,1748822400000,4,19.180
22800,长江干流,60112200,汉口,1748829600000,6,19.190
22800,长江干流,60112200,汉口,1748833200000,6,19.190
22800,长江干流,60112200,汉口,1748836800000,5,19.200
22800,长江干流,60112200,汉口,1748840400000,6,19.200
22800,长江干流,60112200,汉口,1748844000000,6,19.200
22800,长江干流,60112200,汉口,1748847600000,5,19.210
22800,长江干流,60112200,汉口,1748851200000,6,19.210
22900,长江干流,60112200,汉口,1748854800000,5,19.230
22900,长江干流,60112200,汉口,1748858400000,6,19.230
22900,长江干流,60112200,汉口,1748862000000,6,19.230
22900,长江干流,60112200,汉口,1748865600000,5,19.240
22900,长江干流,60112200,汉口,1748869200000,6,19.240
23000,长江干流,60112200,汉口,1748872800000,5,19.250
23000,长江干流,60112200,汉口,1748876400000,5,19.260
23000,长江干流,60112200,汉口,1748880000000,6,19.260
23000,长江干流,60112200,汉口,1748883600000,6,19.260
23000,长江干流,60112200,汉口,1748887200000,5,19.270
23000,长江干流,60112200,汉口,1748890800000,6,19.270
23100,长江干流,60112200,汉口,1748894400000,5,19.290
23100,长江干流,60112200,汉口,1748898000000,4,19.280
23100,长江干流,60112200,汉口,1748901600000,5,19.290
23100,长江干流,60112200,汉口,1748905200000,6,19.290
23100,长江干流,60112200,汉口,1748908800000,6,19.290
23100,长江干流,60112200,汉口,1748916000000,6,19.290
23100,长江干流,60112200,汉口,1748919600000,6,19.290
23100,长江干流,60112200,汉口,1748923200000,6,19.290
23100,长江干流,60112200,汉口,1748926800000,6,19.290
23100,长江干流,60112200,汉口,1748930400000,6,19.290
23100,长江干流,60112200,汉口,1748934000000,6,19.290
23100,长江干流,60112200,汉口,1748937600000,5,19.300
23100,长江干流,60112200,汉口,1748941200000,4,19.290
23100,长江干流,60112200,汉口,1748944800000,6,19.290
22200,长江干流,60112200,汉口,1748948400000,6,19.290
22200,长江干流,60112200,汉口,1748952000000,6,19.290
22200,长江干流,60112200,汉口,1748955600000,6,19.290
22200,长江干流,60112200,汉口,1748959200000,6,19.290
22200,长江干流,60112200,汉口,1748962800000,5,19.300
22200,长江干流,60112200,汉口,1748966400000,6,19.300
22200,长江干流,60112200,汉口,1748970000000,4,19.290
22200,长江干流,60112200,汉口,1748973600000,6,19.290
22200,长江干流,60112200,汉口,1748977200000,5,19.300
22100,长江干流,60112200,汉口,1748980800000,4,19.280
22100,长江干流,60112200,汉口,1748984400000,6,19.280
22100,长江干流,60112200,汉口,1748988000000,6,19.280
22200,长江干流,60112200,汉口,1748991600000,5,19.290
22200,长江干流,60112200,汉口,1748995200000,6,19.290
22200,长江干流,60112200,汉口,1749002400000,5,19.290
22200,长江干流,60112200,汉口,1749006000000,6,19.290
22200,长江干流,60112200,汉口,1749009600000,6,19.290
22100,长江干流,60112200,汉口,1749013200000,4,19.280
22200,长江干流,60112200,汉口,1749016800000,5,19.290
22100,长江干流,60112200,汉口,1749020400000,4,19.280
22200,长江干流,60112200,汉口,1749024000000,5,19.290
22100,长江干流,60112200,汉口,1749027600000,4,19.280
22100,长江干流,60112200,汉口,1749031200000,6,19.280
22100,长江干流,60112200,汉口,1749034800000,4,19.270
22100,长江干流,60112200,汉口,1749038400000,5,19.280
22100,长江干流,60112200,汉口,1749042000000,6,19.280
22100,长江干流,60112200,汉口,1749045600000,6,19.280
22100,长江干流,60112200,汉口,1749049200000,6,19.280
22100,长江干流,60112200,汉口,1749052800000,4,19.270
22100,长江干流,60112200,汉口,1749056400000,6,19.270
22100,长江干流,60112200,汉口,1749060000000,6,19.270
22100,长江干流,60112200,汉口,1749063600000,6,19.270
22100,长江干流,60112200,汉口,1749067200000,6,19.270
22100,长江干流,60112200,汉口,1749070800000,6,19.270
22100,长江干流,60112200,汉口,1749074400000,6,19.270
22100,长江干流,60112200,汉口,1749078000000,6,19.270
