q,rvnm,stcd,stnm,tm,wptn,z
15000,长江干流,60105400,寸滩,1751266800000,4,166.290
16800,长江干流,60105400,寸滩,1751331600000,5,167.160
18600,长江干流,60105400,寸滩,1751338800000,5,167.600
19000,长江干流,60105400,寸滩,1751342400000,5,167.820
19500,长江干流,60105400,寸滩,1751346000000,5,168.060
19900,长江干流,60105400,寸滩,1751349600000,5,168.280
20200,长江干流,60105400,寸滩,1751353200000,5,168.440
20500,长江干流,60105400,寸滩,1751356800000,5,168.570
20800,长江干流,60105400,寸滩,1751360400000,5,168.720
21100,长江干流,60105400,寸滩,1751371200000,6,168.910
21300,长江干流,60105400,寸滩,1751382000000,5,169.030
21400,长江干流,60105400,寸滩,1751392800000,5,169.060
21300,长江干流,60105400,寸滩,1751403600000,4,169.010
21300,长江干流,60105400,寸滩,1751410800000,4,169.020
20400,长江干流,60105400,寸滩,1751414400000,4,168.970
19800,长江干流,60105400,寸滩,1751421600000,4,168.900
19700,长江干流,60105400,寸滩,1751425200000,4,168.850
19600,长江干流,60105400,寸滩,1751428800000,4,168.820
19500,长江干流,60105400,寸滩,1751432400000,4,168.760
19500,长江干流,60105400,寸滩,1751436000000,5,168.780
19400,长江干流,60105400,寸滩,1751439600000,4,168.750
19400,长江干流,60105400,寸滩,1751443200000,4,168.740
19400,长江干流,60105400,寸滩,1751446800000,6,168.740
19200,长江干流,60105400,寸滩,1751457600000,4,168.650
18900,长江干流,60105400,寸滩,1751468400000,4,168.520
18500,长江干流,60105400,寸滩,1751479200000,4,168.320
18000,长江干流,60105400,寸滩,1751490000000,4,168.070
17800,长江干流,60105400,寸滩,1751493600000,4,168.000
17600,长江干流,60105400,寸滩,1751497200000,4,167.890
17500,长江干流,60105400,寸滩,1751502000000,4,167.780
17000,长江干流,60105400,寸滩,1751508000000,4,167.620
16800,长江干流,60105400,寸滩,1751511600000,4,167.520
16600,长江干流,60105400,寸滩,1751515200000,4,167.380
16300,长江干流,60105400,寸滩,1751518800000,4,167.250
16100,长江干流,60105400,寸滩,1751522400000,4,167.160
15900,长江干流,60105400,寸滩,1751526000000,4,167.070
15800,长江干流,60105400,寸滩,1751529600000,4,166.980
15600,长江干流,60105400,寸滩,1751533200000,4,166.890
15500,长江干流,60105400,寸滩,1751536800000,4,166.840
15500,长江干流,60105400,寸滩,1751540400000,4,166.810
15400,长江干流,60105400,寸滩,1751544000000,4,166.760
15400,长江干流,60105400,寸滩,1751547600000,4,166.750
15300,长江干流,60105400,寸滩,1751551200000,4,166.730
15400,长江干流,60105400,寸滩,1751554800000,5,166.760
15500,长江干流,60105400,寸滩,1751558400000,5,166.820
15600,长江干流,60105400,寸滩,1751562000000,5,166.900
15800,长江干流,60105400,寸滩,1751565600000,5,166.990
16000,长江干流,60105400,寸滩,1751569200000,5,167.120
16300,长江干流,60105400,寸滩,1751572800000,5,167.240
16500,长江干流,60105400,寸滩,1751576400000,5,167.330
16700,长江干流,60105400,寸滩,1751580000000,5,167.430
16900,长江干流,60105400,寸滩,1751583600000,5,167.530
18000,长江干流,60105400,寸滩,1751588160000,5,167.650
18100,长江干流,60105400,寸滩,1751594400000,5,167.780
18300,长江干流,60105400,寸滩,1751598000000,5,167.880
18400,长江干流,60105400,寸滩,1751601600000,5,167.960
18600,长江干流,60105400,寸滩,1751605200000,5,168.050
18900,长江干流,60105400,寸滩,1751608800000,5,168.190
19100,长江干流,60105400,寸滩,1751612400000,5,168.300
19300,长江干流,60105400,寸滩,1751616000000,5,168.380
19400,长江干流,60105400,寸滩,1751619600000,5,168.460
19600,长江干流,60105400,寸滩,1751623200000,5,168.530
19800,长江干流,60105400,寸滩,1751626800000,5,168.610
19900,长江干流,60105400,寸滩,1751630400000,5,168.670
20000,长江干流,60105400,寸滩,1751634000000,5,168.730
22200,长江干流,60105400,寸滩,1751674680000,5,169.660
22700,长江干流,60105400,寸滩,1751680800000,5,169.860
23000,长江干流,60105400,寸滩,1751684400000,5,169.960
23200,长江干流,60105400,寸滩,1751688000000,5,170.030
23300,长江干流,60105400,寸滩,1751691600000,5,170.090
23300,长江干流,60105400,寸滩,1751695200000,5,170.100
23200,长江干流,60105400,寸滩,1751698800000,4,170.070
23200,长江干流,60105400,寸滩,1751702400000,4,170.050
23200,长江干流,60105400,寸滩,1751706000000,6,170.050
