oq,q,rvnm,stcd,stnm,tm,wptn,z
0,17800,长江干流,60107300,宜昌,1753977600000,4,44.18
0,16400,长江干流,60107300,宜昌,1753981200000,4,43.85
0,15800,长江干流,60107300,宜昌,1753984800000,4,43.71
0,16200,长江干流,60107300,宜昌,1753988400000,5,43.73
0,16200,长江干流,60107300,宜昌,1753992000000,4,43.67
0,16100,长江干流,60107300,宜昌,1753995600000,4,43.66
0,16100,长江干流,60107300,宜昌,1753999200000,4,43.64
0,16300,长江干流,60107300,宜昌,1754002800000,5,43.65
0,16400,长江干流,60107300,宜昌,1754010000000,5,43.68
0,16200,长江干流,60107300,宜昌,1754017200000,4,43.62
0,16000,长江干流,60107300,宜昌,1754020800000,4,43.59
0,15700,长江干流,60107300,宜昌,1754024400000,4,43.5
0,15400,长江干流,60107300,宜昌,1754028000000,4,43.41
0,15300,长江干流,60107300,宜昌,1754031600000,4,43.37
0,15200,长江干流,60107300,宜昌,1754035200000,4,43.31
0,16000,长江干流,60107300,宜昌,1754038800000,5,43.48
