oq,q,rvnm,stcd,stnm,tm,wptn,z
0,4120,洞庭湖湖口,61512000,七里山,1756656000000,5,24.34
0,4120,洞庭湖湖口,61512000,七里山,1756659600000,6,24.34
0,4110,洞庭湖湖口,61512000,七里山,1756663200000,4,24.33
0,4140,洞庭湖湖口,61512000,七里山,1756666800000,5,24.37
0,4170,洞庭湖湖口,61512000,七里山,1756670400000,5,24.4
0,4150,洞庭湖湖口,61512000,七里山,1756674000000,4,24.38
0,4140,洞庭湖湖口,61512000,七里山,1756677600000,4,24.37
0,4140,洞庭湖湖口,61512000,七里山,1756681200000,4,24.36
0,4170,洞庭湖湖口,61512000,七里山,1756688400000,5,24.4
0,4170,洞庭湖湖口,61512000,七里山,1756692000000,5,24.41
0,4170,洞庭湖湖口,61512000,七里山,1756695600000,4,24.4
0,4200,洞庭湖湖口,61512000,七里山,1756699200000,5,24.45
0,4210,洞庭湖湖口,61512000,七里山,1756702800000,5,24.46
0,4240,洞庭湖湖口,61512000,七里山,1756706400000,5,24.49
0,4200,洞庭湖湖口,61512000,七里山,1756710000000,4,24.45
0,4220,洞庭湖湖口,61512000,七里山,1756713600000,5,24.47
0,4210,洞庭湖湖口,61512000,七里山,1756717200000,4,24.46
0,4240,洞庭湖湖口,61512000,七里山,1756720800000,5,24.5
0,4230,洞庭湖湖口,61512000,七里山,1756724400000,4,24.48
0,4240,洞庭湖湖口,61512000,七里山,1756728000000,5,24.49
0,4240,洞庭湖湖口,61512000,七里山,1756731600000,6,24.49
0,4250,洞庭湖湖口,61512000,七里山,1756735200000,5,24.51
0,4270,洞庭湖湖口,61512000,七里山,1756738800000,5,24.54
0,4290,洞庭湖湖口,61512000,七里山,1756742400000,5,24.56
0,4290,洞庭湖湖口,61512000,七里山,1756746000000,6,24.56
0,4270,洞庭湖湖口,61512000,七里山,1756749600000,4,24.54
0,4300,洞庭湖湖口,61512000,七里山,1756753200000,5,24.57
0,4280,洞庭湖湖口,61512000,七里山,1756756800000,4,24.55
0,4290,洞庭湖湖口,61512000,七里山,1756760400000,5,24.56
0,4300,洞庭湖湖口,61512000,七里山,1756764000000,5,24.57
0,4300,洞庭湖湖口,61512000,七里山,1756767600000,6,24.57
0,4320,洞庭湖湖口,61512000,七里山,1756771200000,5,24.6
0,4340,洞庭湖湖口,61512000,七里山,1756778400000,5,24.63
0,4380,洞庭湖湖口,61512000,七里山,1756782000000,4,24.58
0,4400,洞庭湖湖口,61512000,七里山,1756785600000,5,24.6
0,4410,洞庭湖湖口,61512000,七里山,1756789200000,5,24.61
0,4420,洞庭湖湖口,61512000,七里山,1756792800000,5,24.62
0,4440,洞庭湖湖口,61512000,七里山,1756796400000,5,24.64
0,4450,洞庭湖湖口,61512000,七里山,1756800000000,5,24.65
0,4470,洞庭湖湖口,61512000,七里山,1756803600000,5,24.67
0,4460,洞庭湖湖口,61512000,七里山,1756807200000,4,24.66
0,4430,洞庭湖湖口,61512000,七里山,1756810800000,4,24.63
0,4470,洞庭湖湖口,61512000,七里山,1756814400000,5,24.68
0,4480,洞庭湖湖口,61512000,七里山,1756818000000,5,24.69
0,4460,洞庭湖湖口,61512000,七里山,1756821600000,4,24.66
0,4480,洞庭湖湖口,61512000,七里山,1756825200000,5,24.69
0,4530,洞庭湖湖口,61512000,七里山,1756828800000,5,24.74
0,4470,洞庭湖湖口,61512000,七里山,1756832400000,4,24.67
0,4510,洞庭湖湖口,61512000,七里山,1756836000000,5,24.72
