rvnm,stcd,stnm,tm,wptn,z
长江干流,60107300,宜昌,1761926400000,5,43.630
15300,长江干流,60107300,宜昌,1761930000000,4,43.420
14800,长江干流,60107300,宜昌,1761933600000,4,43.290
14500,长江干流,60107300,宜昌,1761937200000,4,43.180
14300,长江干流,60107300,宜昌,1761940800000,4,43.110
14300,长江干流,60107300,宜昌,1761944400000,4,43.070
14300,长江干流,60107300,宜昌,1761948000000,4,43.050
14300,长江干流,60107300,宜昌,1761951600000,4,43.030
14300,长江干流,60107300,宜昌,1761955200000,6,43.030
14300,长江干流,60107300,宜昌,1761962400000,4,43.000
14300,长江干流,60107300,宜昌,1761966000000,4,42.990
长江干流,60107300,宜昌,1761969600000,4,42.940
13600,长江干流,60107300,宜昌,1761973200000,4,42.800
13300,长江干流,60107300,宜昌,1761976800000,4,42.700
13200,长江干流,60107300,宜昌,1761980400000,4,42.650
13200,长江干流,60107300,宜昌,1761984000000,4,42.640
13700,长江干流,60107300,宜昌,1761987600000,5,42.750
14000,长江干流,60107300,宜昌,1761991200000,5,42.820
14000,长江干流,60107300,宜昌,1761994800000,5,42.830
13900,长江干流,60107300,宜昌,1761998400000,4,42.800
13900,长江干流,60107300,宜昌,1762002000000,5,42.820
13900,长江干流,60107300,宜昌,1762005600000,6,42.820
13800,长江干流,60107300,宜昌,1762009200000,4,42.790
13800,长江干流,60107300,宜昌,1762012800000,4,42.780
14300,长江干流,60107300,宜昌,1762016400000,5,42.910
14500,长江干流,60107300,宜昌,1762020000000,5,42.970
14800,长江干流,60107300,宜昌,1762023600000,5,43.050
