q,rvnm,stcd,stnm,tm,wptn,z
188,修河,62513000,虬津,1774972800000,5,16.090
196,修河,62513000,虬津,1774976400000,5,16.120
202,修河,62513000,虬津,1774978200000,5,16.140
208,修河,62513000,虬津,1774983600000,5,16.160
202,修河,62513000,虬津,1774985700000,4,16.140
193,修河,62513000,虬津,1774989300000,4,16.110
191,修河,62513000,虬津,1774990800000,4,16.100
185,修河,62513000,虬津,1774992900000,4,16.080
176,修河,62513000,虬津,1774995600000,4,16.050
174,修河,62513000,虬津,1774998000000,4,16.040
168,修河,62513000,虬津,1774999200000,4,16.020
149,修河,62513000,虬津,1775008800000,4,15.950
138,修河,62513000,虬津,1775017500000,4,15.910
126,修河,62513000,虬津,1775025300000,4,15.870
114,修河,62513000,虬津,1775029200000,4,15.820
96,修河,62513000,虬津,1775035200000,4,15.740
87.5,修河,62513000,虬津,1775038800000,4,15.700
85.6,修河,62513000,虬津,1775041200000,4,15.690
83.6,修河,62513000,虬津,1775044800000,4,15.680
87.5,修河,62513000,虬津,1775052000000,5,15.700
91.7,修河,62513000,虬津,1775055600000,5,15.720
93.8,修河,62513000,虬津,1775059200000,5,15.730
98.1,修河,62513000,虬津,1775062800000,5,15.750
103,修河,62513000,虬津,1775066400000,5,15.770
105,修河,62513000,虬津,1775070000000,5,15.780
105,修河,62513000,虬津,1775073600000,6,15.780
107,修河,62513000,虬津,1775077200000,5,15.790
107,修河,62513000,虬津,1775080800000,6,15.790
112,修河,62513000,虬津,1775082900000,5,15.810
112,修河,62513000,虬津,1775084400000,5,15.810
112,修河,62513000,虬津,1775088000000,6,15.810
112,修河,62513000,虬津,1775098800000,6,15.810
114,修河,62513000,虬津,1775106000000,6,15.810
114,修河,62513000,虬津,1775109600000,6,15.810
105,修河,62513000,虬津,1775115600000,4,15.770
98.9,修河,62513000,虬津,1775118000000,4,15.740
86.4,修河,62513000,虬津,1775123400000,4,15.680
82.3,修河,62513000,虬津,1775125200000,4,15.660
80.3,修河,62513000,虬津,1775127600000,4,15.650
80.3,修河,62513000,虬津,1775131200000,6,15.650
84.3,修河,62513000,虬津,1775137500000,5,15.670
90.5,修河,62513000,虬津,1775142000000,5,15.700
94.7,修河,62513000,虬津,1775145600000,5,15.720
101,修河,62513000,虬津,1775151000000,5,15.750
103,修河,62513000,虬津,1775152800000,5,15.760
107,修河,62513000,虬津,1775156400000,5,15.780
110,修河,62513000,虬津,1775160000000,5,15.790
114,修河,62513000,虬津,1775162400000,5,15.810
114,修河,62513000,虬津,1775163600000,5,15.810
116,修河,62513000,虬津,1775167200000,5,15.820
118,修河,62513000,虬津,1775170800000,5,15.830
130,修河,62513000,虬津,1775185200000,5,15.880
142,修河,62513000,虬津,1775196000000,5,15.930
132,修河,62513000,虬津,1775202000000,4,15.890
132,修河,62513000,虬津,1775203200000,4,15.890
125,修河,62513000,虬津,1775206800000,4,15.860
118,修河,62513000,虬津,1775210400000,4,15.830
121,修河,62513000,虬津,1775216400000,5,15.840
127,修河,62513000,虬津,1775219100000,5,15.870
137,修河,62513000,虬津,1775223000000,5,15.910
142,修河,62513000,虬津,1775224800000,5,15.930
148,修河,62513000,虬津,1775228400000,5,15.950
153,修河,62513000,虬津,1775232000000,5,15.970
156,修河,62513000,虬津,1775235600000,5,15.980
158,修河,62513000,虬津,1775239200000,5,15.990
161,修河,62513000,虬津,1775242800000,5,16.000
163,修河,62513000,虬津,1775246400000,5,16.010
166,修河,62513000,虬津,1775250000000,5,16.020
166,修河,62513000,虬津,1775253600000,6,16.020
166,修河,62513000,虬津,1775257200000,6,16.020
166,修河,62513000,虬津,1775260800000,6,16.020
171,修河,62513000,虬津,1775275200000,5,16.040
174,修河,62513000,虬津,1775278800000,5,16.050
171,修河,62513000,虬津,1775282400000,4,16.040
166,修河,62513000,虬津,1775286000000,4,16.020
161,修河,62513000,虬津,1775288100000,4,16.000
153,修河,62513000,虬津,1775291100000,4,15.970
148,修河,62513000,虬津,1775293200000,4,15.950
142,修河,62513000,虬津,1775295900000,4,15.930
140,修河,62513000,虬津,1775296800000,4,15.920
135,修河,62513000,虬津,1775300400000,4,15.900
135,修河,62513000,虬津,1775307600000,6,15.900
142,修河,62513000,虬津,1775313000000,5,15.930
142,修河,62513000,虬津,1775314800000,5,15.930
145,修河,62513000,虬津,1775318400000,5,15.940
145,修河,62513000,虬津,1775322000000,6,15.940
145,修河,62513000,虬津,1775325600000,6,15.940
145,修河,62513000,虬津,1775329200000,6,15.940
145,修河,62513000,虬津,1775332800000,6,15.940
145,修河,62513000,虬津,1775336400000,6,15.940
145,修河,62513000,虬津,1775340000000,6,15.940
142,修河,62513000,虬津,1775343600000,4,15.930
142,修河,62513000,虬津,1775347200000,6,15.930
137,修河,62513000,虬津,1775358000000,6,15.910
135,修河,62513000,虬津,1775365200000,6,15.900
127,修河,62513000,虬津,1775370600000,4,15.870
116,修河,62513000,虬津,1775375100000,4,15.820
110,修河,62513000,虬津,1775377500000,4,15.790
103,修河,62513000,虬津,1775380800000,4,15.760
98.9,修河,62513000,虬津,1775382000000,4,15.740
96.8,修河,62513000,虬津,1775383200000,4,15.730
92.6,修河,62513000,虬津,1775386800000,4,15.710
94.7,修河,62513000,虬津,1775392500000,5,15.720
94.7,修河,62513000,虬津,1775394000000,5,15.720
98.9,修河,62513000,虬津,1775397600000,5,15.740
103,修河,62513000,虬津,1775399100000,5,15.760
105,修河,62513000,虬津,1775401200000,5,15.770
110,修河,62513000,虬津,1775404800000,5,15.790
114,修河,62513000,虬津,1775407200000,5,15.810
114,修河,62513000,虬津,1775408400000,5,15.810
118,修河,62513000,虬津,1775412000000,5,15.830
123,修河,62513000,虬津,1775415600000,5,15.850
127,修河,62513000,虬津,1775418600000,5,15.870
132,修河,62513000,虬津,1775422800000,5,15.890
137,修河,62513000,虬津,1775426400000,5,15.910
137,修河,62513000,虬津,1775430000000,6,15.910
137,修河,62513000,虬津,1775433600000,6,15.910
132,修河,62513000,虬津,1775448000000,4,15.890
132,修河,62513000,虬津,1775455200000,6,15.890
116,修河,62513000,虬津,1775461500000,4,15.820
105,修河,62513000,虬津,1775466000000,4,15.770
96.8,修河,62513000,虬津,1775469600000,4,15.730
90.5,修河,62513000,虬津,1775473200000,4,15.700
88.5,修河,62513000,虬津,1775480400000,6,15.690
90.5,修河,62513000,虬津,1775484000000,5,15.700
92.6,修河,62513000,虬津,1775487600000,5,15.710
94.7,修河,62513000,虬津,1775491200000,5,15.720
96.8,修河,62513000,虬津,1775494800000,5,15.730
101,修河,62513000,虬津,1775502000000,5,15.750
103,修河,62513000,虬津,1775505600000,5,15.760
105,修河,62513000,虬津,1775509200000,5,15.770
105,修河,62513000,虬津,1775512800000,6,15.770
107,修河,62513000,虬津,1775516400000,5,15.780
107,修河,62513000,虬津,1775523600000,6,15.780
115,修河,62513000,虬津,1775534400000,5,15.810
115,修河,62513000,虬津,1775538000000,6,15.810
111,修河,62513000,虬津,1775545200000,4,15.790
100,修河,62513000,虬津,1775550300000,4,15.740
92,修河,62513000,虬津,1775553900000,4,15.700
83.7,修河,62513000,虬津,1775558400000,4,15.660
83.7,修河,62513000,虬津,1775559600000,4,15.660
81.6,修河,62513000,虬津,1775566800000,6,15.650
89.9,修河,62513000,虬津,1775572200000,5,15.690
96.2,修河,62513000,虬津,1775576100000,5,15.720
102,修河,62513000,虬津,1775581200000,5,15.750
107,修河,62513000,虬津,1775583600000,5,15.770
111,修河,62513000,虬津,1775588400000,5,15.790
115,修河,62513000,虬津,1775591700000,5,15.810
115,修河,62513000,虬津,1775595600000,6,15.810
119,修河,62513000,虬津,1775599200000,5,15.830
119,修河,62513000,虬津,1775602800000,6,15.830
123,修河,62513000,虬津,1775610000000,5,15.850
125,修河,62513000,虬津,1775620800000,6,15.860
123,修河,62513000,虬津,1775628000000,4,15.850
111,修河,62513000,虬津,1775632800000,4,15.790
102,修河,62513000,虬津,1775636700000,4,15.750
89.9,修河,62513000,虬津,1775642400000,4,15.690
83.7,修河,62513000,虬津,1775646000000,4,15.660
85.7,修河,62513000,虬津,1775655600000,5,15.670
92,修河,62513000,虬津,1775660400000,5,15.700
96.2,修河,62513000,虬津,1775664000000,5,15.720
105,修河,62513000,虬津,1775667600000,5,15.760
111,修河,62513000,虬津,1775673300000,5,15.790
117,修河,62513000,虬津,1775676900000,5,15.820
125,修河,62513000,虬津,1775679600000,5,15.860
130,修河,62513000,虬津,1775682000000,5,15.880
135,修河,62513000,虬津,1775685600000,5,15.900
135,修河,62513000,虬津,1775689200000,6,15.900
135,修河,62513000,虬津,1775692800000,6,15.900
132,修河,62513000,虬津,1775703600000,6,15.890
130,修河,62513000,虬津,1775710800000,4,15.880
121,修河,62513000,虬津,1775717100000,4,15.840
103,修河,62513000,虬津,1775721600000,4,15.790
88.5,修河,62513000,虬津,1775727000000,4,15.720
84.3,修河,62513000,虬津,1775728800000,4,15.700
86.4,修河,62513000,虬津,1775733600000,5,15.710
84.3,修河,62513000,虬津,1775736000000,5,15.700
88.5,修河,62513000,虬津,1775743200000,5,15.720
98.8,修河,62513000,虬津,1775748300000,5,15.770
110,修河,62513000,虬津,1775754000000,5,15.820
114,修河,62513000,虬津,1775756400000,5,15.840
155,修河,62513000,虬津,1775762700000,5,16.010
196,修河,62513000,虬津,1775766000000,5,16.180
231,修河,62513000,虬津,1775768700000,5,16.320
256,修河,62513000,虬津,1775770800000,5,16.420
291,修河,62513000,虬津,1775774100000,5,16.560
314,修河,62513000,虬津,1775776500000,5,16.650
329,修河,62513000,虬津,1775778300000,5,16.710
468,修河,62513000,虬津,1775791200000,5,16.980
427,修河,62513000,虬津,1775799300000,4,16.850
392,修河,62513000,虬津,1775803800000,4,16.740
239,修河,62513000,虬津,1775809800000,4,16.600
219,修河,62513000,虬津,1775813400000,4,16.530
216,修河,62513000,虬津,1775815200000,4,16.520
273,修河,62513000,虬津,1775820900000,5,16.610
294,修河,62513000,虬津,1775823600000,5,16.690
339,修河,62513000,虬津,1775828700000,5,16.850
362,修河,62513000,虬津,1775831700000,5,16.930
382,修河,62513000,虬津,1775835000000,5,17.000
403,修河,62513000,虬津,1775838900000,5,17.070
414,修河,62513000,虬津,1775841600000,5,17.110
423,修河,62513000,虬津,1775844000000,5,17.140
432,修河,62513000,虬津,1775847600000,5,17.170
437,修河,62513000,虬津,1775849100000,5,17.190
449,修河,62513000,虬津,1775853600000,5,17.230
449,修河,62513000,虬津,1775854800000,5,17.230
455,修河,62513000,虬津,1775856900000,5,17.250
455,修河,62513000,虬津,1775858400000,5,17.250
473,修河,62513000,虬津,1775862000000,5,17.270
486,修河,62513000,虬津,1775876400000,6,17.310
461,修河,62513000,虬津,1775882700000,4,17.230
423,修河,62513000,虬津,1775886900000,4,17.110
414,修河,62513000,虬津,1775887800000,4,17.080
362,修河,62513000,虬津,1775893500000,4,16.910
337,修河,62513000,虬津,1775896500000,4,16.830
284,修河,62513000,虬津,1775899500000,4,16.760
278,修河,62513000,虬津,1775900400000,4,16.740
272,修河,62513000,虬津,1775901600000,4,16.720
275,修河,62513000,虬津,1775905200000,5,16.730
287,修河,62513000,虬津,1775907600000,5,16.770
310,修河,62513000,虬津,1775911200000,5,16.850
