q,rvnm,stcd,stnm,tm,wptn,z
864,清江,61004810,高坝洲,1777568400000,5,41.520
869,清江,61004810,高坝洲,1777572000000,5,41.530
853,清江,61004810,高坝洲,1777575600000,4,41.500
847,清江,61004810,高坝洲,1777582800000,4,41.490
842,清江,61004810,高坝洲,1777586400000,4,41.480
847,清江,61004810,高坝洲,1777590000000,5,41.490
797,清江,61004810,高坝洲,1777593600000,4,41.400
279,清江,61004810,高坝洲,1777608000000,4,40.620
11.7,清江,61004810,高坝洲,1777615200000,4,39.890
361,清江,61004810,高坝洲,1777622400000,5,40.730
774,清江,61004810,高坝洲,1777629600000,5,41.360
780,清江,61004810,高坝洲,1777633200000,5,41.370
780,清江,61004810,高坝洲,1777636800000,6,41.370
791,清江,61004810,高坝洲,1777640400000,5,41.390
802,清江,61004810,高坝洲,1777644000000,5,41.410
808,清江,61004810,高坝洲,1777647600000,5,41.420
813,清江,61004810,高坝洲,1777651200000,5,41.430
825,清江,61004810,高坝洲,1777654800000,5,41.450
503,清江,61004810,高坝洲,1777662000000,4,40.920
495,清江,61004810,高坝洲,1777665600000,4,40.910
480,清江,61004810,高坝洲,1777669200000,4,40.890
488,清江,61004810,高坝洲,1777672800000,5,40.900
785,清江,61004810,高坝洲,1777676400000,5,41.380
879,清江,61004810,高坝洲,1777690800000,5,41.550
847,清江,61004810,高坝洲,1777698000000,4,41.490
813,清江,61004810,高坝洲,1777705200000,4,41.430
808,清江,61004810,高坝洲,1777708800000,4,41.420
785,清江,61004810,高坝洲,1777712400000,4,41.380
774,清江,61004810,高坝洲,1777716000000,4,41.360
785,清江,61004810,高坝洲,1777719600000,5,41.380
785,清江,61004810,高坝洲,1777723200000,6,41.380
791,清江,61004810,高坝洲,1777726800000,5,41.390
802,清江,61004810,高坝洲,1777730400000,5,41.410
825,清江,61004810,高坝洲,1777734000000,5,41.450
339,清江,61004810,高坝洲,1777737600000,4,40.700
768,清江,61004810,高坝洲,1777741200000,5,41.350
830,清江,61004810,高坝洲,1777744800000,5,41.460
836,清江,61004810,高坝洲,1777748400000,5,41.470
836,清江,61004810,高坝洲,1777752000000,6,41.470
836,清江,61004810,高坝洲,1777755600000,6,41.470
836,清江,61004810,高坝洲,1777759200000,6,41.470
847,清江,61004810,高坝洲,1777762800000,5,41.490
858,清江,61004810,高坝洲,1777773600000,5,41.510
11,清江,61004810,高坝洲,1777788000000,4,39.720
317,清江,61004810,高坝洲,1777795200000,5,40.670
650,清江,61004810,高坝洲,1777798800000,5,41.140
763,清江,61004810,高坝洲,1777802400000,5,41.340
785,清江,61004810,高坝洲,1777806000000,5,41.380
802,清江,61004810,高坝洲,1777809600000,5,41.410
802,清江,61004810,高坝洲,1777813200000,6,41.410
808,清江,61004810,高坝洲,1777816800000,5,41.420
819,清江,61004810,高坝洲,1777820400000,5,41.440
842,清江,61004810,高坝洲,1777824000000,5,41.480
842,清江,61004810,高坝洲,1777827600000,6,41.480
836,清江,61004810,高坝洲,1777831200000,4,41.470
842,清江,61004810,高坝洲,1777834800000,5,41.480
842,清江,61004810,高坝洲,1777838400000,6,41.480
830,清江,61004810,高坝洲,1777842000000,4,41.460
830,清江,61004810,高坝洲,1777845600000,6,41.460
