rvnm,stcd,stnm,tm,wptn,z
长江,60106000,万县,1777568400000,6,165.410
长江,60106000,万县,1777572000000,5,165.440
长江,60106000,万县,1777575600000,5,165.450
长江,60106000,万县,1777582800000,5,165.490
长江,60106000,万县,1777586400000,5,165.500
长江,60106000,万县,1777590000000,5,165.510
长江,60106000,万县,1777593600000,5,165.520
长江,60106000,万县,1777608000000,6,165.560
长江,60106000,万县,1777615200000,5,165.620
长江,60106000,万县,1777622400000,5,165.700
长江,60106000,万县,1777629600000,5,165.750
长江,60106000,万县,1777633200000,5,165.760
长江,60106000,万县,1777636800000,6,165.760
长江,60106000,万县,1777640400000,4,165.720
长江,60106000,万县,1777644000000,4,165.700
长江,60106000,万县,1777647600000,4,165.670
长江,60106000,万县,1777651200000,6,165.670
长江,60106000,万县,1777654800000,5,165.680
长江,60106000,万县,1777662000000,5,165.710
长江,60106000,万县,1777665600000,5,165.720
长江,60106000,万县,1777669200000,6,165.720
长江,60106000,万县,1777672800000,5,165.740
长江,60106000,万县,1777676400000,6,165.740
长江,60106000,万县,1777690800000,6,165.750
长江,60106000,万县,1777698000000,5,165.770
长江,60106000,万县,1777705200000,5,165.870
长江,60106000,万县,1777708800000,5,165.910
长江,60106000,万县,1777712400000,5,165.920
长江,60106000,万县,1777716000000,5,165.940
长江,60106000,万县,1777719600000,5,165.960
长江,60106000,万县,1777723200000,4,165.950
长江,60106000,万县,1777726800000,4,165.920
长江,60106000,万县,1777730400000,4,165.870
长江,60106000,万县,1777734000000,4,165.840
长江,60106000,万县,1777737600000,6,165.840
长江,60106000,万县,1777741200000,6,165.840
长江,60106000,万县,1777748400000,6,165.830
长江,60106000,万县,1777752000000,6,165.830
长江,60106000,万县,1777755600000,6,165.830
长江,60106000,万县,1777759200000,6,165.830
长江,60106000,万县,1777762800000,6,165.830
长江,60106000,万县,1777773600000,6,165.840
长江,60106000,万县,1777784400000,5,165.820
长江,60106000,万县,1777795200000,5,165.900
长江,60106000,万县,1777798800000,5,165.920
长江,60106000,万县,1777802400000,5,165.930
长江,60106000,万县,1777806000000,6,165.930
长江,60106000,万县,1777813200000,4,165.870
长江,60106000,万县,1777816800000,4,165.840
长江,60106000,万县,1777820400000,4,165.810
长江,60106000,万县,1777824000000,4,165.790
长江,60106000,万县,1777827600000,4,165.770
长江,60106000,万县,1777831200000,6,165.770
长江,60106000,万县,1777834800000,6,165.770
长江,60106000,万县,1777838400000,5,165.780
长江,60106000,万县,1777842000000,4,165.770
长江,60106000,万县,1777845600000,6,165.770
长江,60106000,万县,1777849200000,6,165.770
长江,60106000,万县,1777860000000,6,165.790
长江,60106000,万县,1777870800000,5,165.750
长江,60106000,万县,1777881600000,5,165.840
长江,60106000,万县,1777888800000,5,165.880
长江,60106000,万县,1777896000000,4,165.850
长江,60106000,万县,1777903200000,4,165.760
长江,60106000,万县,1777910400000,4,165.690
长江,60106000,万县,1777914000000,4,165.670
长江,60106000,万县,1777921200000,6,165.650
长江,60106000,万县,1777924800000,4,165.630
长江,60106000,万县,1777928400000,4,165.610
长江,60106000,万县,1777932000000,6,165.610
长江,60106000,万县,1777935600000,4,165.590
长江,60106000,万县,1777942800000,5,165.610
长江,60106000,万县,1777953600000,4,165.570
长江,60106000,万县,1777960800000,6,165.560
长江,60106000,万县,1777968000000,5,165.610
长江,60106000,万县,1777975200000,5,165.630
长江,60106000,万县,1777978800000,4,165.620
长江,60106000,万县,1777982400000,4,165.610
长江,60106000,万县,1777996800000,6,165.570
长江,60106000,万县,1778000400000,6,165.570
长江,60106000,万县,1778007600000,6,165.560
长江,60106000,万县,1778011200000,6,165.560
长江,60106000,万县,1778014800000,4,165.530
长江,60106000,万县,1778018400000,6,165.530
长江,60106000,万县,1778022000000,6,165.530
长江,60106000,万县,1778029200000,6,165.540
长江,60106000,万县,1778040000000,4,165.480
长江,60106000,万县,1778050800000,6,165.500
长江,60106000,万县,1778058000000,4,165.470
长江,60106000,万县,1778065200000,4,165.400
长江,60106000,万县,1778072400000,4,165.350
长江,60106000,万县,1778079600000,4,165.310
长江,60106000,万县,1778083200000,6,165.310
长江,60106000,万县,1778090400000,5,165.310
长江,60106000,万县,1778097600000,6,165.320
长江,60106000,万县,1778101200000,6,165.320
长江,60106000,万县,1778104800000,4,165.310
长江,60106000,万县,1778108400000,6,165.310
长江,60106000,万县,1778122800000,4,165.290
长江,60106000,万县,1778133600000,5,165.310
长江,60106000,万县,1778144400000,6,165.310
长江,60106000,万县,1778151600000,4,165.280
长江,60106000,万县,1778155200000,4,165.260
长江,60106000,万县,1778166000000,4,165.210
长江,60106000,万县,1778173200000,4,165.190
长江,60106000,万县,1778176800000,6,165.190
长江,60106000,万县,1778184000000,4,165.170
长江,60106000,万县,1778187600000,6,165.170
长江,60106000,万县,1778191200000,4,165.160
长江,60106000,万县,1778194800000,4,165.130
长江,60106000,万县,1778202000000,5,165.130
长江,60106000,万县,1778212800000,5,165.110
长江,60106000,万县,1778220000000,5,165.140
长江,60106000,万县,1778230800000,4,165.130
长江,60106000,万县,1778234400000,4,165.110
长江,60106000,万县,1778238000000,4,165.090
长江,60106000,万县,1778248800000,4,165.040
长江,60106000,万县,1778252400000,4,165.030
长江,60106000,万县,1778259600000,4,165.020
长江,60106000,万县,1778263200000,4,165.000
长江,60106000,万县,1778266800000,6,165.000
长江,60106000,万县,1778270400000,4,164.990
长江,60106000,万县,1778277600000,4,164.970
长江,60106000,万县,1778281200000,6,164.970
长江,60106000,万县,1778295600000,4,164.980
长江,60106000,万县,1778313600000,6,164.990
长江,60106000,万县,1778317200000,6,164.990
长江,60106000,万县,1778328000000,4,164.920
长江,60106000,万县,1778331600000,4,164.890
长江,60106000,万县,1778346000000,5,164.850
长江,60106000,万县,1778353200000,6,164.830
长江,60106000,万县,1778356800000,4,164.820
长江,60106000,万县,1778360400000,4,164.800
长江,60106000,万县,1778367600000,6,164.790
长江,60106000,万县,1778403600000,4,164.700
长江,60106000,万县,1778421600000,6,164.610
长江,60106000,万县,1778425200000,4,164.580
长江,60106000,万县,1778432400000,4,164.550
长江,60106000,万县,1778439600000,4,164.520
长江,60106000,万县,1778443200000,4,164.500
长江,60106000,万县,1778450400000,4,164.470
长江,60106000,万县,1778454000000,4,164.460
长江,60106000,万县,1778482800000,4,164.340
长江,60106000,万县,1778497200000,4,164.220
长江,60106000,万县,1778504400000,4,164.150
长江,60106000,万县,1778515200000,4,164.070
长江,60106000,万县,1778522400000,4,164.020
长江,60106000,万县,1778526000000,4,164.000
长江,60106000,万县,1778533200000,4,163.950
长江,60106000,万县,1778536800000,4,163.920
长江,60106000,万县,1778540400000,4,163.890
长江,60106000,万县,1778547600000,4,163.860
长江,60106000,万县,1778558400000,4,163.760
长江,60106000,万县,1778569200000,4,163.740
长江,60106000,万县,1778580000000,4,163.650
长江,60106000,万县,1778587200000,4,163.550
