q,rvnm,stcd,stnm,tm,wptn,z
14800,长江干流,60107400,枝城,1777568400000,5,40.100
14600,长江干流,60107400,枝城,1777572000000,4,40.090
14500,长江干流,60107400,枝城,1777575600000,4,40.070
14400,长江干流,60107400,枝城,1777582800000,4,40.060
长江干流,60107400,枝城,1777586400000,4,40.040
14300,长江干流,60107400,枝城,1777590000000,6,40.040
13800,长江干流,60107400,枝城,1777608000000,4,39.970
12100,长江干流,60107400,枝城,1777615200000,4,39.690
11000,长江干流,60107400,枝城,1777622400000,4,39.450
10800,长江干流,60107400,枝城,1777626000000,4,39.370
11400,长江干流,60107400,枝城,1777633200000,5,39.420
12100,长江干流,60107400,枝城,1777636800000,5,39.530
12700,长江干流,60107400,枝城,1777640400000,5,39.620
13100,长江干流,60107400,枝城,1777644000000,5,39.700
13500,长江干流,60107400,枝城,1777647600000,5,39.770
13700,长江干流,60107400,枝城,1777651200000,5,39.820
14000,长江干流,60107400,枝城,1777654800000,5,39.870
14100,长江干流,60107400,枝城,1777662000000,6,39.910
14100,长江干流,60107400,枝城,1777665600000,5,39.920
14100,长江干流,60107400,枝城,1777669200000,5,39.930
14100,长江干流,60107400,枝城,1777672800000,5,39.940
14200,长江干流,60107400,枝城,1777676400000,5,39.950
14900,长江干流,60107400,枝城,1777690800000,5,40.100
13700,长江干流,60107400,枝城,1777698000000,4,39.930
12400,长江干流,60107400,枝城,1777705200000,4,39.690
11900,长江干流,60107400,枝城,1777708800000,4,39.600
11500,长江干流,60107400,枝城,1777712400000,4,39.510
11300,长江干流,60107400,枝城,1777716000000,4,39.440
11600,长江干流,60107400,枝城,1777719600000,5,39.470
12200,长江干流,60107400,枝城,1777723200000,5,39.560
12800,长江干流,60107400,枝城,1777726800000,5,39.650
13300,长江干流,60107400,枝城,1777730400000,5,39.730
13700,长江干流,60107400,枝城,1777734000000,5,39.800
14000,长江干流,60107400,枝城,1777737600000,5,39.860
14000,长江干流,60107400,枝城,1777741200000,5,39.870
14100,长江干流,60107400,枝城,1777748400000,6,39.910
14100,长江干流,60107400,枝城,1777752000000,5,39.930
14100,长江干流,60107400,枝城,1777755600000,6,39.930
14100,长江干流,60107400,枝城,1777759200000,5,39.940
14200,长江干流,60107400,枝城,1777762800000,5,39.950
14500,长江干流,60107400,枝城,1777773600000,5,40.010
13000,长江干流,60107400,枝城,1777784400000,4,39.810
11400,长江干流,60107400,枝城,1777795200000,4,39.470
11300,长江干流,60107400,枝城,1777798800000,4,39.440
11400,长江干流,60107400,枝城,1777802400000,4,39.420
11700,长江干流,60107400,枝城,1777806000000,5,39.460
12900,长江干流,60107400,枝城,1777813200000,5,39.640
13400,长江干流,60107400,枝城,1777816800000,5,39.730
13800,长江干流,60107400,枝城,1777820400000,5,39.810
14100,长江干流,60107400,枝城,1777824000000,5,39.870
14200,长江干流,60107400,枝城,1777827600000,5,39.900
14300,长江干流,60107400,枝城,1777831200000,5,39.930
14200,长江干流,60107400,枝城,1777834800000,4,39.920
14100,长江干流,60107400,枝城,1777838400000,6,39.920
14100,长江干流,60107400,枝城,1777842000000,6,39.920
14200,长江干流,60107400,枝城,1777845600000,5,39.940
14200,长江干流,60107400,枝城,1777849200000,5,39.950
14800,长江干流,60107400,枝城,1777860000000,5,40.060
13300,长江干流,60107400,枝城,1777870800000,4,39.860
11300,长江干流,60107400,枝城,1777881600000,4,39.480
11000,长江干流,60107400,枝城,1777888800000,4,39.360
