rvnm,stcd,stnm,tm,wptn,z,q
长江干流,60108300,沙市,1777564800000,4,34.070,12700
长江干流,60108300,沙市,1777568400000,5,34.080,
长江干流,60108300,沙市,1777572000000,6,34.080,12800
长江干流,60108300,沙市,1777575600000,4,34.070,12800
长江干流,60108300,沙市,1777582800000,6,34.090,12900
长江干流,60108300,沙市,1777586400000,5,34.110,13000
长江干流,60108300,沙市,1777590000000,6,34.110,13000
长江干流,60108300,沙市,1777593600000,6,34.110,
长江干流,60108300,沙市,1777604400000,4,34.110,13000
长江干流,60108300,沙市,1777608000000,5,34.120,13000
长江干流,60108300,沙市,1777615200000,4,34.110,13000
长江干流,60108300,沙市,1777622400000,4,34.090,12900
长江干流,60108300,沙市,1777626000000,4,34.060,12600
长江干流,60108300,沙市,1777629600000,4,34.020,12500
长江干流,60108300,沙市,1777633200000,4,33.980,12300
长江干流,60108300,沙市,1777636800000,4,33.920,12100
长江干流,60108300,沙市,1777640400000,4,33.880,12000
长江干流,60108300,沙市,1777644000000,4,33.840,12000
长江干流,60108300,沙市,1777647600000,4,33.810,11900
长江干流,60108300,沙市,1777651200000,4,33.790,11900
长江干流,60108300,沙市,1777654800000,4,33.770,11900
长江干流,60108300,沙市,1777658400000,6,33.770,12000
长江干流,60108300,沙市,1777662000000,6,33.770,12100
长江干流,60108300,沙市,1777665600000,5,33.790,12200
长江干流,60108300,沙市,1777669200000,6,33.790,12200
长江干流,60108300,沙市,1777672800000,5,33.810,12300
长江干流,60108300,沙市,1777676400000,5,33.820,12400
长江干流,60108300,沙市,1777680000000,6,33.820,12400
长江干流,60108300,沙市,1777690800000,5,33.860,12600
长江干流,60108300,沙市,1777698000000,6,33.880,12700
长江干流,60108300,沙市,1777705200000,5,33.920,12700
长江干流,60108300,沙市,1777708800000,6,33.920,12700
长江干流,60108300,沙市,1777712400000,4,33.910,12600
长江干流,60108300,沙市,1777716000000,4,33.890,12500
长江干流,60108300,沙市,1777719600000,4,33.870,12400
长江干流,60108300,沙市,1777723200000,4,33.830,12200
长江干流,60108300,沙市,1777726800000,4,33.800,12100
长江干流,60108300,沙市,1777730400000,4,33.770,12000
长江干流,60108300,沙市,1777734000000,4,33.740,12000
长江干流,60108300,沙市,1777737600000,4,33.720,11900
长江干流,60108300,沙市,1777741200000,6,33.720,12000
长江干流,60108300,沙市,1777744800000,6,33.720,12000
长江干流,60108300,沙市,1777748400000,6,33.720,12100
长江干流,60108300,沙市,1777752000000,5,33.740,12200
长江干流,60108300,沙市,1777755600000,5,33.750,12300
长江干流,60108300,沙市,1777759200000,6,33.750,12300
长江干流,60108300,沙市,1777762800000,5,33.760,
长江干流,60108300,沙市,1777766400000,5,33.780,
长江干流,60108300,沙市,1777773600000,5,33.800,12600
长江干流,60108300,沙市,1777777200000,5,33.810,12600
长江干流,60108300,沙市,1777784400000,5,33.840,12700
长江干流,60108300,沙市,1777788000000,5,33.850,12700
长江干流,60108300,沙市,1777795200000,4,33.840,12600
长江干流,60108300,沙市,1777798800000,4,33.830,12500
长江干流,60108300,沙市,1777802400000,4,33.810,12400
长江干流,60108300,沙市,1777806000000,4,33.770,12200
长江干流,60108300,沙市,1777813200000,4,33.700,11900
长江干流,60108300,沙市,1777816800000,4,33.680,
长江干流,60108300,沙市,1777820400000,4,33.650,11900
长江干流,60108300,沙市,1777824000000,4,33.640,11900
长江干流,60108300,沙市,1777827600000,6,33.640,
长江干流,60108300,沙市,1777831200000,5,33.650,12000
长江干流,60108300,沙市,1777834800000,6,33.650,12100
长江干流,60108300,沙市,1777838400000,5,33.670,12200
长江干流,60108300,沙市,1777842000000,5,33.690,12200
长江干流,60108300,沙市,1777845600000,6,33.690,12300
长江干流,60108300,沙市,1777849200000,5,33.710,12400
长江干流,60108300,沙市,1777852800000,5,33.720,
长江干流,60108300,沙市,1777860000000,5,33.750,12500
长江干流,60108300,沙市,1777863600000,5,33.770,12600
长江干流,60108300,沙市,1777870800000,5,33.800,12800
长江干流,60108300,沙市,1777874400000,6,33.380,12200
长江干流,60108300,沙市,1777881600000,4,33.830,12700
长江干流,60108300,沙市,1777888800000,4,33.790,12500
长江干流,60108300,沙市,1777892400000,4,33.750,12300
长江干流,60108300,沙市,1777896000000,4,33.720,12100
长江干流,60108300,沙市,1777903200000,4,33.640,11900
长江干流,60108300,沙市,1777910400000,4,33.610,11900
长江干流,60108300,沙市,1777914000000,4,33.590,11900
长江干流,60108300,沙市,1777921200000,5,33.610,12100
长江干流,60108300,沙市,1777924800000,5,33.630,12200
长江干流,60108300,沙市,1777928400000,5,33.640,12300
长江干流,60108300,沙市,1777932000000,5,33.670,12400
长江干流,60108300,沙市,1777935600000,6,33.670,12400
长江干流,60108300,沙市,1777942800000,5,33.720,12600
长江干流,60108300,沙市,1777950000000,5,33.770,12800
长江干流,60108300,沙市,1777953600000,5,33.800,12900
长江干流,60108300,沙市,1777957200000,5,33.810,12900
长江干流,60108300,沙市,1777960800000,5,33.830,12900
长江干流,60108300,沙市,1777968000000,6,33.840,12900
长江干流,60108300,沙市,1777975200000,4,33.830,12800
长江干流,60108300,沙市,1777978800000,4,33.810,12700
长江干流,60108300,沙市,1777982400000,4,33.790,12600
长江干流,60108300,沙市,1777996800000,4,33.670,12100
长江干流,60108300,沙市,1778000400000,4,33.640,12000
长江干流,60108300,沙市,1778004000000,4,33.620,11900
长江干流,60108300,沙市,1778007600000,4,33.570,11800
长江干流,60108300,沙市,1778011200000,4,33.540,11700
长江干流,60108300,沙市,1778014800000,4,33.500,11600
长江干流,60108300,沙市,1778018400000,4,33.480,11500
长江干流,60108300,沙市,1778022000000,4,33.460,11500
长江干流,60108300,沙市,1778029200000,4,33.410,11500
长江干流,60108300,沙市,1778036400000,6,33.390,11500
长江干流,60108300,沙市,1778040000000,4,33.370,11500
长江干流,60108300,沙市,1778047200000,6,33.360,11500
长江干流,60108300,沙市,1778050800000,4,33.340,11500
长江干流,60108300,沙市,1778054400000,6,33.340,11500
长江干流,60108300,沙市,1778058000000,6,33.340,11600
