rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1777569600000,6,50.820
陆水,61705000,陆水水库(坝上),1777574100000,6,50.810
陆水,61705000,陆水水库(坝上),1777578900000,6,50.800
陆水,61705000,陆水水库(坝上),1777583100000,6,50.790
陆水,61705000,陆水水库(坝上),1777586700000,6,50.790
陆水,61705000,陆水水库(坝上),1777590300000,6,50.780
陆水,61705000,陆水水库(坝上),1777593600000,6,50.770
陆水,61705000,陆水水库(坝上),1777608300000,6,50.780
陆水,61705000,陆水水库(坝上),1777617600000,6,50.790
陆水,61705000,陆水水库(坝上),1777623900000,6,50.790
陆水,61705000,陆水水库(坝上),1777629600000,6,50.780
陆水,61705000,陆水水库(坝上),1777633800000,6,50.770
陆水,61705000,陆水水库(坝上),1777637100000,6,50.770
陆水,61705000,陆水水库(坝上),1777643400000,6,50.750
陆水,61705000,陆水水库(坝上),1777646700000,6,50.740
陆水,61705000,陆水水库(坝上),1777650300000,6,50.730
陆水,61705000,陆水水库(坝上),1777654200000,4,50.720
陆水,61705000,陆水水库(坝上),1777657800000,6,50.720
陆水,61705000,陆水水库(坝上),1777662300000,6,50.700
陆水,61705000,陆水水库(坝上),1777665900000,6,50.690
陆水,61705000,陆水水库(坝上),1777669200000,6,50.680
陆水,61705000,陆水水库(坝上),1777672500000,6,50.670
陆水,61705000,陆水水库(坝上),1777676100000,6,50.660
陆水,61705000,陆水水库(坝上),1777679400000,6,50.650
陆水,61705000,陆水水库(坝上),1777692600000,6,50.590
陆水,61705000,陆水水库(坝上),1777700700000,6,50.570
陆水,61705000,陆水水库(坝上),1777707300000,6,50.540
陆水,61705000,陆水水库(坝上),1777711200000,6,50.520
陆水,61705000,陆水水库(坝上),1777715400000,6,50.510
陆水,61705000,陆水水库(坝上),1777718400000,6,50.510
陆水,61705000,陆水水库(坝上),1777720800000,6,50.490
陆水,61705000,陆水水库(坝上),1777724400000,6,50.480
陆水,61705000,陆水水库(坝上),1777729800000,6,50.460
陆水,61705000,陆水水库(坝上),1777732500000,6,50.450
陆水,61705000,陆水水库(坝上),1777735500000,6,50.440
陆水,61705000,陆水水库(坝上),1777738800000,6,50.430
陆水,61705000,陆水水库(坝上),1777742100000,6,50.420
陆水,61705000,陆水水库(坝上),1777744800000,6,50.410
陆水,61705000,陆水水库(坝上),1777748700000,6,50.390
陆水,61705000,陆水水库(坝上),1777751400000,6,50.390
陆水,61705000,陆水水库(坝上),1777754700000,6,50.380
陆水,61705000,陆水水库(坝上),1777757400000,6,50.370
陆水,61705000,陆水水库(坝上),1777760100000,6,50.360
陆水,61705000,陆水水库(坝上),1777762800000,4,50.350
陆水,61705000,陆水水库(坝上),1777765800000,6,50.340
陆水,61705000,陆水水库(坝上),1777776600000,4,50.330
陆水,61705000,陆水水库(坝上),1777788000000,6,50.350
陆水,61705000,陆水水库(坝上),1777795500000,6,50.370
陆水,61705000,陆水水库(坝上),1777800600000,6,50.370
陆水,61705000,陆水水库(坝上),1777804200000,6,50.380
陆水,61705000,陆水水库(坝上),1777806900000,6,50.390
陆水,61705000,陆水水库(坝上),1777809600000,6,50.390
陆水,61705000,陆水水库(坝上),1777815300000,6,50.400
陆水,61705000,陆水水库(坝上),1777818600000,6,50.410
陆水,61705000,陆水水库(坝上),1777821600000,6,50.410
陆水,61705000,陆水水库(坝上),1777824000000,6,50.410
陆水,61705000,陆水水库(坝上),1777827600000,6,50.410
陆水,61705000,陆水水库(坝上),1777830600000,6,50.410
陆水,61705000,陆水水库(坝上),1777834800000,6,50.410
陆水,61705000,陆水水库(坝上),1777837800000,6,50.410
陆水,61705000,陆水水库(坝上),1777840500000,6,50.410
陆水,61705000,陆水水库(坝上),1777843200000,6,50.420
陆水,61705000,陆水水库(坝上),1777845600000,6,50.420
陆水,61705000,陆水水库(坝上),1777848600000,6,50.420
陆水,61705000,陆水水库(坝上),1777852200000,6,50.420
陆水,61705000,陆水水库(坝上),1777862700000,6,50.410
陆水,61705000,陆水水库(坝上),1777874400000,6,50.400
陆水,61705000,陆水水库(坝上),1777883700000,6,50.390
陆水,61705000,陆水水库(坝上),1777891500000,6,50.380
陆水,61705000,陆水水库(坝上),1777896300000,6,50.360
陆水,61705000,陆水水库(坝上),1777904700000,6,50.340
陆水,61705000,陆水水库(坝上),1777911000000,4,50.320
陆水,61705000,陆水水库(坝上),1777916700000,6,50.320
陆水,61705000,陆水水库(坝上),1777922400000,6,50.320
陆水,61705000,陆水水库(坝上),1777926900000,6,50.320
陆水,61705000,陆水水库(坝上),1777930500000,6,50.310
陆水,61705000,陆水水库(坝上),1777934100000,5,50.310
陆水,61705000,陆水水库(坝上),1777937400000,6,50.300
陆水,61705000,陆水水库(坝上),1777942800000,6,50.300
陆水,61705000,陆水水库(坝上),1777954800000,6,50.280
陆水,61705000,陆水水库(坝上),1777962000000,6,50.270
陆水,61705000,陆水水库(坝上),1777969800000,6,50.260
陆水,61705000,陆水水库(坝上),1777975800000,4,50.240
陆水,61705000,陆水水库(坝上),1777980900000,6,50.230
陆水,61705000,陆水水库(坝上),1777985400000,6,50.220
陆水,61705000,陆水水库(坝上),1777999200000,6,50.180
陆水,61705000,陆水水库(坝上),1778004000000,6,50.170
陆水,61705000,陆水水库(坝上),1778010000000,6,50.160
陆水,61705000,陆水水库(坝上),1778013300000,6,50.170
陆水,61705000,陆水水库(坝上),1778016900000,6,50.160
陆水,61705000,陆水水库(坝上),1778020200000,6,50.160
陆水,61705000,陆水水库(坝上),1778023200000,6,50.160
陆水,61705000,陆水水库(坝上),1778029500000,6,50.150
陆水,61705000,陆水水库(坝上),1778042100000,6,50.140
陆水,61705000,陆水水库(坝上),1778052000000,6,50.110
陆水,61705000,陆水水库(坝上),1778059800000,6,50.100
陆水,61705000,陆水水库(坝上),1778066400000,6,50.070
陆水,61705000,陆水水库(坝上),1778072700000,6,50.050
陆水,61705000,陆水水库(坝上),1778081400000,6,50.020
陆水,61705000,陆水水库(坝上),1778086800000,6,50.010
陆水,61705000,陆水水库(坝上),1778092800000,6,50.000
陆水,61705000,陆水水库(坝上),1778098200000,6,49.990
陆水,61705000,陆水水库(坝上),1778102400000,6,49.990
陆水,61705000,陆水水库(坝上),1778106000000,6,49.990
陆水,61705000,陆水水库(坝上),1778109600000,6,50.000
陆水,61705000,陆水水库(坝上),1778112000000,6,49.990
陆水,61705000,陆水水库(坝上),1778125800000,6,49.990
陆水,61705000,陆水水库(坝上),1778136000000,6,49.970
陆水,61705000,陆水水库(坝上),1778145000000,6,49.960
陆水,61705000,陆水水库(坝上),1778152200000,4,49.950
陆水,61705000,陆水水库(坝上),1778158800000,6,49.950
