oq,q,rvnm,stcd,stnm,tm,wptn,z
0,25700,洞庭湖,61512000,城陵矶(七),1595012400000,5,34
0,25800,洞庭湖,61512000,城陵矶(七),1595016000000,4,33.98
0,25800,洞庭湖,61512000,城陵矶(七),1595019600000,6,33.98
0,25700,洞庭湖,61512000,城陵矶(七),1595023200000,5,34
0,25800,洞庭湖,61512000,城陵矶(七),1595026800000,4,33.98
0,25800,洞庭湖,61512000,城陵矶(七),1595030400000,4,33.96
0,25800,洞庭湖,61512000,城陵矶(七),1595034000000,5,33.97
0,25800,洞庭湖,61512000,城陵矶(七),1595037600000,5,33.98
0,22800,洞庭湖,61512000,城陵矶(七),1595041200000,5,34
0,23000,洞庭湖,61512000,城陵矶(七),1595044800000,4,33.96
0,22800,洞庭湖,61512000,城陵矶(七),1595048400000,5,34
0,22800,洞庭湖,61512000,城陵矶(七),1595052000000,6,34
0,22700,洞庭湖,61512000,城陵矶(七),1595055600000,5,34.02
0,22800,洞庭湖,61512000,城陵矶(七),1595059200000,4,33.99
0,22800,洞庭湖,61512000,城陵矶(七),1595062800000,5,34
0,22800,洞庭湖,61512000,城陵矶(七),1595066400000,6,34
0,22800,洞庭湖,61512000,城陵矶(七),1595070000000,6,34
0,22700,洞庭湖,61512000,城陵矶(七),1595073600000,5,34.02
0,22900,洞庭湖,61512000,城陵矶(七),1595077200000,4,33.97
0,22800,洞庭湖,61512000,城陵矶(七),1595080800000,5,34
0,22900,洞庭湖,61512000,城陵矶(七),1595084400000,4,33.97
0,22800,洞庭湖,61512000,城陵矶(七),1595088000000,5,34
0,22900,洞庭湖,61512000,城陵矶(七),1595091600000,4,33.98
0,23100,洞庭湖,61512000,城陵矶(七),1595095200000,4,33.93
0,23100,洞庭湖,61512000,城陵矶(七),1595098800000,6,33.93
0,23000,洞庭湖,61512000,城陵矶(七),1595102400000,5,33.96
0,22900,洞庭湖,61512000,城陵矶(七),1595106000000,5,33.97
0,22800,洞庭湖,61512000,城陵矶(七),1595109600000,5,33.99
0,22800,洞庭湖,61512000,城陵矶(七),1595113200000,5,34
0,22600,洞庭湖,61512000,城陵矶(七),1595116800000,5,34.03
0,22600,洞庭湖,61512000,城陵矶(七),1595120400000,5,34.04
0,22600,洞庭湖,61512000,城陵矶(七),1595124000000,4,34.03
0,19500,洞庭湖,61512000,城陵矶(七),1595127600000,5,34.08
0,19600,洞庭湖,61512000,城陵矶(七),1595131200000,4,34.05
0,19700,洞庭湖,61512000,城陵矶(七),1595134800000,4,34.04
0,19700,洞庭湖,61512000,城陵矶(七),1595138400000,6,34.04
0,19500,洞庭湖,61512000,城陵矶(七),1595142000000,5,34.07
0,19500,洞庭湖,61512000,城陵矶(七),1595145600000,5,34.08
0,19400,洞庭湖,61512000,城陵矶(七),1595149200000,5,34.09
0,19000,洞庭湖,61512000,城陵矶(七),1595152800000,5,34.16
0,19200,洞庭湖,61512000,城陵矶(七),1595156400000,4,34.13
0,19200,洞庭湖,61512000,城陵矶(七),1595160000000,6,34.13
0,19400,洞庭湖,61512000,城陵矶(七),1595163600000,4,34.09
