oq,q,rvnm,stcd,stnm,tm,wptn,z
0,14000,鄱阳湖,62601600,湖口,1595012400000,6,21.81
0,13900,鄱阳湖,62601600,湖口,1595016000000,4,21.8
0,13900,鄱阳湖,62601600,湖口,1595019600000,5,21.81
0,13900,鄱阳湖,62601600,湖口,1595023200000,4,21.79
0,13900,鄱阳湖,62601600,湖口,1595026800000,6,21.79
0,13800,鄱阳湖,62601600,湖口,1595030400000,4,21.78
0,13800,鄱阳湖,62601600,湖口,1595034000000,5,21.79
0,13800,鄱阳湖,62601600,湖口,1595037600000,5,21.8
0,13800,鄱阳湖,62601600,湖口,1595041200000,4,21.76
0,13800,鄱阳湖,62601600,湖口,1595044800000,5,21.78
0,13700,鄱阳湖,62601600,湖口,1595048400000,4,21.77
0,13600,鄱阳湖,62601600,湖口,1595052000000,5,21.78
0,13700,鄱阳湖,62601600,湖口,1595055600000,4,21.77
0,13600,鄱阳湖,62601600,湖口,1595059200000,5,21.79
0,13500,鄱阳湖,62601600,湖口,1595062800000,4,21.78
0,13500,鄱阳湖,62601600,湖口,1595066400000,4,21.73
0,13500,鄱阳湖,62601600,湖口,1595070000000,4,21.72
0,13300,鄱阳湖,62601600,湖口,1595073600000,5,21.73
0,13300,鄱阳湖,62601600,湖口,1595077200000,4,21.72
0,13300,鄱阳湖,62601600,湖口,1595080800000,4,21.7
0,13300,鄱阳湖,62601600,湖口,1595084400000,5,21.71
0,13200,鄱阳湖,62601600,湖口,1595088000000,4,21.69
0,13200,鄱阳湖,62601600,湖口,1595091600000,5,21.7
0,12900,鄱阳湖,62601600,湖口,1595095200000,4,21.69
0,12900,鄱阳湖,62601600,湖口,1595098800000,4,21.68
0,12900,鄱阳湖,62601600,湖口,1595102400000,5,21.7
0,12800,鄱阳湖,62601600,湖口,1595106000000,6,21.7
0,12800,鄱阳湖,62601600,湖口,1595109600000,6,21.7
0,12800,鄱阳湖,62601600,湖口,1595113200000,5,21.71
0,12700,鄱阳湖,62601600,湖口,1595116800000,4,21.67
0,12300,鄱阳湖,62601600,湖口,1595120400000,6,21.67
0,12200,鄱阳湖,62601600,湖口,1595124000000,5,21.68
0,12200,鄱阳湖,62601600,湖口,1595127600000,5,21.7
0,12100,鄱阳湖,62601600,湖口,1595131200000,4,21.68
0,12100,鄱阳湖,62601600,湖口,1595134800000,4,21.65
0,12000,鄱阳湖,62601600,湖口,1595138400000,4,21.64
0,11900,鄱阳湖,62601600,湖口,1595142000000,4,21.62
0,11900,鄱阳湖,62601600,湖口,1595145600000,4,21.61
0,11800,鄱阳湖,62601600,湖口,1595149200000,5,21.62
0,11700,鄱阳湖,62601600,湖口,1595152800000,4,21.59
0,11700,鄱阳湖,62601600,湖口,1595156400000,5,21.61
0,11600,鄱阳湖,62601600,湖口,1595160000000,4,21.59
0,11500,鄱阳湖,62601600,湖口,1595163600000,4,21.58
0,11500,鄱阳湖,62601600,湖口,1595167200000,5,21.61
0,11400,鄱阳湖,62601600,湖口,1595170800000,5,21.62
0,11300,鄱阳湖,62601600,湖口,1595174400000,6,21.62
0,11300,鄱阳湖,62601600,湖口,1595178000000,5,21.66
0,11200,鄱阳湖,62601600,湖口,1595181600000,5,21.68
0,11200,鄱阳湖,62601600,湖口,1595185200000,4,21.67
0,11100,鄱阳湖,62601600,湖口,1595188800000,4,21.65
0,11100,鄱阳湖,62601600,湖口,1595192400000,4,21.64
0,11100,鄱阳湖,62601600,湖口,1595196000000,5,21.65
0,11100,鄱阳湖,62601600,湖口,1595199600000,5,21.66
0,11000,鄱阳湖,62601600,湖口,1595203200000,5,21.67
0,7110,鄱阳湖,62601600,湖口,1595206800000,4,21.64
0,7020,鄱阳湖,62601600,湖口,1595210400000,6,21.64
0,6070,鄱阳湖,62601600,湖口,1595214000000,4,21.62
0,6010,鄱阳湖,62601600,湖口,1595217600000,5,21.64
0,5950,鄱阳湖,62601600,湖口,1595221200000,5,21.65
0,5890,鄱阳湖,62601600,湖口,1595224800000,4,21.64
0,5830,鄱阳湖,62601600,湖口,1595228400000,5,21.65
0,5780,鄱阳湖,62601600,湖口,1595232000000,5,21.67
0,5720,鄱阳湖,62601600,湖口,1595235600000,5,21.69
0,5660,鄱阳湖,62601600,湖口,1595239200000,6,21.69
0,5600,鄱阳湖,62601600,湖口,1595242800000,5,21.7
0,5540,鄱阳湖,62601600,湖口,1595246400000,4,21.69
0,5480,鄱阳湖,62601600,湖口,1595250000000,5,21.7
0,5420,鄱阳湖,62601600,湖口,1595253600000,6,21.7
0,5360,鄱阳湖,62601600,湖口,1595257200000,6,21.7
0,5300,鄱阳湖,62601600,湖口,1595260800000,5,21.71
0,5240,鄱阳湖,62601600,湖口,1595264400000,4,21.7
0,5180,鄱阳湖,62601600,湖口,1595268000000,6,21.7
0,5130,鄱阳湖,62601600,湖口,1595271600000,5,21.72
0,5070,鄱阳湖,62601600,湖口,1595275200000,4,21.68
0,5010,鄱阳湖,62601600,湖口,1595278800000,5,21.69
0,4950,鄱阳湖,62601600,湖口,1595282400000,6,21.69
0,4890,鄱阳湖,62601600,湖口,1595286000000,5,21.7
0,7110,鄱阳湖,62601600,湖口,1595289600000,6,21.7
0,7120,鄱阳湖,62601600,湖口,1595293200000,4,21.68
0,7130,鄱阳湖,62601600,湖口,1595296800000,5,21.7
0,7140,鄱阳湖,62601600,湖口,1595300400000,5,21.73
0,7150,鄱阳湖,62601600,湖口,1595304000000,4,21.71
0,7160,鄱阳湖,62601600,湖口,1595307600000,5,21.73
0,7170,鄱阳湖,62601600,湖口,1595311200000,4,21.7
0,7150,鄱阳湖,62601600,湖口,1595314800000,5,21.73
0,7140,鄱阳湖,62601600,湖口,1595318400000,4,21.71
0,7140,鄱阳湖,62601600,湖口,1595322000000,4,21.7
0,7140,鄱阳湖,62601600,湖口,1595325600000,6,21.7
0,7130,鄱阳湖,62601600,湖口,1595329200000,6,21.7
0,7130,鄱阳湖,62601600,湖口,1595332800000,6,21.7
0,7580,鄱阳湖,62601600,湖口,1595336400000,6,21.7
0,7580,鄱阳湖,62601600,湖口,1595340000000,4,21.68
0,7580,鄱阳湖,62601600,湖口,1595343600000,5,21.7
0,7580,鄱阳湖,62601600,湖口,1595347200000,5,21.71
0,7590,鄱阳湖,62601600,湖口,1595350800000,4,21.69
0,7660,鄱阳湖,62601600,湖口,1595354400000,6,21.69
0,7660,鄱阳湖,62601600,湖口,1595358000000,6,21.69
0,7660,鄱阳湖,62601600,湖口,1595361600000,6,21.69
0,7660,鄱阳湖,62601600,湖口,1595365200000,4,21.67
0,7660,鄱阳湖,62601600,湖口,1595368800000,6,21.67
0,7660,鄱阳湖,62601600,湖口,1595372400000,6,21.67
0,8850,鄱阳湖,62601600,湖口,1595376000000,5,21.71
0,8860,鄱阳湖,62601600,湖口,1595379600000,4,21.7
0,8880,鄱阳湖,62601600,湖口,1595383200000,4,21.69
0,8890,鄱阳湖,62601600,湖口,1595386800000,5,21.7
0,8910,鄱阳湖,62601600,湖口,1595390400000,5,21.71
0,9050,鄱阳湖,62601600,湖口,1595394000000,4,21.66
0,9090,鄱阳湖,62601600,湖口,1595397600000,4,21.65
0,9140,鄱阳湖,62601600,湖口,1595401200000,5,21.69
0,9190,鄱阳湖,62601600,湖口,1595404800000,4,21.68
0,9230,鄱阳湖,62601600,湖口,1595408400000,4,21.66
0,9280,鄱阳湖,62601600,湖口,1595412000000,4,21.65
0,9320,鄱阳湖,62601600,湖口,1595415600000,5,21.66
0,9370,鄱阳湖,62601600,湖口,1595419200000,6,21.66
0,9420,鄱阳湖,62601600,湖口,1595422800000,4,21.64
0,9460,鄱阳湖,62601600,湖口,1595426400000,6,21.64
0,9510,鄱阳湖,62601600,湖口,1595430000000,4,21.61
0,9560,鄱阳湖,62601600,湖口,1595433600000,5,21.62
0,9600,鄱阳湖,62601600,湖口,1595437200000,5,21.63
0,9650,鄱阳湖,62601600,湖口,1595440800000,6,21.63
0,9700,鄱阳湖,62601600,湖口,1595444400000,4,21.62
0,9740,鄱阳湖,62601600,湖口,1595448000000,4,21.59
0,9790,鄱阳湖,62601600,湖口,1595451600000,5,21.6
0,9830,鄱阳湖,62601600,湖口,1595455200000,5,21.62
0,9880,鄱阳湖,62601600,湖口,1595458800000,4,21.59
0,9470,鄱阳湖,62601600,湖口,1595462400000,5,21.61
0,9450,鄱阳湖,62601600,湖口,1595466000000,5,21.62
0,9350,鄱阳湖,62601600,湖口,1595466960000,6,21.62
0,9380,鄱阳湖,62601600,湖口,1595469600000,6,21.62
0,9400,鄱阳湖,62601600,湖口,1595473200000,4,21.61
0,9430,鄱阳湖,62601600,湖口,1595476800000,4,21.59
0,9460,鄱阳湖,62601600,湖口,1595480400000,4,21.58
0,9490,鄱阳湖,62601600,湖口,1595484000000,5,21.59
0,9510,鄱阳湖,62601600,湖口,1595487600000,4,21.58
0,9540,鄱阳湖,62601600,湖口,1595491200000,4,21.57
0,9570,鄱阳湖,62601600,湖口,1595494800000,6,21.57
0,9590,鄱阳湖,62601600,湖口,1595498400000,4,21.54
0,9620,鄱阳湖,62601600,湖口,1595502000000,6,21.54
0,9650,鄱阳湖,62601600,湖口,1595505600000,6,21.54
0,8940,鄱阳湖,62601600,湖口,1595509200000,6,21.54
0,8790,鄱阳湖,62601600,湖口,1595512800000,6,21.54
0,8690,鄱阳湖,62601600,湖口,1595516400000,6,21.54
0,8580,鄱阳湖,62601600,湖口,1595520000000,6,21.54
0,8480,鄱阳湖,62601600,湖口,1595523600000,6,21.54
0,8370,鄱阳湖,62601600,湖口,1595527200000,4,21.52
0,8260,鄱阳湖,62601600,湖口,1595530800000,5,21.53
0,8160,鄱阳湖,62601600,湖口,1595534400000,4,21.48
0,8050,鄱阳湖,62601600,湖口,1595538000000,5,21.49
0,7950,鄱阳湖,62601600,湖口,1595541600000,4,21.48
0,7840,鄱阳湖,62601600,湖口,1595545200000,6,21.48
0,7330,鄱阳湖,62601600,湖口,1595548800000,4,21.46
0,7270,鄱阳湖,62601600,湖口,1595552400000,4,21.45
0,7200,鄱阳湖,62601600,湖口,1595556000000,5,21.47
0,6750,鄱阳湖,62601600,湖口,1595559600000,4,21.46
0,6700,鄱阳湖,62601600,湖口,1595563200000,4,21.43
0,6650,鄱阳湖,62601600,湖口,1595566800000,5,21.46
0,6600,鄱阳湖,62601600,湖口,1595570400000,4,21.44
