oq,q,rvnm,stcd,stnm,tm,wptn,z
33200,0,长江,60106980,三峡水库,1595012400000,5,159.45
33100,60000,长江,60106980,三峡水库,1595016000000,5,159.58
33000,0,长江,60106980,三峡水库,1595019600000,5,159.72
33000,60000,长江,60106980,三峡水库,1595023200000,5,159.86
33000,0,长江,60106980,三峡水库,1595026800000,5,160.02
33000,61000,长江,60106980,三峡水库,1595030400000,5,160.17
33000,0,长江,60106980,三峡水库,1595034000000,5,160.33
32900,61000,长江,60106980,三峡水库,1595037600000,5,160.47
32800,0,长江,60106980,三峡水库,1595041200000,5,160.65
34700,61000,长江,60106980,三峡水库,1595044800000,5,160.78
34800,0,长江,60106980,三峡水库,1595048400000,5,160.91
34700,61000,长江,60106980,三峡水库,1595052000000,5,161.05
34700,0,长江,60106980,三峡水库,1595055600000,5,161.2
34600,61000,长江,60106980,三峡水库,1595059200000,5,161.36
34600,0,长江,60106980,三峡水库,1595062800000,5,161.52
34500,61000,长江,60106980,三峡水库,1595066400000,5,161.69
36400,0,长江,60106980,三峡水库,1595070000000,5,161.83
36400,61000,长江,60106980,三峡水库,1595073600000,5,161.97
36400,0,长江,60106980,三峡水库,1595077200000,5,162.09
36400,61000,长江,60106980,三峡水库,1595080800000,5,162.25
36400,0,长江,60106980,三峡水库,1595084400000,5,162.41
36300,61000,长江,60106980,三峡水库,1595088000000,5,162.56
36200,0,长江,60106980,三峡水库,1595091600000,5,162.69
36200,61000,长江,60106980,三峡水库,1595095200000,5,162.82
36100,0,长江,60106980,三峡水库,1595098800000,5,162.96
36100,60500,长江,60106980,三峡水库,1595102400000,5,163.09
36000,0,长江,60106980,三峡水库,1595106000000,5,163.22
36000,59000,长江,60106980,三峡水库,1595109600000,5,163.35
36000,0,长江,60106980,三峡水库,1595113200000,5,163.47
35900,58000,长江,60106980,三峡水库,1595116800000,5,163.59
35900,0,长江,60106980,三峡水库,1595120400000,5,163.71
37900,55000,长江,60106980,三峡水库,1595124000000,5,163.77
37900,0,长江,60106980,三峡水库,1595127600000,5,163.85
40000,54000,长江,60106980,三峡水库,1595131200000,4,163.81
40100,0,长江,60106980,三峡水库,1595134800000,5,163.84
40100,53000,长江,60106980,三峡水库,1595138400000,5,163.88
38000,0,长江,60106980,三峡水库,1595142000000,5,163.96
37900,49000,长江,60106980,三峡水库,1595145600000,5,164.05
