oq,q,rvnm,stcd,stnm,tm,wptn,z
0,60300,长江,60113400,九江,1595012400000,6,22.21
0,60300,长江,60113400,九江,1595016000000,4,22.19
0,60300,长江,60113400,九江,1595019600000,5,22.2
0,60300,长江,60113400,九江,1595023200000,6,22.2
0,60300,长江,60113400,九江,1595026800000,6,22.2
0,60200,长江,60113400,九江,1595030400000,4,22.18
0,60300,长江,60113400,九江,1595034000000,5,22.2
0,60300,长江,60113400,九江,1595037600000,4,22.19
0,59900,长江,60113400,九江,1595041200000,4,22.17
0,59900,长江,60113400,九江,1595044800000,6,22.17
0,59900,长江,60113400,九江,1595048400000,6,22.17
0,59800,长江,60113400,九江,1595052000000,6,22.17
0,60000,长江,60113400,九江,1595055600000,5,22.19
0,59800,长江,60113400,九江,1595059200000,4,22.17
0,59700,长江,60113400,九江,1595062800000,4,22.16
0,59600,长江,60113400,九江,1595066400000,4,22.14
0,59600,长江,60113400,九江,1595070000000,4,22.12
0,59500,长江,60113400,九江,1595073600000,6,22.12
0,59500,长江,60113400,九江,1595077200000,4,22.11
0,59600,长江,60113400,九江,1595080800000,5,22.12
0,59600,长江,60113400,九江,1595084400000,6,22.12
0,59500,长江,60113400,九江,1595088000000,4,22.1
0,59500,长江,60113400,九江,1595091600000,6,22.1
0,59500,长江,60113400,九江,1595095200000,4,22.09
0,59300,长江,60113400,九江,1595098800000,4,22.08
0,59400,长江,60113400,九江,1595102400000,5,22.11
0,59300,长江,60113400,九江,1595106000000,4,22.1
0,59300,长江,60113400,九江,1595109600000,6,22.1
0,59300,长江,60113400,九江,1595113200000,4,22.09
0,59300,长江,60113400,九江,1595116800000,4,22.08
0,59400,长江,60113400,九江,1595120400000,4,22.07
0,59500,长江,60113400,九江,1595124000000,5,22.09
0,59700,长江,60113400,九江,1595127600000,5,22.12
0,63700,长江,60113400,九江,1595131200000,4,22.1
0,63000,长江,60113400,九江,1595132160000,6,22.1
0,62800,长江,60113400,九江,1595134800000,4,22.07
0,62900,长江,60113400,九江,1595138400000,6,22.07
0,62700,长江,60113400,九江,1595142000000,4,22.05
0,62700,长江,60113400,九江,1595145600000,5,22.06
0,62500,长江,60113400,九江,1595149200000,4,22.03
0,62500,长江,60113400,九江,1595152800000,6,22.03
0,62500,长江,60113400,九江,1595156400000,6,22.03
0,62500,长江,60113400,九江,1595160000000,6,22.03
0,62800,长江,60113400,九江,1595163600000,4,22
0,62900,长江,60113400,九江,1595167200000,5,22.01
0,63100,长江,60113400,九江,1595170800000,5,22.04
0,63300,长江,60113400,九江,1595174400000,5,22.07
0,63400,长江,60113400,九江,1595178000000,5,22.08
0,63600,长江,60113400,九江,1595181600000,5,22.09
0,63600,长江,60113400,九江,1595185200000,5,22.11
0,63600,长江,60113400,九江,1595188800000,6,22.11
0,63500,长江,60113400,九江,1595192400000,4,22.09
0,63400,长江,60113400,九江,1595196000000,4,22.08
0,63500,长江,60113400,九江,1595199600000,5,22.1
0,63900,长江,60113400,九江,1595203200000,6,22.1
0,63500,长江,60113400,九江,1595206800000,4,22.09
0,63600,长江,60113400,九江,1595210400000,5,22.11
0,63400,长江,60113400,九江,1595214000000,4,22.08
0,63500,长江,60113400,九江,1595217600000,5,22.09
0,63500,长江,60113400,九江,1595221200000,5,22.1
0,65800,长江,60113400,九江,1595224800000,4,22.06
0,65900,长江,60113400,九江,1595228400000,5,22.1
0,65600,长江,60113400,九江,1595230260000,6,22.1
0,66100,长江,60113400,九江,1595232000000,6,22.1
0,66100,长江,60113400,九江,1595235600000,5,22.11
0,66300,长江,60113400,九江,1595239200000,5,22.14
0,66300,长江,60113400,九江,1595242800000,6,22.14
0,66300,长江,60113400,九江,1595246400000,4,22.13
0,66200,长江,60113400,九江,1595250000000,4,22.12
0,66400,长江,60113400,九江,1595253600000,5,22.15
0,66400,长江,60113400,九江,1595257200000,6,22.15
0,66400,长江,60113400,九江,1595260800000,6,22.15
0,66300,长江,60113400,九江,1595264400000,4,22.13
0,66300,长江,60113400,九江,1595268000000,6,22.13
0,66400,长江,60113400,九江,1595271600000,5,22.15
0,66300,长江,60113400,九江,1595275200000,4,22.13
0,66300,长江,60113400,九江,1595278800000,5,22.14
0,66200,长江,60113400,九江,1595282400000,4,22.12
0,66300,长江,60113400,九江,1595286000000,5,22.14
0,65900,长江,60113400,九江,1595289600000,4,22.13
0,65800,长江,60113400,九江,1595293200000,4,22.12
0,66000,长江,60113400,九江,1595296800000,5,22.14
0,65900,长江,60113400,九江,1595300400000,4,22.13
0,66100,长江,60113400,九江,1595304000000,5,22.15
0,66200,长江,60113400,九江,1595307600000,5,22.17
0,66100,长江,60113400,九江,1595311200000,4,22.15
0,65800,长江,60113400,九江,1595314800000,4,22.13
0,65900,长江,60113400,九江,1595318400000,5,22.14
0,66000,长江,60113400,九江,1595322000000,5,22.16
0,65900,长江,60113400,九江,1595325600000,4,22.14
0,65900,长江,60113400,九江,1595329200000,6,22.14
0,65800,长江,60113400,九江,1595332800000,4,22.13
0,65700,长江,60113400,九江,1595336400000,4,22.12
0,65600,长江,60113400,九江,1595340000000,4,22.1
0,65900,长江,60113400,九江,1595343600000,5,22.14
0,65800,长江,60113400,九江,1595347200000,4,22.13
0,65800,长江,60113400,九江,1595350800000,6,22.13
0,65500,长江,60113400,九江,1595354400000,4,22.12
0,65600,长江,60113400,九江,1595358000000,5,22.13
0,65500,长江,60113400,九江,1595361600000,4,22.11
0,65600,长江,60113400,九江,1595365200000,5,22.13
0,65600,长江,60113400,九江,1595368800000,4,22.12
0,65600,长江,60113400,九江,1595372400000,6,22.12
0,65600,长江,60113400,九江,1595376000000,6,22.12
0,64000,长江,60113400,九江,1595379600000,6,22.12
0,64100,长江,60113400,九江,1595383200000,5,22.13
0,64200,长江,60113400,九江,1595386800000,5,22.14
0,64300,长江,60113400,九江,1595390400000,5,22.16
0,63900,长江,60113400,九江,1595394000000,4,22.13
0,63800,长江,60113400,九江,1595397600000,4,22.12
0,63900,长江,60113400,九江,1595401200000,5,22.14
0,63900,长江,60113400,九江,1595404800000,4,22.13
0,63800,长江,60113400,九江,1595408400000,4,22.12
0,63800,长江,60113400,九江,1595412000000,6,22.12
0,63800,长江,60113400,九江,1595415600000,4,22.11
0,63800,长江,60113400,九江,1595419200000,6,22.11
0,63800,长江,60113400,九江,1595422800000,6,22.11
0,63700,长江,60113400,九江,1595426400000,4,22.09
0,63700,长江,60113400,九江,1595430000000,6,22.09
0,63700,长江,60113400,九江,1595433600000,4,22.08
0,63700,长江,60113400,九江,1595437200000,6,22.08
0,63700,长江,60113400,九江,1595440800000,4,22.06
0,63700,长江,60113400,九江,1595444400000,5,22.08
0,63700,长江,60113400,九江,1595448000000,4,22.07
0,63600,长江,60113400,九江,1595451600000,4,22.05
0,63700,长江,60113400,九江,1595455200000,5,22.06
0,63700,长江,60113400,九江,1595458800000,6,22.06
0,63700,长江,60113400,九江,1595462400000,5,22.07
0,63700,长江,60113400,九江,1595466000000,4,22.06
0,63700,长江,60113400,九江,1595469600000,6,22.06
0,63700,长江,60113400,九江,1595473200000,6,22.06
0,63600,长江,60113400,九江,1595476800000,4,22.05
0,63700,长江,60113400,九江,1595480400000,5,22.06
0,63700,长江,60113400,九江,1595484000000,6,22.06
