oq,q,rvnm,stcd,stnm,tm,wptn,z
0,0,长江,60111200,城陵矶(莲),1595012400000,5,33.87
0,0,长江,60111200,城陵矶(莲),1595016000000,4,33.84
0,0,长江,60111200,城陵矶(莲),1595019600000,6,33.84
0,0,长江,60111200,城陵矶(莲),1595023200000,5,33.86
0,0,长江,60111200,城陵矶(莲),1595026800000,4,33.84
0,0,长江,60111200,城陵矶(莲),1595030400000,4,33.83
0,0,长江,60111200,城陵矶(莲),1595034000000,6,33.83
0,0,长江,60111200,城陵矶(莲),1595037600000,5,33.84
0,0,长江,60111200,城陵矶(莲),1595041200000,5,33.86
0,0,长江,60111200,城陵矶(莲),1595044800000,4,33.84
0,0,长江,60111200,城陵矶(莲),1595048400000,5,33.87
0,0,长江,60111200,城陵矶(莲),1595052000000,6,33.87
0,0,长江,60111200,城陵矶(莲),1595055600000,5,33.89
0,0,长江,60111200,城陵矶(莲),1595059200000,4,33.87
0,0,长江,60111200,城陵矶(莲),1595062800000,5,33.88
0,0,长江,60111200,城陵矶(莲),1595066400000,6,33.88
0,0,长江,60111200,城陵矶(莲),1595070000000,6,33.88
0,0,长江,60111200,城陵矶(莲),1595073600000,5,33.9
0,0,长江,60111200,城陵矶(莲),1595077200000,4,33.86
0,0,长江,60111200,城陵矶(莲),1595080800000,5,33.88
0,0,长江,60111200,城陵矶(莲),1595084400000,4,33.84
0,0,长江,60111200,城陵矶(莲),1595088000000,5,33.9
0,0,长江,60111200,城陵矶(莲),1595091600000,4,33.84
0,0,长江,60111200,城陵矶(莲),1595095200000,4,33.81
0,0,长江,60111200,城陵矶(莲),1595098800000,5,33.83
0,0,长江,60111200,城陵矶(莲),1595102400000,5,33.86
0,0,长江,60111200,城陵矶(莲),1595106000000,5,33.87
0,0,长江,60111200,城陵矶(莲),1595109600000,5,33.9
0,0,长江,60111200,城陵矶(莲),1595113200000,6,33.9
0,0,长江,60111200,城陵矶(莲),1595116800000,5,33.91
0,0,长江,60111200,城陵矶(莲),1595120400000,6,33.91
0,0,长江,60111200,城陵矶(莲),1595124000000,5,33.93
0,0,长江,60111200,城陵矶(莲),1595127600000,5,34
0,0,长江,60111200,城陵矶(莲),1595131200000,4,33.93
0,0,长江,60111200,城陵矶(莲),1595134800000,4,33.91
0,0,长江,60111200,城陵矶(莲),1595138400000,5,33.95
0,0,长江,60111200,城陵矶(莲),1595142000000,5,33.99
0,0,长江,60111200,城陵矶(莲),1595145600000,6,33.99
0,0,长江,60111200,城陵矶(莲),1595149200000,5,34
0,0,长江,60111200,城陵矶(莲),1595152800000,5,34.09
0,0,长江,60111200,城陵矶(莲),1595156400000,4,34.04
0,0,长江,60111200,城陵矶(莲),1595160000000,5,34.06
0,0,长江,60111200,城陵矶(莲),1595163600000,4,33.98
0,0,长江,60111200,城陵矶(莲),1595167200000,5,34
0,0,长江,60111200,城陵矶(莲),1595170800000,5,34.04
0,0,长江,60111200,城陵矶(莲),1595174400000,5,34.12
0,0,长江,60111200,城陵矶(莲),1595178000000,4,34
0,0,长江,60111200,城陵矶(莲),1595181600000,5,34.13
0,0,长江,60111200,城陵矶(莲),1595185200000,6,34.13
0,0,长江,60111200,城陵矶(莲),1595188800000,4,34.05
0,0,长江,60111200,城陵矶(莲),1595192400000,5,34.09
0,0,长江,60111200,城陵矶(莲),1595196000000,6,34.09
0,0,长江,60111200,城陵矶(莲),1595199600000,6,34.09
0,0,长江,60111200,城陵矶(莲),1595203200000,5,34.16
0,0,长江,60111200,城陵矶(莲),1595206800000,5,34.18
0,0,长江,60111200,城陵矶(莲),1595210400000,4,34.12
0,0,长江,60111200,城陵矶(莲),1595214000000,5,34.13
0,0,长江,60111200,城陵矶(莲),1595217600000,5,34.24
0,0,长江,60111200,城陵矶(莲),1595221200000,4,34.21
0,0,长江,60111200,城陵矶(莲),1595224800000,5,34.23
0,0,长江,60111200,城陵矶(莲),1595228400000,5,34.24
0,0,长江,60111200,城陵矶(莲),1595232000000,4,34.23
0,0,长江,60111200,城陵矶(莲),1595235600000,5,34.25
0,0,长江,60111200,城陵矶(莲),1595239200000,4,34.21
0,0,长江,60111200,城陵矶(莲),1595242800000,5,34.3
0,0,长江,60111200,城陵矶(莲),1595246400000,4,34.27
0,0,长江,60111200,城陵矶(莲),1595250000000,5,34.29
0,0,长江,60111200,城陵矶(莲),1595253600000,4,34.23
0,0,长江,60111200,城陵矶(莲),1595257200000,5,34.34
0,0,长江,60111200,城陵矶(莲),1595260800000,4,34.27
0,0,长江,60111200,城陵矶(莲),1595264400000,5,34.33
0,0,长江,60111200,城陵矶(莲),1595268000000,4,34.31
0,0,长江,60111200,城陵矶(莲),1595271600000,4,34.29
0,0,长江,60111200,城陵矶(莲),1595275200000,5,34.34
0,0,长江,60111200,城陵矶(莲),1595278800000,4,34.33
0,0,长江,60111200,城陵矶(莲),1595282400000,4,34.32
0,0,长江,60111200,城陵矶(莲),1595286000000,6,34.32
0,0,长江,60111200,城陵矶(莲),1595289600000,4,34.3
0,0,长江,60111200,城陵矶(莲),1595293200000,5,34.34
0,0,长江,60111200,城陵矶(莲),1595296800000,6,34.34
0,0,长江,60111200,城陵矶(莲),1595300400000,4,34.32
0,0,长江,60111200,城陵矶(莲),1595304000000,5,34.41
0,0,长江,60111200,城陵矶(莲),1595307600000,4,34.33
0,0,长江,60111200,城陵矶(莲),1595311200000,5,34.34
0,0,长江,60111200,城陵矶(莲),1595314800000,5,34.4
0,0,长江,60111200,城陵矶(莲),1595318400000,5,34.37
0,0,长江,60111200,城陵矶(莲),1595322000000,5,34.39
