oq,q,rvnm,stcd,stnm,tm,wptn,z
0,74900,长江,60115000,大通,1595012400000,6,16
0,75100,长江,60115000,大通,1595016000000,5,16.01
0,74900,长江,60115000,大通,1595019600000,4,16
0,74900,长江,60115000,大通,1595023200000,6,16
0,74900,长江,60115000,大通,1595026800000,6,16
0,74600,长江,60115000,大通,1595030400000,4,15.98
0,74500,长江,60115000,大通,1595034000000,4,15.97
0,74600,长江,60115000,大通,1595037600000,5,15.98
0,74600,长江,60115000,大通,1595041200000,6,15.98
0,74600,长江,60115000,大通,1595044800000,6,15.98
0,76600,长江,60115000,大通,1595048400000,6,15.98
0,76900,长江,60115000,大通,1595052000000,5,15.99
0,77100,长江,60115000,大通,1595055600000,5,16
0,77300,长江,60115000,大通,1595059200000,5,16.01
0,77400,长江,60115000,大通,1595062800000,5,16.02
0,77400,长江,60115000,大通,1595066400000,6,16.02
0,77300,长江,60115000,大通,1595070000000,4,16.01
0,77400,长江,60115000,大通,1595073600000,5,16.02
0,77400,长江,60115000,大通,1595077200000,6,16.02
0,76000,长江,60115000,大通,1595080800000,4,16.01
0,75700,长江,60115000,大通,1595084400000,4,15.99
0,75700,长江,60115000,大通,1595088000000,6,15.99
0,75900,长江,60115000,大通,1595091600000,5,16
0,75900,长江,60115000,大通,1595095200000,6,16
0,75700,长江,60115000,大通,1595098800000,4,15.99
0,75900,长江,60115000,大通,1595102400000,5,16
0,75700,长江,60115000,大通,1595106000000,4,15.99
0,75600,长江,60115000,大通,1595109600000,4,15.98
0,75600,长江,60115000,大通,1595113200000,6,15.98
0,75400,长江,60115000,大通,1595116800000,4,15.97
0,74700,长江,60115000,大通,1595120400000,6,15.97
0,74800,长江,60115000,大通,1595124000000,5,15.98
0,74700,长江,60115000,大通,1595127600000,4,15.97
0,74700,长江,60115000,大通,1595131200000,6,15.97
0,74800,长江,60115000,大通,1595134800000,5,15.98
0,75000,长江,60115000,大通,1595138400000,5,16
0,75700,长江,60115000,大通,1595142000000,4,15.98
0,75700,长江,60115000,大通,1595145600000,6,15.98
0,75800,长江,60115000,大通,1595149200000,5,15.99
0,75900,长江,60115000,大通,1595152800000,5,16
0,75800,长江,60115000,大通,1595156400000,4,15.99
0,75800,长江,60115000,大通,1595160000000,6,15.99
0,75700,长江,60115000,大通,1595163600000,4,15.98
0,75700,长江,60115000,大通,1595167200000,6,15.98
0,75600,长江,60115000,大通,1595170800000,4,15.97
0,75600,长江,60115000,大通,1595174400000,6,15.97
0,75600,长江,60115000,大通,1595178000000,6,15.97
0,75600,长江,60115000,大通,1595181600000,6,15.97
0,75600,长江,60115000,大通,1595185200000,6,15.97
0,75700,长江,60115000,大通,1595188800000,5,15.98
0,75700,长江,60115000,大通,1595192400000,6,15.98
0,75700,长江,60115000,大通,1595196000000,6,15.98
0,75800,长江,60115000,大通,1595199600000,5,15.99
0,75800,长江,60115000,大通,1595203200000,6,15.99
0,75800,长江,60115000,大通,1595206800000,6,15.99
0,75900,长江,60115000,大通,1595210400000,5,16
0,75800,长江,60115000,大通,1595214000000,4,15.99
0,75800,长江,60115000,大通,1595217600000,6,15.99
0,75800,长江,60115000,大通,1595221200000,6,15.99
0,75800,长江,60115000,大通,1595224800000,6,15.99
0,76100,长江,60115000,大通,1595228400000,5,16.02
0,76000,长江,60115000,大通,1595232000000,4,16.01
0,76100,长江,60115000,大通,1595235600000,5,16.02
0,76100,长江,60115000,大通,1595239200000,6,16.02
0,76100,长江,60115000,大通,1595242800000,6,16.02
0,76100,长江,60115000,大通,1595246400000,6,16.02
0,76100,长江,60115000,大通,1595250000000,6,16.02
0,76200,长江,60115000,大通,1595253600000,5,16.03
0,76100,长江,60115000,大通,1595257200000,4,16.02
0,76100,长江,60115000,大通,1595260800000,6,16.02
0,76100,长江,60115000,大通,1595264400000,6,16.02
0,76100,长江,60115000,大通,1595268000000,6,16.02
0,76100,长江,60115000,大通,1595271600000,6,16.02
0,76200,长江,60115000,大通,1595275200000,5,16.03
0,76200,长江,60115000,大通,1595278800000,6,16.03
0,76200,长江,60115000,大通,1595282400000,6,16.03
0,76200,长江,60115000,大通,1595286000000,6,16.03
0,76200,长江,60115000,大通,1595289600000,6,16.03
0,76100,长江,60115000,大通,1595293200000,4,16.02
0,76000,长江,60115000,大通,1595296800000,4,16.01
0,75900,长江,60115000,大通,1595300400000,4,16
0,76000,长江,60115000,大通,1595304000000,5,16.01
0,75900,长江,60115000,大通,1595307600000,4,16
0,75900,长江,60115000,大通,1595311200000,6,16
0,76000,长江,60115000,大通,1595314800000,5,16.01
0,76100,长江,60115000,大通,1595318400000,5,16.02
0,76100,长江,60115000,大通,1595322000000,6,16.02
0,76100,长江,60115000,大通,1595325600000,6,16.02
0,76100,长江,60115000,大通,1595329200000,6,16.02
0,76100,长江,60115000,大通,1595332800000,6,16.02
0,76000,长江,60115000,大通,1595336400000,4,16.01
0,76000,长江,60115000,大通,1595340000000,6,16.01
0,75900,长江,60115000,大通,1595343600000,4,16
0,75800,长江,60115000,大通,1595347200000,4,15.99
0,75700,长江,60115000,大通,1595350800000,4,15.98
0,75600,长江,60115000,大通,1595354400000,4,15.97
0,75500,长江,60115000,大通,1595358000000,4,15.96
0,75600,长江,60115000,大通,1595361600000,5,15.97
0,75600,长江,60115000,大通,1595365200000,6,15.97
0,75600,长江,60115000,大通,1595368800000,6,15.97
0,75600,长江,60115000,大通,1595372400000,6,15.97
0,75400,长江,60115000,大通,1595376000000,4,15.95
0,76600,长江,60115000,大通,1595378040000,4,15.95
0,74400,长江,60115000,大通,1595379600000,4,15.94
0,74400,长江,60115000,大通,1595383200000,6,15.94
0,74300,长江,60115000,大通,1595386800000,4,15.93
0,74300,长江,60115000,大通,1595390400000,6,15.93
0,76500,长江,60115000,大通,1595394000000,6,15.93
0,76500,长江,60115000,大通,1595397600000,6,15.93
0,76500,长江,60115000,大通,1595401200000,6,15.93
0,76600,长江,60115000,大通,1595404800000,5,15.94
0,76600,长江,60115000,大通,1595408400000,6,15.94
0,76500,长江,60115000,大通,1595412000000,4,15.93
0,76500,长江,60115000,大通,1595415600000,6,15.93
0,76500,长江,60115000,大通,1595419200000,6,15.93
0,76600,长江,60115000,大通,1595422800000,5,15.94
0,76500,长江,60115000,大通,1595426400000,4,15.93
0,76500,长江,60115000,大通,1595430000000,6,15.93
0,76300,长江,60115000,大通,1595433600000,4,15.91
0,76300,长江,60115000,大通,1595437200000,4,15.9
0,76200,长江,60115000,大通,1595440800000,4,15.89
0,76200,长江,60115000,大通,1595444400000,6,15.89
0,76100,长江,60115000,大通,1595448000000,4,15.88
0,76100,长江,60115000,大通,1595451600000,6,15.88
0,76100,长江,60115000,大通,1595455200000,6,15.88
0,76000,长江,60115000,大通,1595458800000,4,15.87
0,76100,长江,60115000,大通,1595462400000,5,15.88
0,76100,长江,60115000,大通,1595466000000,6,15.88
0,76100,长江,60115000,大通,1595469600000,6,15.88
0,76100,长江,60115000,大通,1595473200000,6,15.88
0,76000,长江,60115000,大通,1595476800000,4,15.86
0,75900,长江,60115000,大通,1595480400000,4,15.85
0,75900,长江,60115000,大通,1595484000000,6,15.85
0,75900,长江,60115000,大通,1595487600000,6,15.85
0,75900,长江,60115000,大通,1595491200000,6,15.85
0,75000,长江,60115000,大通,1595494800000,5,15.86
0,74900,长江,60115000,大通,1595498400000,4,15.85
0,74900,长江,60115000,大通,1595502000000,6,15.85
0,74900,长江,60115000,大通,1595505600000,6,15.85
0,74900,长江,60115000,大通,1595509200000,6,15.85
0,74800,长江,60115000,大通,1595512800000,4,15.84
0,74700,长江,60115000,大通,1595516400000,4,15.83
0,74500,长江,60115000,大通,1595520000000,4,15.81
0,74500,长江,60115000,大通,1595523600000,6,15.81
0,74300,长江,60115000,大通,1595527200000,4,15.79
0,74200,长江,60115000,大通,1595530800000,4,15.78
0,74200,长江,60115000,大通,1595534400000,6,15.78
0,74100,长江,60115000,大通,1595538000000,4,15.77
0,74100,长江,60115000,大通,1595541600000,6,15.77
0,74100,长江,60115000,大通,1595545200000,6,15.77
0,74100,长江,60115000,大通,1595548800000,6,15.77
0,74000,长江,60115000,大通,1595552400000,4,15.76
0,73700,长江,60115000,大通,1595556000000,4,15.75
0,73500,长江,60115000,大通,1595559600000,4,15.73
0,73500,长江,60115000,大通,1595563200000,6,15.73
0,73300,长江,60115000,大通,1595566800000,4,15.71
0,73200,长江,60115000,大通,1595570400000,4,15.7
0,73200,长江,60115000,大通,1595574000000,6,15.7
0,73200,长江,60115000,大通,1595577600000,6,15.7
0,73200,长江,60115000,大通,1595581200000,6,15.7
0,73200,长江,60115000,大通,1595584800000,6,15.7
0,73200,长江,60115000,大通,1595588400000,6,15.7
0,73300,长江,60115000,大通,1595592000000,5,15.71
0,73300,长江,60115000,大通,1595595600000,6,15.71
0,73100,长江,60115000,大通,1595599200000,4,15.69
0,73100,长江,60115000,大通,1595602800000,6,15.69
0,72900,长江,60115000,大通,1595606400000,4,15.67
0,72800,长江,60115000,大通,1595610000000,4,15.66
0,72700,长江,60115000,大通,1595613600000,4,15.65
0,72700,长江,60115000,大通,1595617200000,6,15.65
0,72600,长江,60115000,大通,1595620800000,4,15.64
0,72700,长江,60115000,大通,1595624400000,5,15.65
0,72700,长江,60115000,大通,1595628000000,6,15.65
0,72700,长江,60115000,大通,1595631600000,6,15.65
0,72700,长江,60115000,大通,1595635200000,6,15.65
0,72700,长江,60115000,大通,1595638800000,6,15.65
0,72700,长江,60115000,大通,1595642400000,6,15.65
0,72500,长江,60115000,大通,1595646000000,4,15.63
0,72500,长江,60115000,大通,1595649600000,6,15.63
0,72500,长江,60115000,大通,1595653200000,6,15.63
0,72400,长江,60115000,大通,1595656800000,4,15.62
0,72300,长江,60115000,大通,1595660400000,4,15.61
0,72300,长江,60115000,大通,1595664000000,6,15.61
0,72300,长江,60115000,大通,1595667600000,6,15.61
0,72300,长江,60115000,大通,1595671200000,6,15.61
0,72400,长江,60115000,大通,1595674800000,5,15.62
0,72400,长江,60115000,大通,1595678400000,6,15.62
0,72400,长江,60115000,大通,1595682000000,6,15.62
0,72300,长江,60115000,大通,1595685600000,4,15.61
0,72300,长江,60115000,大通,1595689200000,6,15.61
0,72100,长江,60115000,大通,1595692800000,4,15.59
0,72300,长江,60115000,大通,1595696400000,5,15.61
0,72100,长江,60115000,大通,1595700000000,4,15.59
0,72000,长江,60115000,大通,1595703600000,4,15.58
0,71900,长江,60115000,大通,1595707200000,4,15.57
0,71800,长江,60115000,大通,1595710800000,4,15.56
0,71700,长江,60115000,大通,1595718000000,4,15.55
0,71800,长江,60115000,大通,1595721600000,5,15.56
0,71700,长江,60115000,大通,1595725200000,4,15.55
0,71800,长江,60115000,大通,1595728800000,5,15.56
0,71700,长江,60115000,大通,1595732400000,4,15.55
0,71600,长江,60115000,大通,1595736000000,4,15.54
0,71600,长江,60115000,大通,1595739600000,6,15.54
0,71600,长江,60115000,大通,1595743200000,6,15.54
0,71600,长江,60115000,大通,1595746800000,6,15.54
0,71500,长江,60115000,大通,1595750400000,4,15.53
0,71600,长江,60115000,大通,1595754000000,5,15.54
0,71600,长江,60115000,大通,1595757600000,6,15.54
0,71600,长江,60115000,大通,1595761200000,6,15.54
0,71700,长江,60115000,大通,1595764800000,5,15.55
0,71800,长江,60115000,大通,1595768400000,5,15.56
0,71800,长江,60115000,大通,1595772000000,6,15.56
0,71800,长江,60115000,大通,1595775600000,6,15.56
0,71800,长江,60115000,大通,1595779200000,6,15.56
0,71800,长江,60115000,大通,1595782800000,6,15.56
0,71600,长江,60115000,大通,1595786400000,4,15.54
0,71600,长江,60115000,大通,1595790000000,6,15.54
0,71500,长江,60115000,大通,1595793600000,4,15.53
0,71500,长江,60115000,大通,1595797200000,6,15.53
0,71500,长江,60115000,大通,1595800800000,6,15.53
0,71500,长江,60115000,大通,1595804400000,6,15.53
0,71900,长江,60115000,大通,1595808000000,5,15.57
0,72000,长江,60115000,大通,1595811600000,5,15.58
0,72000,长江,60115000,大通,1595815200000,6,15.58
0,71900,长江,60115000,大通,1595818800000,4,15.57
0,71900,长江,60115000,大通,1595822400000,6,15.57
0,72000,长江,60115000,大通,1595826000000,6,15.58
0,72000,长江,60115000,大通,1595829600000,6,15.58
0,71800,长江,60115000,大通,1595833200000,4,15.56
0,71700,长江,60115000,大通,1595836800000,4,15.55
0,71800,长江,60115000,大通,1595840400000,5,15.56
0,71800,长江,60115000,大通,1595844000000,6,15.56
0,71800,长江,60115000,大通,1595847600000,6,15.56
0,71900,长江,60115000,大通,1595851200000,5,15.57
0,71800,长江,60115000,大通,1595854800000,4,15.56
0,71900,长江,60115000,大通,1595858400000,5,15.57
0,71800,长江,60115000,大通,1595862000000,4,15.56
0,71900,长江,60115000,大通,1595865600000,5,15.57
0,71800,长江,60115000,大通,1595869200000,4,15.56
0,71900,长江,60115000,大通,1595872800000,5,15.57
0,71900,长江,60115000,大通,1595876400000,6,15.57
0,71800,长江,60115000,大通,1595880000000,4,15.56
0,71900,长江,60115000,大通,1595883600000,5,15.57
0,71900,长江,60115000,大通,1595887200000,6,15.57
