oq,q,rvnm,stcd,stnm,tm,wptn,z
0,35200,长江,60107300,宜昌,1595012400000,5,49.99
0,35200,长江,60107300,宜昌,1595016000000,5,50.01
0,35200,长江,60107300,宜昌,1595019600000,4,50
0,35200,长江,60107300,宜昌,1595023200000,6,50
0,35000,长江,60107300,宜昌,1595026800000,4,49.91
0,34900,长江,60107300,宜昌,1595030400000,4,49.87
0,35100,长江,60107300,宜昌,1595034000000,5,49.95
0,35200,长江,60107300,宜昌,1595037600000,5,49.99
0,35300,长江,60107300,宜昌,1595041200000,5,50.05
0,35300,长江,60107300,宜昌,1595044800000,4,50.03
0,35400,长江,60107300,宜昌,1595048400000,5,50.07
0,35700,长江,60107300,宜昌,1595052000000,5,50.19
0,36000,长江,60107300,宜昌,1595055600000,5,50.31
0,36300,长江,60107300,宜昌,1595059200000,5,50.41
0,36400,长江,60107300,宜昌,1595062800000,5,50.46
0,36800,长江,60107300,宜昌,1595063880000,5,50.48
0,36600,长江,60107300,宜昌,1595066400000,5,50.52
0,36600,长江,60107300,宜昌,1595070000000,5,50.53
0,36800,长江,60107300,宜昌,1595073600000,5,50.62
0,37200,长江,60107300,宜昌,1595077200000,5,50.76
0,37300,长江,60107300,宜昌,1595080800000,5,50.8
0,37800,长江,60107300,宜昌,1595084400000,5,50.95
0,38100,长江,60107300,宜昌,1595088000000,5,51.08
0,38200,长江,60107300,宜昌,1595091600000,5,51.11
0,38300,长江,60107300,宜昌,1595095200000,5,51.16
0,38400,长江,60107300,宜昌,1595098800000,5,51.18
0,38500,长江,60107300,宜昌,1595102400000,5,51.21
0,38500,长江,60107300,宜昌,1595106000000,4,51.2
0,38500,长江,60107300,宜昌,1595109600000,6,51.2
0,38400,长江,60107300,宜昌,1595113200000,4,51.19
0,38400,长江,60107300,宜昌,1595116800000,4,51.18
0,38600,长江,60107300,宜昌,1595120400000,5,51.25
0,38900,长江,60107300,宜昌,1595124000000,5,51.34
0,38700,长江,60107300,宜昌,1595127600000,4,51.28
0,39100,长江,60107300,宜昌,1595131200000,5,51.44
0,39500,长江,60107300,宜昌,1595134800000,5,51.57
0,39800,长江,60107300,宜昌,1595138400000,5,51.71
0,39800,长江,60107300,宜昌,1595142000000,6,51.71
0,39600,长江,60107300,宜昌,1595145600000,4,51.63
0,39600,长江,60107300,宜昌,1595149200000,4,51.61
0,39700,长江,60107300,宜昌,1595152800000,5,51.66
0,39900,长江,60107300,宜昌,1595156400000,5,51.74
0,40200,长江,60107300,宜昌,1595160000000,5,51.84
0,40200,长江,60107300,宜昌,1595163600000,4,51.83
0,39700,长江,60107300,宜昌,1595167200000,4,51.67
0,39500,长江,60107300,宜昌,1595170800000,4,51.57
0,39700,长江,60107300,宜昌,1595174400000,5,51.66
0,40000,长江,60107300,宜昌,1595178000000,5,51.75
0,40100,长江,60107300,宜昌,1595181600000,5,51.8
0,39800,长江,60107300,宜昌,1595185200000,4,51.69
0,39600,长江,60107300,宜昌,1595188800000,4,51.62
0,39500,长江,60107300,宜昌,1595192400000,4,51.56
0,39400,长江,60107300,宜昌,1595196000000,4,51.52
0,39500,长江,60107300,宜昌,1595199600000,5,51.56
0,39500,长江,60107300,宜昌,1595203200000,5,51.59
0,39900,长江,60107300,宜昌,1595206800000,5,51.72
0,39900,长江,60107300,宜昌,1595210400000,5,51.74
0,40000,长江,60107300,宜昌,1595214000000,5,51.78
0,41400,长江,60107300,宜昌,1595216160000,4,51.76
0,40300,长江,60107300,宜昌,1595217600000,4,51.72
0,40200,长江,60107300,宜昌,1595221200000,4,51.68
0,40300,长江,60107300,宜昌,1595224800000,5,51.71
0,40500,长江,60107300,宜昌,1595228400000,5,51.77
0,40400,长江,60107300,宜昌,1595232000000,4,51.75
0,40500,长江,60107300,宜昌,1595235600000,5,51.79
0,40500,长江,60107300,宜昌,1595239200000,4,51.77
0,40200,长江,60107300,宜昌,1595242800000,4,51.7
0,40000,长江,60107300,宜昌,1595246400000,4,51.64
0,39800,长江,60107300,宜昌,1595250000000,4,51.57
0,40000,长江,60107300,宜昌,1595253600000,5,51.62
0,40000,长江,60107300,宜昌,1595257200000,5,51.63
0,40000,长江,60107300,宜昌,1595260800000,5,51.64
0,40000,长江,60107300,宜昌,1595264400000,4,51.63
0,40000,长江,60107300,宜昌,1595268000000,6,51.63
0,40000,长江,60107300,宜昌,1595271600000,4,51.62
0,40100,长江,60107300,宜昌,1595275200000,5,51.65
0,40100,长江,60107300,宜昌,1595278800000,6,51.65
0,40000,长江,60107300,宜昌,1595282400000,4,51.62
