oq,q,rvnm,stcd,stnm,tm,wptn,z
0,42700,长江,60105400,寸滩,1595012400000,5,179.03
0,42900,长江,60105400,寸滩,1595016000000,5,179.11
0,43100,长江,60105400,寸滩,1595019600000,5,179.19
0,43200,长江,60105400,寸滩,1595023200000,5,179.25
0,43500,长江,60105400,寸滩,1595026800000,5,179.33
0,41800,长江,60105400,寸滩,1595028420000,5,179.36
0,43500,长江,60105400,寸滩,1595030400000,6,179.36
0,42900,长江,60105400,寸滩,1595034000000,5,179.38
0,42000,长江,60105400,寸滩,1595037600000,5,179.39
0,42000,长江,60105400,寸滩,1595041200000,5,179.43
0,41100,长江,60105400,寸滩,1595044800000,4,179.36
0,41000,长江,60105400,寸滩,1595048400000,4,179.29
0,40600,长江,60105400,寸滩,1595052000000,4,179.22
0,40300,长江,60105400,寸滩,1595055600000,4,179.13
0,39500,长江,60105400,寸滩,1595059200000,4,179.06
0,39300,长江,60105400,寸滩,1595062800000,4,178.96
0,39100,长江,60105400,寸滩,1595066400000,4,178.9
0,38800,长江,60105400,寸滩,1595070000000,4,178.79
0,38600,长江,60105400,寸滩,1595073600000,4,178.71
0,38100,长江,60105400,寸滩,1595077200000,4,178.69
0,37900,长江,60105400,寸滩,1595080800000,4,178.61
0,37800,长江,60105400,寸滩,1595084400000,4,178.58
0,37600,长江,60105400,寸滩,1595088000000,4,178.51
0,37400,长江,60105400,寸滩,1595091600000,4,178.46
0,37300,长江,60105400,寸滩,1595095200000,4,178.41
0,37000,长江,60105400,寸滩,1595098800000,4,178.32
0,36800,长江,60105400,寸滩,1595102400000,4,178.25
0,36500,长江,60105400,寸滩,1595106000000,4,178.16
0,36300,长江,60105400,寸滩,1595109600000,4,178.09
0,35000,长江,60105400,寸滩,1595113200000,4,178
0,34800,长江,60105400,寸滩,1595116800000,4,177.92
0,34600,长江,60105400,寸滩,1595120400000,4,177.85
0,34200,长江,60105400,寸滩,1595124000000,4,177.74
0,33800,长江,60105400,寸滩,1595127600000,4,177.59
0,33400,长江,60105400,寸滩,1595131200000,4,177.46
0,33100,长江,60105400,寸滩,1595134800000,4,177.35
0,32700,长江,60105400,寸滩,1595138400000,4,177.21
0,32400,长江,60105400,寸滩,1595142000000,4,177.1
0,32100,长江,60105400,寸滩,1595145600000,4,177
0,31700,长江,60105400,寸滩,1595149200000,4,176.87
0,30500,长江,60105400,寸滩,1595150280000,4,176.84
0,31300,长江,60105400,寸滩,1595152800000,4,176.72
0,30600,长江,60105400,寸滩,1595156400000,4,176.61
0,30200,长江,60105400,寸滩,1595160000000,4,176.48
0,29800,长江,60105400,寸滩,1595163600000,4,176.33
0,29400,长江,60105400,寸滩,1595167200000,4,176.19
0,29100,长江,60105400,寸滩,1595170800000,4,176.08
0,28700,长江,60105400,寸滩,1595174400000,4,175.96
0,28400,长江,60105400,寸滩,1595178000000,4,175.83
0,28300,长江,60105400,寸滩,1595181600000,4,175.77
0,28000,长江,60105400,寸滩,1595185200000,4,175.65
0,27800,长江,60105400,寸滩,1595188800000,4,175.55
0,27500,长江,60105400,寸滩,1595192400000,4,175.43
0,27300,长江,60105400,寸滩,1595196000000,4,175.33
0,27000,长江,60105400,寸滩,1595199600000,4,175.23
0,26900,长江,60105400,寸滩,1595203200000,4,175.15
0,26600,长江,60105400,寸滩,1595206800000,4,175.03
0,26400,长江,60105400,寸滩,1595210400000,4,174.97
0,26200,长江,60105400,寸滩,1595214000000,4,174.87
0,26100,长江,60105400,寸滩,1595217600000,4,174.8
0,25900,长江,60105400,寸滩,1595221200000,4,174.69
0,25600,长江,60105400,寸滩,1595224800000,4,174.56
0,25400,长江,60105400,寸滩,1595228400000,4,174.47
0,25200,长江,60105400,寸滩,1595232000000,4,174.36
0,25000,长江,60105400,寸滩,1595235600000,4,174.27
0,24900,长江,60105400,寸滩,1595239200000,4,174.22
0,24700,长江,60105400,寸滩,1595242800000,4,174.12
0,24500,长江,60105400,寸滩,1595246400000,4,174.04
0,24300,长江,60105400,寸滩,1595250000000,4,173.94
0,24100,长江,60105400,寸滩,1595253600000,4,173.83
0,24000,长江,60105400,寸滩,1595257200000,4,173.75
0,23900,长江,60105400,寸滩,1595260800000,4,173.69
0,23700,长江,60105400,寸滩,1595264400000,4,173.61
0,23600,长江,60105400,寸滩,1595268000000,4,173.55
0,23500,长江,60105400,寸滩,1595271600000,4,173.45
0,23400,长江,60105400,寸滩,1595275200000,4,173.4
0,23300,长江,60105400,寸滩,1595278800000,4,173.34
0,23200,长江,60105400,寸滩,1595282400000,4,173.3
0,23100,长江,60105400,寸滩,1595286000000,4,173.21
0,23000,长江,60105400,寸滩,1595289600000,4,173.14
0,22900,长江,60105400,寸滩,1595293200000,4,173.08
0,22800,长江,60105400,寸滩,1595296800000,4,173.03
0,22800,长江,60105400,寸滩,1595300400000,4,173.02
0,22700,长江,60105400,寸滩,1595304000000,4,173.01
0,22600,长江,60105400,寸滩,1595307600000,4,172.96
0,22600,长江,60105400,寸滩,1595311200000,4,172.95
0,22500,长江,60105400,寸滩,1595314800000,4,172.9
0,22400,长江,60105400,寸滩,1595318400000,4,172.81
0,22200,长江,60105400,寸滩,1595322000000,4,172.75
0,22100,长江,60105400,寸滩,1595325600000,4,172.66
0,21900,长江,60105400,寸滩,1595329200000,4,172.59
0,21800,长江,60105400,寸滩,1595332800000,4,172.5
0,21600,长江,60105400,寸滩,1595336400000,4,172.43
0,21500,长江,60105400,寸滩,1595340000000,4,172.36
0,21400,长江,60105400,寸滩,1595343600000,4,172.29
0,21200,长江,60105400,寸滩,1595347200000,4,172.23
0,21200,长江,60105400,寸滩,1595350800000,4,172.21
0,21200,长江,60105400,寸滩,1595354400000,5,172.23
0,21200,长江,60105400,寸滩,1595358000000,6,172.23
0,21300,长江,60105400,寸滩,1595361600000,5,172.26
0,21300,长江,60105400,寸滩,1595365200000,5,172.27
0,21300,长江,60105400,寸滩,1595368800000,4,172.25
0,21300,长江,60105400,寸滩,1595372400000,5,172.27
0,22100,长江,60105400,寸滩,1595376000000,5,172.28
0,22100,长江,60105400,寸滩,1595379600000,6,172.28
