oq,q,rvnm,stcd,stnm,tm,wptn,z
0,54700,长江,60112200,汉口,1595012400000,6,28.38
0,54700,长江,60112200,汉口,1595016000000,6,28.38
0,54700,长江,60112200,汉口,1595019600000,4,28.37
0,54600,长江,60112200,汉口,1595023200000,4,28.36
0,54700,长江,60112200,汉口,1595026800000,5,28.37
0,54600,长江,60112200,汉口,1595030400000,4,28.36
0,54600,长江,60112200,汉口,1595034000000,6,28.35
0,54600,长江,60112200,汉口,1595037600000,4,28.34
0,53300,长江,60112200,汉口,1595041200000,6,28.34
0,53300,长江,60112200,汉口,1595044800000,6,28.34
0,53200,长江,60112200,汉口,1595048400000,4,28.33
0,53200,长江,60112200,汉口,1595052000000,6,28.33
0,53200,长江,60112200,汉口,1595055600000,4,28.32
0,53100,长江,60112200,汉口,1595059200000,4,28.31
0,53200,长江,60112200,汉口,1595062800000,5,28.32
0,53100,长江,60112200,汉口,1595066400000,4,28.31
0,53100,长江,60112200,汉口,1595070000000,4,28.3
0,53100,长江,60112200,汉口,1595073600000,5,28.31
0,53100,长江,60112200,汉口,1595077200000,6,28.31
0,53200,长江,60112200,汉口,1595080800000,5,28.32
0,53300,长江,60112200,汉口,1595084400000,5,28.34
0,53300,长江,60112200,汉口,1595088000000,5,28.36
0,53300,长江,60112200,汉口,1595091600000,6,28.36
0,53300,长江,60112200,汉口,1595095200000,6,28.36
0,53300,长江,60112200,汉口,1595098800000,4,28.35
0,53300,长江,60112200,汉口,1595102400000,6,28.35
0,53300,长江,60112200,汉口,1595106000000,6,28.35
0,53300,长江,60112200,汉口,1595109600000,4,28.34
0,53300,长江,60112200,汉口,1595113200000,5,28.35
0,2330,长江,60112200,汉口,1595113260000,6,42.57
0,53300,长江,60112200,汉口,1595113200000,5,28.35
0,53400,长江,60112200,汉口,1595116800000,5,28.38
0,53400,长江,60112200,汉口,1595120400000,6,28.38
0,53400,长江,60112200,汉口,1595124000000,6,28.38
0,53400,长江,60112200,汉口,1595127600000,6,28.38
0,53500,长江,60112200,汉口,1595131200000,5,28.4
0,53700,长江,60112200,汉口,1595134800000,5,28.43
0,53700,长江,60112200,汉口,1595138400000,5,28.45
0,53800,长江,60112200,汉口,1595142000000,5,28.46
0,53900,长江,60112200,汉口,1595145600000,5,28.48
0,54000,长江,60112200,汉口,1595149200000,5,28.51
0,54100,长江,60112200,汉口,1595152800000,5,28.53
0,54200,长江,60112200,汉口,1595156400000,5,28.56
0,54400,长江,60112200,汉口,1595160000000,5,28.59
0,54400,长江,60112200,汉口,1595163600000,5,28.6
0,54500,长江,60112200,汉口,1595167200000,5,28.61
0,54600,长江,60112200,汉口,1595170800000,5,28.64
0,54600,长江,60112200,汉口,1595174400000,6,28.64
0,54600,长江,60112200,汉口,1595178000000,5,28.65
0,54600,长江,60112200,汉口,1595181600000,6,28.65
0,54700,长江,60112200,汉口,1595185200000,5,28.66
0,54600,长江,60112200,汉口,1595188800000,4,28.65
0,54700,长江,60112200,汉口,1595192400000,5,28.66
0,54700,长江,60112200,汉口,1595196000000,6,28.66
0,54700,长江,60112200,汉口,1595199600000,6,28.66
0,54300,长江,60112200,汉口,1595201640000,6,28.66
0,54700,长江,60112200,汉口,1595203200000,6,28.66
0,54700,长江,60112200,汉口,1595206800000,6,28.66
0,54600,长江,60112200,汉口,1595210400000,4,28.65
0,54600,长江,60112200,汉口,1595214000000,4,28.64
0,54600,长江,60112200,汉口,1595217600000,6,28.64
0,54600,长江,60112200,汉口,1595221200000,6,28.64
0,54500,长江,60112200,汉口,1595224800000,4,28.63
0,54500,长江,60112200,汉口,1595228400000,6,28.63
0,54600,长江,60112200,汉口,1595232000000,5,28.64
0,54500,长江,60112200,汉口,1595235600000,4,28.61
0,54500,长江,60112200,汉口,1595239200000,6,28.61
0,54500,长江,60112200,汉口,1595242800000,6,28.61
0,54400,长江,60112200,汉口,1595246400000,4,28.6
0,54500,长江,60112200,汉口,1595250000000,5,28.61
0,54400,长江,60112200,汉口,1595253600000,4,28.6
