oq,q,rvnm,stcd,stnm,tm,wptn,z
0,31400,长江,60108300,沙市,1595012400000,5,41.53
0,31900,长江,60108300,沙市,1595016000000,5,41.58
0,32000,长江,60108300,沙市,1595019600000,5,41.6
0,32200,长江,60108300,沙市,1595023200000,5,41.64
0,32900,长江,60108300,沙市,1595026800000,5,41.73
0,32700,长江,60108300,沙市,1595030400000,6,41.73
0,32800,长江,60108300,沙市,1595034000000,5,41.75
0,33200,长江,60108300,沙市,1595037600000,5,41.8
0,33300,长江,60108300,沙市,1595041200000,5,41.82
0,33000,长江,60108300,沙市,1595044800000,4,41.81
0,33300,长江,60108300,沙市,1595048400000,5,41.85
0,33500,长江,60108300,沙市,1595052000000,5,41.86
0,33500,长江,60108300,沙市,1595055600000,5,41.88
0,33400,长江,60108300,沙市,1595059200000,6,41.88
0,33900,长江,60108300,沙市,1595062800000,5,41.93
0,34200,长江,60108300,沙市,1595066400000,5,41.98
0,34300,长江,60108300,沙市,1595070000000,5,41.99
0,34500,长江,60108300,沙市,1595073600000,5,42.01
0,35100,长江,60108300,沙市,1595077200000,5,42.06
0,35200,长江,60108300,沙市,1595080800000,5,42.09
0,35400,长江,60108300,沙市,1595084400000,5,42.13
0,35600,长江,60108300,沙市,1595088000000,5,42.16
0,36100,长江,60108300,沙市,1595091600000,5,42.22
0,36700,长江,60108300,沙市,1595095200000,5,42.29
0,37100,长江,60108300,沙市,1595098800000,5,42.33
0,37600,长江,60108300,沙市,1595102400000,5,42.4
0,37900,长江,60108300,沙市,1595106000000,5,42.43
0,38000,长江,60108300,沙市,1595109600000,5,42.47
0,38500,长江,60108300,沙市,1595113200000,5,42.53
0,38800,长江,60108300,沙市,1595116800000,5,42.56
0,39100,长江,60108300,沙市,1595120400000,5,42.6
0,39000,长江,60108300,沙市,1595124000000,5,42.61
0,39200,长江,60108300,沙市,1595127600000,5,42.64
0,39100,长江,60108300,沙市,1595131200000,5,42.65
0,39200,长江,60108300,沙市,1595134800000,5,42.67
0,39600,长江,60108300,沙市,1595138400000,5,42.7
0,39500,长江,60108300,沙市,1595142000000,5,42.71
0,39800,长江,60108300,沙市,1595145600000,5,42.74
0,39800,长江,60108300,沙市,1595149200000,6,42.74
0,40200,长江,60108300,沙市,1595152800000,5,42.78
0,40400,长江,60108300,沙市,1595156400000,5,42.82
0,40900,长江,60108300,沙市,1595160000000,5,42.86
0,38600,长江,60108300,沙市,1595163600000,4,42.84
0,38400,长江,60108300,沙市,1595167200000,6,42.84
0,38700,长江,60108300,沙市,1595170800000,5,42.88
0,38900,长江,60108300,沙市,1595174400000,5,42.89
0,38900,长江,60108300,沙市,1595178000000,6,42.89
0,38700,长江,60108300,沙市,1595181600000,4,42.88
0,38600,长江,60108300,沙市,1595185200000,4,42.86
0,38700,长江,60108300,沙市,1595188800000,5,42.87
0,38600,长江,60108300,沙市,1595192400000,5,42.88
0,38900,长江,60108300,沙市,1595196000000,5,42.89
0,38900,长江,60108300,沙市,1595199600000,4,42.88
0,38100,长江,60108300,沙市,1595203200000,4,42.85
0,38600,长江,60108300,沙市,1595206800000,5,42.89
0,38300,长江,60108300,沙市,1595210400000,4,42.85
0,38300,长江,60108300,沙市,1595214000000,5,42.88
0,38000,长江,60108300,沙市,1595217600000,4,42.86
0,38200,长江,60108300,沙市,1595221200000,5,42.88
0,38300,长江,60108300,沙市,1595224800000,5,42.9
0,37000,长江,60108300,沙市,1595225520000,6,42.9
0,37800,长江,60108300,沙市,1595228400000,4,42.87
0,38300,长江,60108300,沙市,1595232000000,5,42.9
0,38100,长江,60108300,沙市,1595235600000,6,42.9
0,38300,长江,60108300,沙市,1595239200000,5,42.92
0,37900,长江,60108300,沙市,1595242800000,4,42.89
0,37900,长江,60108300,沙市,1595246400000,5,42.9
0,37900,长江,60108300,沙市,1595250000000,4,42.89
0,37800,长江,60108300,沙市,1595253600000,4,42.88
0,37900,长江,60108300,沙市,1595257200000,5,42.9
0,37600,长江,60108300,沙市,1595260800000,4,42.88
0,37700,长江,60108300,沙市,1595264400000,5,42.89
0,37400,长江,60108300,沙市,1595268000000,4,42.86
0,37500,长江,60108300,沙市,1595271600000,6,42.86
0,37600,长江,60108300,沙市,1595275200000,5,42.88
0,37500,长江,60108300,沙市,1595278800000,6,42.88
0,37000,长江,60108300,沙市,1595282400000,4,42.83
0,37400,长江,60108300,沙市,1595286000000,5,42.87
0,37200,长江,60108300,沙市,1595289600000,4,42.85
0,37200,长江,60108300,沙市,1595293200000,6,42.85
0,37300,长江,60108300,沙市,1595296800000,5,42.86
0,37600,长江,60108300,沙市,1595300400000,5,42.87
0,37000,长江,60108300,沙市,1595304000000,4,42.85
0,37200,长江,60108300,沙市,1595307600000,5,42.86
0,37300,长江,60108300,沙市,1595311200000,5,42.87
0,37000,长江,60108300,沙市,1595314800000,4,42.85
0,36200,长江,60108300,沙市,1595318400000,5,42.86
0,36000,长江,60108300,沙市,1595322000000,4,42.84
0,36400,长江,60108300,沙市,1595325600000,5,42.88
0,36000,长江,60108300,沙市,1595329200000,4,42.85
0,36100,长江,60108300,沙市,1595332800000,6,42.85
0,36200,长江,60108300,沙市,1595336400000,5,42.87
0,36200,长江,60108300,沙市,1595340000000,4,42.86
0,36000,长江,60108300,沙市,1595343600000,6,42.86
0,36000,长江,60108300,沙市,1595347200000,4,42.85
0,36100,长江,60108300,沙市,1595350800000,6,42.85
0,35900,长江,60108300,沙市,1595354400000,4,42.84
0,36000,长江,60108300,沙市,1595358000000,5,42.85
0,36100,长江,60108300,沙市,1595361600000,5,42.87
0,36500,长江,60108300,沙市,1595365200000,5,42.9
0,36600,长江,60108300,沙市,1595368800000,4,42.89
0,35800,长江,60108300,沙市,1595372400000,4,42.86
0,36300,长江,60108300,沙市,1595376000000,5,42.9
0,36300,长江,60108300,沙市,1595379600000,4,42.88
0,36200,长江,60108300,沙市,1595383200000,6,42.88
0,36300,长江,60108300,沙市,1595386800000,5,42.91
0,36100,长江,60108300,沙市,1595390400000,4,42.88
0,36300,长江,60108300,沙市,1595394000000,5,42.9
0,36200,长江,60108300,沙市,1595397600000,4,42.89
0,36500,长江,60108300,沙市,1595401200000,5,42.93
0,36200,长江,60108300,沙市,1595404800000,4,42.9
0,36200,长江,60108300,沙市,1595408400000,4,42.89
0,36300,长江,60108300,沙市,1595412000000,5,42.91
0,36300,长江,60108300,沙市,1595415600000,4,42.9
0,36100,长江,60108300,沙市,1595419200000,4,42.88
0,36100,长江,60108300,沙市,1595422800000,5,42.9
0,36400,长江,60108300,沙市,1595426400000,5,42.92
0,36100,长江,60108300,沙市,1595430000000,4,42.89
0,36300,长江,60108300,沙市,1595433600000,5,42.91
0,36200,长江,60108300,沙市,1595437200000,4,42.89
0,36400,长江,60108300,沙市,1595440800000,5,42.91
0,36600,长江,60108300,沙市,1595444400000,5,42.94
0,36600,长江,60108300,沙市,1595448000000,4,42.93
0,36700,长江,60108300,沙市,1595451600000,5,42.95
0,36800,长江,60108300,沙市,1595455200000,5,42.97
0,36600,长江,60108300,沙市,1595458800000,4,42.95
0,36900,长江,60108300,沙市,1595462400000,5,42.98
0,36700,长江,60108300,沙市,1595466000000,6,42.98
0,37000,长江,60108300,沙市,1595469600000,5,43
0,37300,长江,60108300,沙市,1595473200000,5,43.03
0,36900,长江,60108300,沙市,1595476800000,4,42.99
0,37100,长江,60108300,沙市,1595480400000,5,43
0,37300,长江,60108300,沙市,1595484000000,5,43.01
0,37100,长江,60108300,沙市,1595487600000,5,43.03
0,37300,长江,60108300,沙市,1595491200000,5,43.05
0,37500,长江,60108300,沙市,1595494800000,5,43.06
0,37400,长江,60108300,沙市,1595498400000,4,43.05
